code_name,p,decoder_name,repeat_id,seed,num_shots,num_failures,logical_error_rate,ler_ci_low,ler_ci_high,avg_latency_ms_per_shot,p50_latency_ms_per_shot,p95_latency_ms_per_shot,p99_latency_ms_per_shot,avg_bp_iterations_per_shot,p95_bp_iterations_per_shot,bp_converged_fraction,syndrome_avg_weight,syndrome_p95_weight,syndrome_avg_relative_weight,syndrome_p95_relative_weight,noise_model,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,mx_row_weight_mean,mz_row_weight_mean,code_file,ci_method
bb_n72_k12,0.01,BP-OSD,0,7,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.01069100001041079,0.010099998689838685,0.02440500020384206,0.03163000050335538,1.185,2.0,0.999,1.992,6.0,0.05533333333333333,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-LSD,0,7,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.016080800001873286,0.011399999493733048,0.023005000457487764,0.06462300001658139,1.085,1.0,0.999,1.992,6.0,0.05533333333333333,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-OSD,1,8,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.017018999988067662,0.011250000170548446,0.029510000786103763,0.11872299979586384,1.102,2.0,1.0,2.007,6.0,0.05575,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-LSD,1,8,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.025173099982566782,0.02330000097572338,0.043810000624944216,0.14053300026716894,1.052,1.0,1.0,2.007,6.0,0.05575,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-OSD,2,9,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.016933200015046168,0.011899999663000926,0.02881500104194855,0.053673998882004456,1.143,2.0,0.999,1.901,6.0,0.05280555555555556,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-LSD,2,9,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.03301559997998993,0.024700000722077675,0.059720000808738294,0.21271499994327303,1.088,2.0,0.999,1.901,6.0,0.05280555555555556,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-OSD,3,10,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.021205100001679966,0.013700000636163168,0.03783000038310999,0.1321069999721658,1.191,2.0,0.999,2.065,6.0,0.05736111111111111,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-LSD,3,10,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,0.023348901000645128,0.015450000319106039,0.03233000034015274,0.10932299946944092,1.104,1.0,0.999,2.065,6.0,0.05736111111111111,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-OSD,4,11,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.017003800016027526,0.012700000297627412,0.028804999237763692,0.05204599941862394,1.104,2.0,0.999,2.107,6.0,0.05852777777777778,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
bb_n72_k12,0.01,BP-LSD,4,11,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,0.01864830001250084,0.013699998817173764,0.027800000680144876,0.05872300131159134,1.076,1.0,0.999,2.107,6.0,0.05852777777777778,0.16666666666666666,independent_z_only,72,12,6.0,36,72,36,72,0.08333333333333333,0.08333333333333333,6.0,6.0,bbcode_n72_k12.npz,wilson_95
