code_name,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,bp_osd_mean_ler_over_p,bp_lsd_mean_ler_over_p,bp_osd_mean_p95_latency_over_p,bp_lsd_mean_p95_latency_over_p,mean_delta_ler_over_p,mean_delta_p95_latency_over_p,mean_delta_avg_latency_over_p,mean_syndrome_avg_weight_over_p,mean_avg_bp_iterations_over_p_bp_osd,mean_avg_bp_iterations_over_p_bp_lsd
bb_n72_k12,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,0.055099999999999975,0.05524999999999998,0.07006650001585507,0.09158175024822399,0.00015000000000000012,0.021515250232368933,0.00990769509317033,5.0104500000000005,3.231,3.0641
bb_n96_k10,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,0.03705,0.03705,0.12779549992501407,0.1640717500504251,0.0,0.036276250125411025,0.010250910153808948,8.3369,3.789,3.6974500000000003
bb_n144_k12,144,12,12.0,72,144,72,144,0.0416666666666666,0.0416666666666666,0.017399999999999975,0.017399999999999975,0.1073713498681172,0.1646648502446623,0.0,0.05729350037654511,0.011037156553538804,9.9698,3.4027,3.37365
bb_n64_k10,64,10,,32,64,32,64,0.125,0.125,0.053500000000000006,0.05354999999999997,0.09626254785871415,0.12114650493003855,5.000000000000004e-05,0.024883957071324386,0.005929343002298986,5.5024999999999995,4.481,4.114800000000001
bb_n80_k6,80,6,,40,80,40,80,0.1,0.1,0.0366,0.0366,0.09947639494839669,0.13037084522238723,0.0,0.030894450273990532,0.007722723303140815,6.9152000000000005,4.097799999999999,3.919
bb_n108_k4,108,4,,54,108,54,108,0.074074074074074,0.074074074074074,0.03554999999999998,0.03554999999999998,0.1299732977713574,0.2039947976845723,0.0,0.0740214999132149,0.014277480743112385,9.3634,3.6739,3.60235
