code_name,p,repeat_id,seed,num_shots,delta_ler,delta_avg_latency,delta_p95_latency,delta_p99_latency,delta_avg_bp_iterations,delta_bp_converged_fraction,n,k,d,mx_rows,mx_cols,mz_rows,mz_cols,mx_density,mz_density,syndrome_avg_weight,syndrome_p95_weight
bb_n72_k12,0.01,0,7,1000,0.0,0.0053897999914625,-0.0013999997463542968,0.032992999513226005,-0.10000000000000009,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,1.992,6.0
bb_n72_k12,0.01,1,8,1000,0.0,0.008154099994499099,0.014299999838840501,0.021810000471305088,-0.050000000000000044,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,2.007,6.0
bb_n72_k12,0.01,2,9,1000,0.0,0.016082399964943803,0.030904999766789697,0.15904100106126862,-0.05499999999999994,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,1.901,6.0
bb_n72_k12,0.01,3,10,1000,0.0,0.0021438009989652,-0.005500000042957198,-0.022784000502724888,-0.08699999999999997,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,2.065,6.0
bb_n72_k12,0.01,4,11,1000,0.0,0.001644499996473297,-0.0010049985576187984,0.006677001892967396,-0.028000000000000025,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,2.107,6.0
bb_n72_k12,0.02,0,1007,1000,0.0,0.016132299988385,0.0161249990014767,0.1215740008046851,-0.15599999999999992,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,3.864,9.0
bb_n72_k12,0.02,1,1008,1000,-0.0009999999999999992,2.079996738760248e-05,-0.0112849987999653,0.020851997396675315,-0.09400000000000008,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,3.899,9.0
bb_n72_k12,0.02,2,1009,1000,-0.0010000000000000009,0.0030902000216883017,0.00033999867810050044,-0.017746000175975496,-0.16100000000000003,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,3.935,9.0
bb_n72_k12,0.02,3,1010,1000,0.0010000000000000009,0.0044075000405428,0.004525001440924801,0.09079200017367839,-0.3739999999999999,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,3.991,9.0
bb_n72_k12,0.02,4,1011,1000,0.0009999999999999992,0.0049941000324906,0.005270000292512199,0.09488399789916,-0.244,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,3.914,9.0
bb_n72_k12,0.03,0,2007,1000,-0.0010000000000000009,0.0043863000537385025,-0.004204999277135406,0.12245599888046851,-0.3540000000000001,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,5.495,12.0
bb_n72_k12,0.03,1,2008,1000,0.0,-0.0018389010747341013,-0.0254650010901971,0.020666999662352997,-0.274,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,5.628,12.0
bb_n72_k12,0.03,2,2009,1000,0.0,-0.0003148999730909971,-0.022470000294561095,0.08817800038741552,-0.137,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,5.867,12.0
bb_n72_k12,0.03,3,2010,1000,0.0,0.007099899996319398,0.006520000351883902,0.1292840004680329,-0.2650000000000001,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,5.383,12.0
bb_n72_k12,0.03,4,2011,1000,0.0,-0.00014160001046550214,-0.002980001045216403,0.05778799992185671,-0.23299999999999965,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,5.573,12.0
bb_n72_k12,0.05,0,3007,1000,0.0010000000000000009,0.005159799995453795,0.0427800011493672,0.09691300037957251,-0.20399999999999974,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,8.395,15.0
bb_n72_k12,0.05,1,3008,1000,0.0,0.0031911009500618023,0.03990000177509498,0.06377699939548609,-0.19400000000000084,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,8.604,15.0
bb_n72_k12,0.05,2,3009,1000,0.0020000000000000018,0.019211099985113805,0.10680000013962848,0.2076279993343632,-0.07099999999999973,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,8.699,15.0
bb_n72_k12,0.05,3,3010,1000,0.0010000000000000009,0.012106600988772705,0.0610799996138667,0.16541299919481361,-0.12399999999999967,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,8.524,15.0
bb_n72_k12,0.05,4,3011,1000,0.0,0.08723499995539899,0.1760700014528986,1.3264049991448696,-0.133,0.0,72,12,6.0,36,72,36,72,0.0833333333333333,0.0833333333333333,8.366,15.0
bb_n96_k10,0.01,0,100007,1000,0.0,0.0021813999974255975,-0.003699999797390899,-7.899894626470227e-05,-0.06699999999999995,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,3.678,10.0
bb_n96_k10,0.01,1,100008,1000,0.0,0.005025301023124502,0.0066150010752608,0.057698999171407195,-0.09099999999999997,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,3.506,10.0
bb_n96_k10,0.01,2,100009,1000,0.0,0.0012663000798056982,0.0009249995855496983,-0.0399290018322062,-0.09200000000000008,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,3.762,10.0
bb_n96_k10,0.01,3,100010,1000,0.0,0.003347099976963301,-0.00041000103010450234,0.0048240001888189,-0.09200000000000008,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,3.868,10.0
bb_n96_k10,0.01,4,100011,1000,0.0,0.0073913000014727,0.004024999634566401,0.03770899966184509,-0.07200000000000006,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,3.658,10.0
bb_n96_k10,0.02,0,101007,1000,0.0,-0.004803099958735398,-0.007895000089774801,-0.053677998876082704,-0.07800000000000007,0.0,96,10,,48,96,48,96,0.0833333333333333,0.0833333333333333,6.7,14.0
