nx,N,K0,M,t,seed,sigma_base,sigma_eff,shift_x,shift_y,noise_eps,k0_1_y,k0_1_x,k0_2_y,k0_2_x,err_rho,err_momentum,err_omega,err_rho_vs_full,err_momentum_vs_full,err_omega_vs_full,err_rho_lp_vs_full,err_momentum_lp_vs_full,err_omega_lp_vs_full,E_LP_base,E_LP_shadow,err_E_LP,q_base,q_shift,measurement_proxy,postprocess_task_proxy,postprocess_full_proxy,rt_baseline_full_s,rt_baseline_lp_s,rt_shadow_s,shadow_backend,rt_shadow_evolve_s,rt_shadow_post_s,rt_shadow_aer_transpile_s,rt_shadow_aer_run_s,rt_full_aer_transpile_s,rt_full_aer_run_s,rt_metrics_s,rt_total_s
5,32,2.5,21,0.0,0,2.0,2.0,0,0,0.0,0,1,0,0,2.898906465726575e-16,3.5402037783539917e-16,5.6356312416046506e-15,0.17020667663136735,0.20927866383295968,1.6909715143279118,0.17020667663136735,0.20927866383295973,1.690971514327912,0.97608262447836,0.9760826244783601,1.137427300499775e-16,11,6,21.0,21.0,1024.0,0.00022393499966710806,0.00010170300083700567,0.006474027002695948,qiskit_statevector,0.006194569999934174,0.00027945700276177377,nan,nan,0.9641263989979052,0.007269605994224548,0.0008656889986013994,0.983361436999985
5,32,2.5,21,0.1,0,2.0,2.0,0,0,0.0,0,1,0,0,7.925382954534154e-16,9.12666220591391e-16,4.832014063729107e-15,0.1450750018892943,0.47143444997050316,1.6112546246110668,0.14507500188929429,0.47143444997050304,1.6112546246110666,0.97608262447836,0.9760826244783594,6.82456380299865e-16,11,6,21.0,21.0,1024.0,0.00017314399883616716,0.00013053299335297197,0.004104655003175139,qiskit_statevector,0.0039569410000694916,0.00014771400310564786,nan,nan,0.06397736800136045,0.0014854439941700548,0.0006069239971111529,0.07464593199983938
5,32,2.5,21,0.2,0,2.0,2.0,0,0,0.0,0,1,0,0,2.2211734495317136e-15,1.9788058975953822e-15,1.68422807313863e-15,0.13258234541136463,0.5041046595582162,1.6430424985454415,0.13258234541136488,0.5041046595582163,1.643042498545441,0.97608262447836,0.976082624478362,2.0473691408995946e-15,11,6,21.0,21.0,1024.0,0.0001754039985826239,0.00010666299931472167,0.0038929080037632957,qiskit_statevector,0.003770964998693671,0.00012194300506962463,nan,nan,0.06599416400422342,0.0011995969980489463,0.0005205020061112009,0.07497337700624485
5,32,2.5,21,0.3,0,2.0,2.0,0,0,0.0,0,1,0,0,1.338589089512476e-15,1.375133699567277e-15,8.58875344757435e-16,0.1315845428965881,0.4842918450985915,1.0773321908314113,0.13158454289658833,0.48429184509859163,1.0773321908314109,0.97608262447836,0.9760826244783612,1.2511700305497524e-15,11,6,21.0,21.0,1024.0,0.00022678499954054132,0.0001441529966541566,0.003977360000135377,qiskit_statevector,0.0038197169997147284,0.0001576430004206486,nan,nan,0.07737066299887374,0.0014220230004866607,0.000720010997611098,0.08673905100295087
5,32,2.5,21,0.4,0,2.0,2.0,0,0,0.0,0,1,0,0,1.795631457112394e-15,1.813260860981639e-15,6.810545181048798e-16,0.11288795510793793,0.5370697011797485,0.45953632802511696,0.11288795510793832,0.5370697011797485,0.45953632802511696,0.97608262447836,0.9760826244783617,1.7061409507496624e-15,11,6,21.0,21.0,1024.0,0.000194084997929167,0.00010665199806680903,0.00448205899738241,qiskit_statevector,0.004331545998866204,0.0001505129985162057,nan,nan,0.06968243900337256,0.0011740030022338033,0.000533282000105828,0.0792289089949918
5,32,2.5,21,0.5,0,2.0,2.0,0,0,0.0,0,1,0,0,1.992876185917889e-15,1.893605680362343e-15,1.0098232034668722e-15,0.12004460689061382,0.5615330691654309,0.32064875509096835,0.12004460689061425,0.5615330691654309,0.32064875509096874,0.97608262447836,0.9760826244783618,1.81988368079964e-15,11,6,21.0,21.0,1024.0,0.00017237399879377335,8.83920001797378e-05,0.0038829589902888983,qiskit_statevector,0.0033851979969767854,0.000497760993312113,nan,nan,0.06562635700538522,0.0012177310054539703,0.0005756040045525879,0.07448754100187216
5,32,2.5,21,0.6,0,2.0,2.0,0,0,0.0,0,1,0,0,1.4846146960587671e-15,1.5474453829959138e-15,6.858570601592784e-16,0.15664455125377874,0.5398102355948649,0.3756857550982258,0.15664455125377888,0.5398102355948649,0.3756857550982255,0.97608262447836,0.9760826244783616,1.5923982206996848e-15,11,6,21.0,21.0,1024.0,0.0001661139976931736,8.624199836049229e-05,0.004089733003638685,qiskit_statevector,0.003909729006409179,0.00018000399722950533,nan,nan,0.06802174600306898,0.0011995210006716661,0.0006855160027043894,0.0770347049983684
5,32,2.5,21,0.7,0,2.0,2.0,0,0,0.0,0,1,0,0,6.526615198138939e-16,1.4474253277887933e-15,1.0636773680282556e-15,0.18559721249892244,0.5193953947617834,0.44183808693279353,0.18559721249892247,0.5193953947617836,0.4418380869327937,0.97608262447836,0.9760826244783607,6.82456380299865e-16,11,6,21.0,21.0,1024.0,0.00017513399507151917,9.551199764246121e-05,0.004056881996802986,qiskit_statevector,0.003926528996089473,0.0001303530007135123,nan,nan,0.06511532400327269,0.0012816789967473596,0.0005351430008886382,0.07423154199932469
5,32,2.5,21,0.8,0,2.0,2.0,0,0,0.0,0,1,0,0,1.8706127376220097e-15,1.8245958334157595e-15,1.0157679372145096e-15,0.19371432309911088,0.562247498694836,0.6045908447656516,0.19371432309911105,0.5622474986948363,0.6045908447656511,0.97608262447836,0.9760826244783615,1.4786554906497073e-15,11,6,21.0,21.0,1024.0,0.00019631400209618732,0.00016041400522226468,0.003982779991929419,qiskit_statevector,0.0038283869944280013,0.000154392997501418,nan,nan,0.0684257689936203,0.0011944270008825697,0.0005316629976732656,0.07760621800116496
5,32,2.5,21,0.9,0,2.0,2.0,0,0,0.0,0,1,0,0,4.70617353689176e-16,1.3236459748526972e-15,9.395931836074668e-16,0.18735190739144938,0.63418223688563,0.6531749733504904,0.18735190739144936,0.6341822368856302,0.6531749733504906,0.97608262447836,0.9760826244783601,1.137427300499775e-16,11,6,21.0,21.0,1024.0,0.00019537499611033127,0.00010551200102781877,0.003972219994466286,qiskit_statevector,0.0038124469938338734,0.00015977300063241273,nan,nan,0.06505416100117145,0.0014427429996430874,0.0006879559950903058,0.07461923099617707
5,32,2.5,21,1.0,0,2.0,2.0,0,0,0.0,0,1,0,0,1.0744980635918738e-15,1.9959968333585547e-15,1.0829844164981495e-15,0.17557881052890323,0.7008440619492449,0.6453565856194685,0.17557881052890317,0.7008440619492448,0.6453565856194691,0.97608262447836,0.976082624478359,1.0236845704497973e-15,11,6,21.0,21.0,1024.0,0.00017619500431464985,8.921200060285628e-05,0.004158643998380285,qiskit_statevector,0.003989181001088582,0.00016946299729170278,nan,nan,0.10105313199892407,0.00125290900177788,0.0005483819986693561,0.11034038300567772
5,32,2.5,21,0.0,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.615049891350698e-16,3.902120741872763e-16,3.2920853366507122e-15,0.17322084691333842,0.20911423001758503,1.6831730073247022,0.17322084691333842,0.20911423001758503,1.683173007324702,0.9765628767036455,0.9765628767036455,0.0,11,6,21.0,21.0,1024.0,0.0001752540047164075,8.691199764143676e-05,0.002556789004302118,qiskit_statevector,0.0024406560041825287,0.00011613300011958927,nan,nan,0.06303724900499219,0.0014190590009093285,0.0005233109986875206,0.07058269700064557
5,32,2.5,21,0.1,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,4.213929051751356e-16,8.926457417951814e-16,1.821653945246889e-15,0.14682646336016134,0.4670322632114921,1.610091143163934,0.14682646336016136,0.4670322632114921,1.6100911431639346,0.9765628767036455,0.9765628767036452,3.4106038160267047e-16,11,6,21.0,21.0,1024.0,0.00018025399913312867,0.00011260300379944965,0.004084794003574643,qiskit_statevector,0.0039002100020297803,0.00018458400154486299,nan,nan,0.0661357360004331,0.0012286679993849248,0.0006443150050472468,0.07541275899711763
5,32,2.5,21,0.2,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.3273879444174791e-15,1.8769959679511407e-15,1.5630684110767431e-15,0.12992743359886347,0.5088047618853836,1.6496162064392808,0.1299274335988636,0.5088047618853837,1.6496162064392803,0.9765628767036455,0.9765628767036465,1.0231811448080114e-15,11,6,21.0,21.0,1024.0,0.00016595300257904455,9.878299897536635e-05,0.004779487993801013,qiskit_statevector,0.004622274995199405,0.00015721299860160798,nan,nan,0.06355938199703814,0.0013032759961788543,0.0006533959967782721,0.07319557799928589
5,32,2.5,21,0.3,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,6.326979514379156e-16,1.020908618967071e-15,1.1175124139754159e-15,0.1289201179597937,0.48823243003007244,1.1482256909248012,0.1289201179597938,0.48823243003007255,1.1482256909248005,0.9765628767036455,0.9765628767036462,6.821207632053409e-16,11,6,21.0,21.0,1024.0,0.0001767840003594756,8.9032000687439e-05,0.004003123001893982,qiskit_statevector,0.0038758000009693205,0.00012732300092466176,nan,nan,0.06507433200022206,0.0013189699966460466,0.000533211998117622,0.07407454799977131
5,32,2.5,21,0.4,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.2529752638481982e-15,2.1592074831807088e-15,1.530864892142501e-15,0.1123846832755346,0.5350222790908262,0.516072902422822,0.11238468327553496,0.5350222790908263,0.5160729024228219,0.9765628767036455,0.9765628767036464,9.094943509404546e-16,11,6,21.0,21.0,1024.0,0.0001653139988775365,8.473200432490557e-05,0.003749529001652263,qiskit_statevector,0.0036283559966250323,0.00012117300502723083,nan,nan,0.06421663699438795,0.001152622004156001,0.0005372419982450083,0.07265215799998259
5,32,2.5,21,0.5,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.4145639183654926e-15,1.7327634071693799e-15,7.655730105622104e-16,0.12049554111862215,0.5541421974776343,0.3500261696267987,0.12049554111862247,0.5541421974776344,0.3500261696267986,0.9765628767036455,0.9765628767036468,1.3642415264106819e-15,11,6,21.0,21.0,1024.0,0.00016273400251520798,8.504199649905786e-05,0.0037268359956215136,qiskit_statevector,0.003595832997234538,0.00013100299838697538,nan,nan,0.06487134299823083,0.0011878069999511354,0.0005337719994713552,0.07325225599925034
5,32,2.5,21,0.6,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.2996499071696108e-15,1.4053573571035504e-15,5.58716173019934e-16,0.1552029137797416,0.5302502086447475,0.39487911334238895,0.15520291377974185,0.5302502086447475,0.3948791133423892,0.9765628767036455,0.9765628767036466,1.1368679386755683e-15,11,6,21.0,21.0,1024.0,0.00019395400158828124,0.00010705300519475713,0.003739014995517209,qiskit_statevector,0.0036248319956939667,0.00011418299982324243,nan,nan,0.06965088700235356,0.0014831330045126379,0.0005394719992182218,0.07869648199994117
5,32,2.5,21,0.7,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.000270671717687e-15,1.4081302362661592e-15,1.031589847055944e-15,0.18278350765895338,0.5061696777709104,0.45977993937775236,0.18278350765895351,0.5061696777709104,0.4597799393777524,0.9765628767036455,0.9765628767036464,9.094943509404546e-16,11,6,21.0,21.0,1024.0,0.0001824349965318106,0.00010148200090043247,0.004104485000425484,qiskit_statevector,0.0038989899985608645,0.00020549500186461955,nan,nan,0.06551568199938629,0.001232348004123196,0.0005596929986495525,0.07453024900314631
5,32,2.5,21,0.8,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.2632495073632226e-15,1.8985588803585326e-15,8.968907446472176e-16,0.19066405966218328,0.5428808866706121,0.6149555098765299,0.19066405966218342,0.5428808866706123,0.61495550987653,0.9765628767036455,0.9765628767036467,1.250554732543125e-15,11,6,21.0,21.0,1024.0,0.00019491399871185422,9.222200606018305e-05,0.004576127001200803,qiskit_statevector,0.004426664003403857,0.00014946299779694527,nan,nan,0.06581996900058584,0.0014200060031726025,0.0005727030002162792,0.07559297799889464
5,32,2.5,21,0.9,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,4.739570882405109e-16,1.1368392431111093e-15,9.70863041197518e-16,0.18480094723536608,0.6132303541751423,0.6476269323558711,0.18480094723536603,0.6132303541751423,0.6476269323558713,0.9765628767036455,0.9765628767036454,1.1368679386755683e-16,11,6,21.0,21.0,1024.0,0.0001686930045252666,8.944299770519137e-05,0.004180785996140912,qiskit_statevector,0.004038252998725511,0.00014253299741540104,nan,nan,0.06415605700021842,0.0013327810011105612,0.0006141039993963204,0.07351764899794944
5,32,2.5,21,1.0,1,2.0,2.0345584192064785,1,2,0.0005,31,0,0,0,1.3633219561112207e-15,1.5091726662427452e-15,1.24118697643944e-15,0.17257084734703662,0.6845398486868608,0.6253467811141704,0.17257084734703643,0.6845398486868607,0.6253467811141701,0.9765628767036455,0.9765628767036443,1.250554732543125e-15,11,6,21.0,21.0,1024.0,0.00016964400128927082,0.0001017419999698177,0.00371277399972314,qiskit_statevector,0.0035997020022477955,0.00011307199747534469,nan,nan,0.06414727499941364,0.0012957260041730478,0.0005123020018800162,0.07273371599876555
5,32,2.5,21,0.0,2,2.0,2.018905338179353,-2,-1,0.0005,31,0,0,0,3.401967667935001e-16,4.1550446293439255e-16,7.463988801221457e-15,0.17190027230923888,0.2090580702458652,1.687195965573689,0.17190027230923888,0.20905807024586515,1.6871959655736886,0.9763464511404351,0.976346451140435,1.13711994684709e-16,11,6,21.0,21.0,1024.0,0.0001785240019671619,9.074300032807514e-05,0.0026424410098115914,qiskit_statevector,0.002490547005436383,0.00015189400437520817,nan,nan,0.06556638699839823,0.001241025995113887,0.0006262640017666854,0.07335636200150475
