nx,N,K0,t,seed,err_rho_fft_vs_qiskit,err_momentum_fft_vs_qiskit,err_omega_fft_vs_qiskit,rt_fft_s,rt_qiskit_s
5,32,2.5,0.0,0,9.671110605134014e-16,1.8181093808484676e-15,1.0157213365562323e-15,0.001162276999821188,0.9960173660001601
5,32,2.5,0.3,0,1.5128979573014204e-15,3.2673355809770685e-15,1.949561657841465e-15,0.00024221600051532732,0.09727100899999641
5,32,2.5,1.0,0,1.1400473598794782e-15,2.569068853236709e-15,2.864623112680022e-15,0.00021275500057527097,0.09674134699980641
6,64,2.5,0.0,0,7.533754468234655e-16,3.598342715516435e-15,1.8553672705136637e-15,0.0003209979995517642,0.12900298000022303
6,64,2.5,0.3,0,2.5513157323536543e-15,5.052035740999951e-15,3.770733775266274e-15,0.0006225249999260996,0.12349389499922836
6,64,2.5,1.0,0,1.1600784713829447e-15,4.971457792669966e-15,5.889598273763185e-15,0.0005727329998990172,0.1378688750000947
7,128,2.5,0.0,0,7.765983273770703e-16,7.032125614831026e-15,3.4773807820168246e-15,0.009697303999928408,0.22198407599989878
7,128,2.5,0.3,0,2.4751735972688844e-15,1.0411384975571799e-14,6.992397769008596e-15,0.0014513630003420985,0.1923876860000746
7,128,2.5,1.0,0,1.448017013008969e-15,1.0318978842270698e-14,1.2077104964090464e-14,0.0017501100001027226,0.23815303199990012
