nx,N,K0,M,t,seed,sigma_base,sigma_eff,shift_x,shift_y,noise_eps,k0_1_y,k0_1_x,k0_2_y,k0_2_x,err_rho,err_momentum,err_omega,err_rho_vs_full,err_momentum_vs_full,err_omega_vs_full,err_rho_lp_vs_full,err_momentum_lp_vs_full,err_omega_lp_vs_full,E_LP_base,E_LP_shadow,err_E_LP,q_base,q_shift,measurement_proxy,postprocess_task_proxy,postprocess_full_proxy,rt_baseline_full_s,rt_baseline_lp_s,rt_shadow_s,shadow_backend,rt_shadow_evolve_s,rt_shadow_post_s,rt_shadow_aer_transpile_s,rt_shadow_aer_run_s,rt_full_aer_transpile_s,rt_full_aer_run_s,rt_metrics_s,rt_total_s
5,32,2.5,21,0.0,0,2.0,2.0,0,0,0.0,0,1,0,0,2.898906465726575e-16,3.5402037783539917e-16,5.6356312416046506e-15,0.17020667663136735,0.20927866383295968,1.6909715143279118,0.17020667663136735,0.20927866383295973,1.690971514327912,0.97608262447836,0.9760826244783601,1.137427300499775e-16,11,6,21.0,21.0,1024.0,0.00018887400074163452,0.00010687299800338224,1.0374146969916183,qiskit_aer,0.00585820600099396,0.00028124599339207634,1.0312752449972322,0.00585820600099396,nan,nan,0.000846069997351151,1.0403222879976965
5,32,2.5,21,0.1,0,2.0,2.0,0,0,0.0,0,1,0,0,3.5997731636783474e-16,4.741307884053071e-16,9.958750216523816e-16,0.14507500188929429,0.47143444997050304,1.6112546246110668,0.14507500188929429,0.47143444997050304,1.6112546246110666,0.97608262447836,0.9760826244783603,2.27485460099955e-16,11,6,21.0,21.0,1024.0,0.00012156299635535106,0.00010028199903899804,0.06811023199406918,qiskit_aer,0.0006798889953643084,0.00018583399651106447,0.06724450900219381,0.0006798889953643084,nan,nan,0.0006654060052824207,0.07030775299790548
5,32,2.5,21,0.2,0,2.0,2.0,0,0,0.0,0,1,0,0,3.075905942581919e-16,4.3203768394142246e-16,5.219956139502023e-16,0.13258234541136482,0.5041046595582163,1.643042498545441,0.13258234541136488,0.5041046595582163,1.643042498545441,0.97608262447836,0.9760826244783601,1.137427300499775e-16,11,6,21.0,21.0,1024.0,9.944300109054893e-05,7.682200521230698e-05,0.06666827799926978,qiskit_aer,0.0006173689980641939,0.00018230400019092485,0.06586860500101466,0.0006173689980641939,nan,nan,0.0006763149940525182,0.06806384999799775
5,32,2.5,21,0.3,0,2.0,2.0,0,0,0.0,0,1,0,0,3.1829251158894566e-16,5.037306087773074e-16,6.659318594364765e-16,0.13158454289658825,0.48429184509859163,1.0773321908314109,0.13158454289658833,0.48429184509859163,1.0773321908314109,0.97608262447836,0.9760826244783601,1.137427300499775e-16,11,6,21.0,21.0,1024.0,0.00010298200504621491,8.0951998825185e-05,0.06802257199160522,qiskit_aer,0.0007365249985014088,0.0001864139994722791,0.06709963299363153,0.0007365249985014088,nan,nan,0.0005540429992834106,0.06930600200576009
5,32,2.5,21,0.4,0,2.0,2.0,0,0,0.0,0,1,0,0,3.030458118674183e-16,4.761240286951981e-16,4.0223487638084914e-16,0.11288795510793827,0.5370697011797485,0.45953632802511685,0.11288795510793832,0.5370697011797485,0.45953632802511696,0.97608262447836,0.9760826244783604,3.412281901499325e-16,11,6,21.0,21.0,1024.0,0.00010063200170407072,8.123199950205162e-05,0.06888172299659345,qiskit_aer,0.0006928279981366359,0.00021495499822776765,0.06797394000022905,0.0006928279981366359,nan,nan,0.000673716000164859,0.07036797800537897
5,32,2.5,21,0.5,0,2.0,2.0,0,0,0.0,0,1,0,0,3.1552431290179975e-16,4.530875056351909e-16,3.1152670465160634e-16,0.1200446068906142,0.5615330691654309,0.3206487550909687,0.12004460689061425,0.5615330691654309,0.32064875509096874,0.97608262447836,0.9760826244783604,3.412281901499325e-16,11,6,21.0,21.0,1024.0,0.00012033300299663097,8.51219956530258e-05,0.0648099130121409,qiskit_aer,0.000681788005749695,0.00025905600341502577,0.06386906900297618,0.000681788005749695,nan,nan,0.0007288069973583333,0.06635303399525583
5,32,2.5,21,0.6,0,2.0,2.0,0,0,0.0,0,1,0,0,3.221693287197264e-16,5.58662259959799e-16,3.812443687583948e-16,0.15664455125377882,0.539810235594865,0.3756857550982255,0.15664455125377888,0.5398102355948649,0.3756857550982255,0.97608262447836,0.9760826244783603,2.27485460099955e-16,11,6,21.0,21.0,1024.0,0.00013163299445295706,8.411199814872816e-05,0.0640701930024079,qiskit_aer,0.0006067340000299737,0.0001882740034488961,0.06327518499892903,0.0006067340000299737,nan,nan,0.000796077998529654,0.06571763100509997
5,32,2.5,21,0.7,0,2.0,2.0,0,0,0.0,0,1,0,0,3.5711760521119696e-16,6.288850384714875e-16,5.517730178947418e-16,0.18559721249892247,0.5193953947617835,0.441838086932794,0.18559721249892247,0.5193953947617836,0.4418380869327937,0.97608262447836,0.9760826244783603,2.27485460099955e-16,11,6,21.0,21.0,1024.0,0.00016149300063261762,0.00014075399667490274,0.0658354699917254,qiskit_aer,0.0006499549999716692,0.00018211399583378807,0.06500340099591995,0.0006499549999716692,nan,nan,0.000610650000453461,0.067380561005848
5,32,2.5,21,0.8,0,2.0,2.0,0,0,0.0,0,1,0,0,3.3343942123791476e-16,5.500603718679432e-16,4.619819996762371e-16,0.19371432309911105,0.5622474986948363,0.6045908447656511,0.19371432309911105,0.5622474986948363,0.6045908447656511,0.97608262447836,0.9760826244783601,1.137427300499775e-16,11,6,21.0,21.0,1024.0,0.00010179200035054237,7.976200140547007e-05,0.06395760400482686,qiskit_aer,0.0006698249999317341,0.00017566400492796674,0.06311211499996716,0.0006698249999317341,nan,nan,0.0005647630023304373,0.06525479300034931
5,32,2.5,21,0.9,0,2.0,2.0,0,0,0.0,0,1,0,0,3.3263976026092764e-16,5.76638587388635e-16,4.981684269795397e-16,0.18735190739144936,0.63418223688563,0.6531749733504905,0.18735190739144936,0.6341822368856302,0.6531749733504906,0.97608262447836,0.9760826244783604,3.412281901499325e-16,11,6,21.0,21.0,1024.0,0.00013799300359096378,0.0001306729973293841,0.07205150899972068,qiskit_aer,0.0006330379983410239,0.00018078400171361864,0.07123768699966604,0.0006330379983410239,nan,nan,0.0005985239986330271,0.07342985099967336
