trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p6_cross_mode_repetition_trace_layered_memory_x_high_0|60|18,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,18,60,0.180000,0.430000,0.666869,0.486869,0.250000,0.236869,0.600000,True,True,False,0.275173,0.593662,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|61|19,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,19,61,0.200000,0.450000,0.690875,0.490875,0.250000,0.240875,0.600000,False,True,False,0.285188,0.597268,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|62|20,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,20,62,0.220000,0.886667,1.216108,0.996108,0.666667,0.329441,1.600000,True,True,False,1.728271,1.162778,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|63|21,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,21,63,0.240000,0.906667,1.239804,0.999804,0.666667,0.333137,1.600000,False,True,False,1.737511,1.166104,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|64|22,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,22,64,0.260000,0.260000,0.427239,0.167239,0.000000,0.167239,0.000000,False,False,False,0.000000,0.277429,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|65|23,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,23,65,0.280000,0.530000,0.766875,0.486875,0.250000,0.236875,0.600000,False,True,False,0.275187,0.593667,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|66|24,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,24,66,0.300000,0.966667,1.294268,0.994268,0.666667,0.327601,1.600000,False,True,False,1.723671,1.161121,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|67|25,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,25,67,0.320000,0.320000,0.416834,0.096834,0.000000,0.096834,0.000000,False,False,False,0.000000,0.224625,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|68|26,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,26,68,0.000000,0.000000,0.172861,0.172861,0.000000,0.172861,0.000000,False,False,False,0.000000,0.281646,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|69|27,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,27,69,0.020000,0.270000,0.515062,0.495062,0.250000,0.245062,0.600000,False,True,False,0.295655,0.601036,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|70|28,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,28,70,0.040000,0.290000,0.527569,0.487569,0.250000,0.237569,0.600000,True,True,False,0.276922,0.594292,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|71|29,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,29,71,0.060000,0.060000,0.153745,0.093745,0.000000,0.093745,0.000000,False,False,False,0.000000,0.222309,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|72|30,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,30,72,0.080000,1.163333,1.569309,1.489309,1.083333,0.405976,2.600000,False,True,False,3.141272,1.717458,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|73|31,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,31,73,0.100000,0.100000,0.278313,0.178313,0.000000,0.178313,0.000000,False,False,False,0.000000,0.285735,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|74|32,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,32,74,0.120000,0.120000,0.227092,0.107092,0.000000,0.107092,0.000000,False,False,False,0.000000,0.232319,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|75|33,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,33,75,0.140000,0.140000,0.302331,0.162331,0.000000,0.162331,0.000000,False,False,False,0.000000,0.273748,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|76|34,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,34,76,0.160000,0.160000,0.247741,0.087741,0.000000,0.087741,0.000000,False,False,False,0.000000,0.217806,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|77|35,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,35,77,0.180000,0.430000,0.684931,0.504931,0.250000,0.254931,0.600000,False,True,False,0.320327,0.609918,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|78|36,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,36,78,0.200000,0.200000,0.213775,0.013775,0.000000,0.013775,0.000000,False,False,False,0.000000,0.162331,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|79|37,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,37,79,0.220000,0.220000,0.402637,0.182637,0.000000,0.182637,0.000000,False,False,False,0.000000,0.288977,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|80|38,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,38,80,0.240000,0.240000,0.350335,0.110335,0.000000,0.110335,0.000000,False,False,False,0.000000,0.234751,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|81|39,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,39,81,0.260000,0.926667,1.256254,0.996254,0.666667,0.329587,1.600000,True,True,False,1.728635,1.162909,True
p6_cross_mode_repetition_trace_layered_memory_x_high_0|82|40,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,40,82,0.280000,0.280000,0.459884,0.179884,0.000000,0.179884,0.000000,False,False,False,0.000000,0.286913,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|83|41,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,41,83,0.300000,0.300000,0.475626,0.175626,0.000000,0.175626,0.000000,False,False,False,0.000000,0.283720,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|84|42,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,42,84,0.320000,0.320000,0.487727,0.167727,0.000000,0.167727,0.000000,False,False,False,0.000000,0.277795,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|85|43,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,43,85,0.000000,0.000000,0.028420,0.028420,0.000000,0.028420,0.000000,False,False,False,0.000000,0.173315,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|86|44,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,44,86,0.020000,0.020000,0.189479,0.169479,0.000000,0.169479,0.000000,False,False,False,0.000000,0.279109,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|87|45,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,45,87,0.040000,1.123333,1.518100,1.478100,1.083333,0.394767,2.600000,True,True,False,3.113251,1.707370,False
p6_cross_mode_repetition_trace_layered_memory_x_high_0|88|46,p6_proxy_export:repetition_trace_layered,p6_cross_mode_repetition_trace_layered_memory_x_high_0,memory_x,high,46,88,0.060000,0.726667,1.039426,0.979426,0.666667,0.312759,1.600000,False,True,False,1.686564,1.147763,False
