epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_residual_gate_mean,val_runtime_seconds,val_parameter_count
0,1.0079412878607591e-07,5.3478259668568886e-08,2.3529995318265144e-07,0.0002452886133381215,0.575968296904313,5.1176192611120765e-09,0.0,0.0,8.075761748216337e-08,4.279521093053518e-08,1.8857831918239754e-07,0.00024581602338002995,0.4279159903526306,4.934838336578817e-09,0.0,0.0,0.19107350707054138,0.18846437111496925,0.015628956723958254,0.4279159903526306,0.5264149015329339,nan,nan,nan,4.934838336578817e-09,0.2861226201057434,0.5950024940539151,706531
1,9.43030662214321e-08,4.9855723572914266e-08,2.1889381984189975e-07,0.00024528862559236586,0.5759682906301398,1.3371538963799355e-08,0.0,0.0,7.948049152162184e-08,4.207413795143111e-08,1.8540062995953122e-07,0.00024581602338002995,0.4279159903526306,6.5244723373991675e-09,0.0,0.0,0.19016191363334656,0.1875702664256096,0.015628956723958254,0.4279159903526306,0.5831688803848577,nan,nan,nan,6.5244723373991675e-09,0.2861226201057434,0.007259964011609554,706531
2,9.40034434387072e-08,4.9682351332373734e-08,2.1824526635028681e-07,0.00024528861946524367,0.575968303178486,1.3440784719127925e-08,0.0,0.0,7.978262850372175e-08,4.2251926402059325e-08,1.8623822484187258e-07,0.00024581602338002995,0.4279159903526306,5.661189864114569e-09,0.0,0.0,0.1903369516134262,0.18776495829224588,0.015628956723958254,0.4279159903526306,0.5629484277094692,nan,nan,nan,5.661189864114569e-09,0.2861226201057434,0.005638932052534074,706531
3,9.503480818669854e-08,5.029538385770138e-08,2.2098672646184e-07,0.00024528862023113395,0.575968296904313,1.0841570074442069e-08,0.0,0.0,8.016492891727012e-08,4.248284213304032e-08,1.8723883243865203e-07,0.00024581602338002995,0.4279159903526306,4.686318624824715e-09,0.0,0.0,0.1905793197453022,0.18799570128321647,0.015628956723958254,0.4279159903526306,0.553163320818866,nan,nan,nan,4.686318624824715e-09,0.2861226201057434,0.005320347030647099,706531
4,9.500704989980142e-08,5.028587829177635e-08,2.2092318000719196e-07,0.00024528862252880474,0.575968296904313,1.0730683850262697e-08,0.0,0.0,8.001280171754388e-08,4.23869952470568e-08,1.868278332040063e-07,0.00024581602338002995,0.4279159903526306,5.2048269444382456e-09,0.0,0.0,0.1904184952378273,0.18784335777163505,0.015628956723958254,0.4279159903526306,0.5535569009686206,nan,nan,nan,5.2048269444382456e-09,0.2861226201057434,0.0058456710539758205,706531
5,9.516109107727587e-08,5.0362797534681273e-08,2.213190914277986e-07,0.0002452886240605853,0.5759682874930533,1.0689486512323979e-08,0.0,0.0,8.062333201053207e-08,4.271801223865168e-08,1.8832376724731148e-07,0.00024581602338002995,0.4279159903526306,4.811317108610602e-09,0.0,0.0,0.19093735814094542,0.18836988136172295,0.015628956723958254,0.4279159903526306,0.5433688722831514,nan,nan,nan,4.811317108610602e-09,0.2861226201057434,0.00595593306934461,706531
6,9.561276065620692e-08,5.062414001450203e-08,2.2243715809628683e-07,0.00024528862099702423,0.5759683016099428,1.0023760581801574e-08,0.0,0.0,8.040924726060439e-08,4.261270003524942e-08,1.8779827115622538e-07,0.00024581602338002995,0.4279159903526306,4.737926925790781e-09,0.0,0.0,0.1907647058367729,0.18816933110356332,0.015628956723958254,0.4279159903526306,0.5557830416031841,nan,nan,nan,4.737926925790781e-09,0.2861226201057434,0.006441414938308299,706531
7,9.550848290018621e-08,5.0566504340490846e-08,2.2217941283255832e-07,0.00024528862252880474,0.5759683063155726,1.0121883939194132e-08,0.0,0.0,8.02383173237331e-08,4.251216978445882e-08,1.8739442708692877e-07,0.00024581602338002995,0.4279159903526306,4.945282378043814e-09,0.0,0.0,0.1906354367733002,0.18806378096342086,0.015628956723958254,0.4279159903526306,0.5556986914946687,nan,nan,nan,4.945282378043814e-09,0.2861226201057434,0.005502104992046952,706531
