method,201,301,401,501,601,701,801,901,1001
NE24,3.330613,7.837178,11.022095,14.265532,16.008238,16.655244,18.229534,18.961028,20.540833
QA-Google,2.737285,6.341827,11.586714,13.65219,16.333355,16.856193,19.05629,20.960402,21.686776
QE-IBM,2.309034,5.403048,10.646799,13.473875,16.756715,16.833401,19.51923,21.630609,22.509361
Agent1,2.247613,1.748469,1.753055,1.751801,2.429078,3.552979,1.749311,1.749978,1.748272
