epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_residual_gate_mean,val_runtime_seconds,val_parameter_count
0,9.610573445833755e-08,5.0777525248840423e-08,2.2273882312842225e-07,0.0002452886133381215,0.575968296904313,1.560885177834405e-08,0.0,0.0,7.224865505861544e-08,3.780874813230639e-08,1.6552240111877836e-07,0.00024581602338002995,0.4279159903526306,2.6708540268316483e-08,0.0,0.0,0.17822060361504555,0.1751599781215191,0.015628956723958254,0.4279159903526306,0.776563529822117,nan,nan,nan,2.6708540268316483e-08,1.0,1.0017825569957495,706531
1,9.086749523583804e-08,4.769120957797369e-08,2.0866708894118347e-07,0.00024528862559236586,0.5759682906301398,2.885733486086912e-08,0.0,0.0,7.353449937852474e-08,3.8595342033431734e-08,1.6925790546906683e-07,0.00024581602338002995,0.4279159903526306,2.1751532131020213e-08,0.0,0.0,0.18087520599365234,0.17793771773576736,0.015628956723958254,0.4279159903526306,0.7927424507016096,nan,nan,nan,2.1751532131020213e-08,1.0,0.012283527990803123,706531
2,9.107300869004575e-08,4.793926995722885e-08,2.0992318414564101e-07,0.00024528861946524367,0.575968303178486,2.2981998245983817e-08,0.0,0.0,7.194322648729212e-08,3.779341817278237e-08,1.6560867166504067e-07,0.00024581602338002995,0.4279159903526306,2.0561530256202332e-08,0.0,0.0,0.1770939014852047,0.17409390285611154,0.015628956723958254,0.4279159903526306,0.570265125440048,nan,nan,nan,2.0561530256202332e-08,1.0,0.018530225032009184,706531
3,9.192889088557135e-08,4.846047754893478e-08,2.121590138190904e-07,0.00024528862023113395,0.575968296904313,2.073223090280264e-08,0.0,0.0,7.270053536956311e-08,3.824810512753629e-08,1.6758211884848606e-07,0.00024581602338002995,0.4279159903526306,1.8720180960940525e-08,0.0,0.0,0.17835280001163484,0.17532263100147247,0.015628956723958254,0.4279159903526306,0.7651301628728218,nan,nan,nan,1.8720180960940525e-08,1.0,0.010701199993491173,706531
4,9.195344537266991e-08,4.8456719338817396e-08,2.121719830938673e-07,0.00024528862252880474,0.575968296904313,2.124656511544967e-08,0.0,0.0,7.296435278192348e-08,3.832411188398055e-08,1.6801603663907372e-07,0.00024581602338002995,0.4279159903526306,2.0740601236468592e-08,0.0,0.0,0.1788690507411957,0.1759020894765854,0.015628956723958254,0.4279159903526306,0.6709964573110323,nan,nan,nan,2.0740601236468592e-08,1.0,0.006933584052603692,706531
5,9.189641646475809e-08,4.8428471338387396e-08,2.1209457432441445e-07,0.0002452886240605853,0.5759682874930533,2.0980572787870618e-08,0.0,0.0,7.304679350284005e-08,3.839062578947505e-08,1.682714731998658e-07,0.00024581602338002995,0.4279159903526306,2.0037431269770423e-08,0.0,0.0,0.1786414198577404,0.17564580962061882,0.015628956723958254,0.4279159903526306,0.6926252974342504,nan,nan,nan,2.0037431269770423e-08,1.0,0.006575858977157623,706531
6,9.216315383379257e-08,4.858199961619759e-08,2.1271962381026817e-07,0.00024528862099702423,0.5759683016099428,2.0744558725775614e-08,0.0,0.0,7.311225580508562e-08,3.841886542232942e-08,1.6837718774809218e-07,0.00024581602338002995,0.4279159903526306,2.0358998931158112e-08,0.0,0.0,0.1788212336599827,0.17581339031457902,0.015628956723958254,0.4279159903526306,0.6748007012621713,nan,nan,nan,2.0358998931158112e-08,1.0,0.006739313015714288,706531
7,9.232508764518187e-08,4.865155520555594e-08,2.1306162822336199e-07,0.00024528862252880474,0.5759683063155726,2.1224106729421595e-08,0.0,0.0,7.276185343130237e-08,3.820034155666008e-08,1.674422627218064e-07,0.00024581602338002995,0.4279159903526306,2.146116440115975e-08,0.0,0.0,0.17811132594943047,0.17513207569718361,0.015628956723958254,0.4279159903526306,0.638046644070547,nan,nan,nan,2.146116440115975e-08,1.0,0.007923902943730354,706531
