baseline,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
F5_50MHz_201__P2_r1_-150_-100_s1,0.009035,0.278085,0.196310,0.226960,0.213808,0.231098,0.265565,0.236553,0.266377,0.275593,0.300981
F5_50MHz_201__P2_r1_-150_-100_s2,0.007846,0.290518,0.295443,0.284978,0.242856,0.234558,0.235117,0.309716,0.311960,0.331042,0.317910
F5_50MHz_201__P2_r2_-150_-110_s1,0.009035,0.130451,0.154439,0.114705,0.111241,0.109338,0.107509,0.128294,0.127231,0.134882,0.153902
F5_50MHz_201__P2_r2_-150_-110_s2,0.007846,0.167295,0.139682,0.124759,0.114172,0.138183,0.124343,0.107182,0.138004,0.151520,0.132607
F5_50MHz_201__P2_r3_-140_-110_s1,0.010320,0.171897,0.176043,0.164073,0.164209,0.156060,0.120153,0.174022,0.185590,0.173366,0.193632
F5_50MHz_201__P2_r3_-140_-110_s2,0.009142,0.171532,0.176329,0.178417,0.177008,0.172410,0.163210,0.172516,0.176524,0.186030,0.190438
F5_50MHz_401__P2_r1_-150_-100_s1,0.008884,0.232741,0.225406,0.282074,0.281126,0.338909,0.316579,0.316316,0.312479,0.397449,0.409044
F5_50MHz_401__P2_r1_-150_-100_s2,0.007843,0.285886,0.231009,0.279066,0.286763,0.300234,0.375943,0.377987,0.361644,0.395518,0.365510
F5_50MHz_401__P2_r2_-150_-110_s1,0.008884,0.127275,0.119178,0.126918,0.137483,0.150065,0.132809,0.184613,0.189721,0.158276,0.164485
F5_50MHz_401__P2_r2_-150_-110_s2,0.007843,0.184801,0.151575,0.141120,0.144738,0.166570,0.144918,0.195947,0.171338,0.146667,0.171839
F5_50MHz_401__P2_r3_-140_-110_s1,0.010310,0.175272,0.157694,0.149648,0.167273,0.183577,0.188058,0.197628,0.226547,0.213087,0.200260
F5_50MHz_401__P2_r3_-140_-110_s2,0.009198,0.191930,0.174408,0.200501,0.205184,0.199429,0.209710,0.224297,0.205814,0.230892,0.217477
F5_60MHz_201__P2_r1_-150_-100_s1,0.009228,0.238506,0.215755,0.185865,0.209095,0.223349,0.219077,0.254965,0.267556,0.256568,0.332067
F5_60MHz_201__P2_r1_-150_-100_s2,0.007880,0.223567,0.216244,0.215053,0.192677,0.173343,0.237656,0.272593,0.274666,0.290094,0.314865
F5_60MHz_201__P2_r2_-150_-110_s1,0.009228,0.132043,0.142319,0.121822,0.104641,0.130016,0.108823,0.109944,0.129178,0.153382,0.117089
F5_60MHz_201__P2_r2_-150_-110_s2,0.007880,0.151983,0.128585,0.148511,0.121678,0.121827,0.111330,0.122881,0.138634,0.134328,0.138255
F5_60MHz_201__P2_r3_-140_-110_s1,0.010570,0.168834,0.145731,0.165881,0.154008,0.167606,0.151225,0.157250,0.171168,0.167184,0.181233
F5_60MHz_201__P2_r3_-140_-110_s2,0.009491,0.165251,0.195310,0.161969,0.164174,0.174759,0.152666,0.166659,0.139548,0.168616,0.180845
F5_60MHz_401__P2_r1_-150_-100_s1,0.009125,0.238723,0.245785,0.242034,0.241409,0.247446,0.320945,0.327751,0.351401,0.416257,0.359831
F5_60MHz_401__P2_r1_-150_-100_s2,0.007943,0.265839,0.232588,0.260190,0.313491,0.304341,0.319617,0.317825,0.371310,0.372819,0.367514
F5_60MHz_401__P2_r2_-150_-110_s1,0.009125,0.175862,0.135024,0.118493,0.138818,0.119629,0.135113,0.159097,0.164533,0.141790,0.150085
F5_60MHz_401__P2_r2_-150_-110_s2,0.007943,0.148715,0.136015,0.123959,0.123814,0.140313,0.157392,0.172032,0.171526,0.143132,0.170827
F5_60MHz_401__P2_r3_-140_-110_s1,0.010552,0.164838,0.166872,0.170310,0.167558,0.174059,0.177228,0.198300,0.187949,0.215077,0.214029
F5_60MHz_401__P2_r3_-140_-110_s2,0.009298,0.177403,0.193231,0.183638,0.180086,0.198920,0.174415,0.199055,0.214653,0.203418,0.217704
F5_70MHz_201__P2_r1_-150_-100_s1,0.009158,0.271431,0.224683,0.221203,0.232297,0.217944,0.216172,0.228194,0.238069,0.235536,0.259923
F5_70MHz_201__P2_r1_-150_-100_s2,0.007880,0.264716,0.243219,0.221615,0.209272,0.246752,0.288542,0.251153,0.267020,0.287714,0.246843
F5_70MHz_201__P2_r2_-150_-110_s1,0.009158,0.156171,0.124627,0.123848,0.123489,0.116669,0.116330,0.109141,0.110795,0.115516,0.107121
F5_70MHz_201__P2_r2_-150_-110_s2,0.007880,0.153182,0.139172,0.125490,0.111147,0.120549,0.102542,0.116419,0.137979,0.131078,0.126028
F5_70MHz_201__P2_r3_-140_-110_s1,0.010618,0.196463,0.172432,0.154204,0.149440,0.147575,0.160073,0.183769,0.179787,0.129416,0.179380
F5_70MHz_201__P2_r3_-140_-110_s2,0.009266,0.212490,0.192891,0.186264,0.183393,0.174949,0.161717,0.165338,0.161388,0.193327,0.177887
F5_70MHz_401__P2_r1_-150_-100_s1,0.009125,0.242787,0.189971,0.198074,0.236713,0.220638,0.313199,0.317706,0.375890,0.336760,0.378511
F5_70MHz_401__P2_r1_-150_-100_s2,0.007909,0.319754,0.271305,0.236202,0.297868,0.277483,0.314668,0.289724,0.388134,0.364969,0.371573
F5_70MHz_401__P2_r2_-150_-110_s1,0.009125,0.142029,0.139744,0.122516,0.123535,0.148261,0.148660,0.130951,0.156947,0.130774,0.164863
F5_70MHz_401__P2_r2_-150_-110_s2,0.007909,0.141337,0.127468,0.107804,0.118324,0.131506,0.133604,0.136180,0.141070,0.142877,0.148861
F5_70MHz_401__P2_r3_-140_-110_s1,0.010552,0.162189,0.185468,0.168622,0.172493,0.189566,0.182426,0.196921,0.196666,0.188500,0.191190
F5_70MHz_401__P2_r3_-140_-110_s2,0.009261,0.173245,0.160375,0.164080,0.181328,0.176046,0.193549,0.182073,0.208814,0.221161,0.214828
A1__A2_agent,0.024804,0.103414,0.165761,0.106546,0.179611,0.151207,0.120964,0.107741,0.113711,0.098594,0.078711
