epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_residual_gate_mean,val_runtime_seconds,val_parameter_count
0,0.2276682696844402,9.992859648527404e-08,4.450390080316873e-07,0.9106717831210086,0.0,0.0,0.0,0.0,0.2152639552950859,6.974912558632695e-08,3.1012952916853465e-07,0.8610548973083496,0.0,0.0,0.0,0.0,0.2333368040621281,0.23082859292626381,0.9280680418014526,nan,nan,nan,nan,nan,nan,nan,0.09476456401171163,115238
1,0.20326024607608192,9.99666393173165e-08,4.451932795745961e-07,0.8130396949617487,0.0,0.0,0.0,0.0,0.18932148069143295,6.972610577804517e-08,3.100094261299091e-07,0.7572849988937378,0.0,0.0,0.0,0.0,0.23341181576251985,0.2309001639485359,0.8701341152191162,nan,nan,nan,nan,nan,nan,nan,0.020033258944749832,115238
2,0.17392730007046148,9.985039714353518e-08,4.446730515969409e-07,0.6957079015280071,0.0,0.0,0.0,0.0,0.15756524354219437,6.959236387160672e-08,3.0941939144213393e-07,0.6302600502967834,0.0,0.0,0.0,0.0,0.23324566558003426,0.23073698207736015,0.7933530211448669,nan,nan,nan,nan,nan,nan,nan,0.016171375988051295,115238
3,0.13576200604438782,9.987140190871383e-08,4.447828431645911e-07,0.5430467316978856,0.0,0.0,0.0,0.0,0.11388463154435158,6.961724707821304e-08,3.0952481466783865e-07,0.4555376321077347,0.0,0.0,0.0,0.0,0.23333471417427062,0.23082205578684806,0.67279914021492,nan,nan,nan,nan,nan,nan,nan,0.012123410007916391,115238
4,0.08268150334295474,1.0007738749987095e-07,4.4570104762442497e-07,0.3307247232449682,0.0,0.0,0.0,0.0,0.058296460658311844,6.982092770613235e-08,3.104464525449657e-07,0.23318494856357574,0.0,0.0,0.0,0.0,0.23366634920239449,0.23115413114428518,0.4737968146800995,nan,nan,nan,nan,nan,nan,nan,0.011545811023097485,115238
5,0.029513710227451827,1.0038070323497251e-07,4.470609269446868e-07,0.11805354509698718,0.0,0.0,0.0,0.0,0.013718712609261274,7.014203085020654e-08,3.11887767168173e-07,0.054873946122825146,0.0,0.0,0.0,0.0,0.23423923254013063,0.23173215463757513,0.20886342972517014,nan,nan,nan,nan,nan,nan,nan,0.012981280975509435,115238
6,0.009542688996972222,1.006171217454721e-07,4.481267216018942e-07,0.03816945703798219,0.0,0.0,0.0,0.0,0.005353507804102264,7.028122972485562e-08,3.1251023813183565e-07,0.021413124224636704,0.0,0.0,0.0,0.0,0.23454868644475937,0.23204290643334388,0.0857031587511301,nan,nan,nan,nan,nan,nan,nan,0.013471575977746397,115238
7,0.006883553731696386,1.0057490952345017e-07,4.479260628374361e-07,0.027532916393523153,0.0,0.0,0.0,0.0,0.0022267565364018083,7.02066582647376e-08,3.1217096108093756e-07,0.008906120783649385,0.0,0.0,0.0,0.0,0.23433418944478035,0.23182228580117226,0.07817763462662697,nan,nan,nan,nan,nan,nan,nan,0.010617713036481291,115238
8,0.0027975094333094986,1.0040512496277045e-07,4.471580573887255e-07,0.011188741822383906,0.0,0.0,0.0,0.0,0.0026704835472628474,7.011113289934201e-08,3.117367413096872e-07,0.010681030340492725,0.0,0.0,0.0,0.0,0.23417224884033203,0.2316564328968525,0.09913519769906998,nan,nan,nan,nan,nan,nan,nan,0.013813647034112364,115238
9,0.0018984123292428098,1.0030435747484932e-07,4.466959817244443e-07,0.007592354643795835,0.0,0.0,0.0,0.0,0.0011372182343620807,7.013085401297303e-08,3.1182283777297926e-07,0.004547968739643693,0.0,0.0,0.0,0.0,0.2343354880809784,0.23182065263390542,0.062250684946775436,nan,nan,nan,nan,nan,nan,nan,0.016854581015650183,115238
