epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_runtime_seconds,val_parameter_count
0,0.13438545559581958,1.0015567734231617e-07,4.4189143385378163e-07,0.817815792403723,0.4530902944113079,1.9783873307077509,1.3690126130455418,0.04543472081422806,7.046587491288392e-08,3.0748718415907206e-07,0.1532997377216816,0.3379814252257347,1.7302255630493164,1.275649070739746,0.23567002266645432,0.2300516113638878,0.37075766921043396,0.3379814252257347,0.797626689405424,0.09985290467739105,1.7302255630493164,1.275649070739746,0.011070583073887974,2591265
1,0.053526008697716815,1.0103510524124048e-07,4.4184890824501626e-07,0.15293455280755697,0.4396690028278451,1.7255386302345677,1.7920133816568475,0.03507612645626068,7.011453462268946e-08,3.0727532163155047e-07,0.06986174173653126,0.3336559757590294,1.6317411661148071,1.440203607082367,0.2348448522388935,0.2299107275903225,0.2306426763534546,0.3336559757590294,0.7816803828582346,0.09747831523418427,1.6317411661148071,1.440203607082367,0.013253036013338715,2591265
2,0.04627573313681703,9.993607027294466e-08,4.4129194520792225e-07,0.09328399966225813,0.4385163940881428,1.7589919065174304,1.7044213445563066,0.03139254171401262,6.980131672662537e-08,3.0712314469383273e-07,0.040728033520281315,0.33131174743175507,1.5261408686637878,1.5568004250526428,0.23409441933035852,0.2298081122338772,0.1687939427793026,0.33131174743175507,0.7670210724990227,0.10676635801792145,1.5261408686637878,1.5568004250526428,0.011216405953746289,2591265
3,0.03835640533974296,9.971411355093694e-08,4.409683610542982e-07,0.03226237646058986,0.43105723983363103,1.5010266805949963,1.9570490812000476,0.02821857575327158,6.963153609262918e-08,3.0698751629643084e-07,0.017908205278217793,0.3258669152855873,1.2522704601287842,1.7483696937561035,0.23368390947580336,0.22972978949546813,0.11503764986991882,0.3258669152855873,0.7497563559895353,0.13689449429512024,1.2522704601287842,1.7483696937561035,0.03615122096380219,2591265
4,0.036071454812037315,9.949250050723142e-08,4.408247940246886e-07,0.019414031976147703,0.42176787163081925,1.2378216730920892,1.9581672015943026,0.027430733665823936,6.94830859515605e-08,3.0699421671442906e-07,0.018278376199305058,0.315463624894619,1.0259563028812408,1.6024001240730286,0.233313649892807,0.2297262951731682,0.11044253781437874,0.315463624894619,0.7364329983207677,0.14717543125152588,1.0259563028812408,1.6024001240730286,0.010606139025185257,2591265
5,0.03417728586416496,9.936856390356154e-08,4.407315349166502e-07,0.012512315554838432,0.40844333799261795,0.8713369244023373,1.7723623576917147,0.025053787976503372,6.940068963956492e-08,3.0694005204168207e-07,0.009565940592437983,0.29882045835256577,0.7251940667629242,1.2335803508758545,0.2331160381436348,0.2297018453478813,0.08450020477175713,0.29882045835256577,0.7197452378262226,0.1588457077741623,0.7251940667629242,1.2335803508758545,0.011674823064822704,2591265
6,0.03252031007095387,9.929695839841052e-08,4.407135723962902e-07,0.006973204141678779,0.3960398090513129,0.6638474213449579,1.3296726377386796,0.023706335574388504,6.935612617553488e-08,3.069961351798156e-07,0.00677912961691618,0.28615752607584,0.5670593678951263,0.7039121985435486,0.23299887776374817,0.22972679585218428,0.06565225683152676,0.28615752607584,0.7208119937266142,0.15611832588911057,0.5670593678951263,0.7039121985435486,0.012428160000126809,2591265
7,0.031626454015311445,9.925730450420719e-08,4.4075035457593146e-07,0.004306432594986339,0.3888667727771558,0.50880849988837,0.9329519773784437,0.02286147838458419,6.932906515544346e-08,3.070582792474852e-07,0.004121351055800915,0.27958347648382187,0.409390464425087,0.4746449589729309,0.23292967900633813,0.22975996807217597,0.05536011420190334,0.27958347648382187,0.7043813944788861,0.15680455416440964,0.409390464425087,0.4746449589729309,0.021806886012200266,2591265
8,0.031085650191495295,9.923788275344985e-08,4.4083050978004297e-07,0.002629081620589683,0.38462274796084356,0.3953732675627658,0.7792012503272608,0.022496693767607212,6.931611906679791e-08,3.0715191456920365e-07,0.0025619444786570966,0.27736277878284454,0.33297574520111084,0.42058634757995605,0.2328887231647968,0.22980407029390337,0.04291231743991375,0.27736277878284454,0.6921867346783183,0.15737833827733994,0.33297574520111084,0.42058634757995605,0.014197062002494931,2591265
9,0.03078052597610574,9.92208052327657e-08,4.408911287986197e-07,0.0013230143323246586,0.3827677918107886,0.31283714739899887,0.7289676227067646,0.02236883109435439,6.930434359730953e-08,3.072278929039385e-07,0.0019882356573361903,0.2766250669956207,0.3097146451473236,0.42804744839668274,0.2328545764088631,0.22984221279621125,0.02955443598330021,0.2766250669956207,0.6890273702416863,0.1581079065799713,0.3097146451473236,0.42804744839668274,0.011128900980111212,2591265
10,0.030663664599782543,9.921486266469066e-08,4.4098355320592847e-07,0.0008271439429862719,0.3820508279298481,0.27291335243927806,0.7589471026470787,0.022247726563364267,6.929838392011334e-08,3.073133072462042e-07,0.001115551196562592,0.2764202728867531,0.2876501530408859,0.4471317231655121,0.2328309454023838,0.22988157719373703,0.023906166665256023,0.2764202728867531,0.6901115732934394,0.15890897810459137,0.2876501530408859,0.4471317231655121,0.013106491009239107,2591265
11,0.030566724507432235,9.921295691427938e-08,4.410796844024988e-07,0.0003568513233116583,0.3815445037264573,0.25637201415865046,0.7391905972832128,0.02218366600573063,6.929303353331306e-08,3.0738816292341653e-07,0.000781925606133882,0.2761199548840523,0.28042519092559814,0.4165925681591034,0.23280817791819572,0.2299141936004162,0.021042585372924805,0.2761199548840523,0.6878218747666534,0.1590135172009468,0.28042519092559814,0.4165925681591034,0.01994287100387737,2591265
12,0.03053498464195352,9.920852200569865e-08,4.4115139387127114e-07,0.0002651016647608853,0.3812853944929023,0.2461140736153251,0.705242677738792,0.022160257678478956,6.928877382961218e-08,3.0745604817639105e-07,0.0005891379951208364,0.2761165574193001,0.2768475115299225,0.4210362732410431,0.23278959617018702,0.22994441017508507,0.015377041883766651,0.2761165574193001,0.6885284901083958,0.15892481803894043,0.2768475115299225,0.4210362732410431,0.01025957497768104,2591265
13,0.030502157775979293,9.92071615033446e-08,4.4122630601793246e-07,0.0001972716663179821,0.3809767898760344,0.23911637695212112,0.7199107722232216,0.022154738660901785,6.928751439261305e-08,3.0752708823911235e-07,0.0004780330491485074,0.27621420472860336,0.27088527381420135,0.4427570402622223,0.23277782425284385,0.22997569367289541,0.013938210671767592,0.27621420472860336,0.6903956870754565,0.15900110453367233,0.27088527381420135,0.4427570402622223,0.011364605044946074,2591265
14,0.030481949154483646,9.920923217446455e-08,4.4130629966706406e-07,0.00015349966767979297,0.3807898446133262,0.22810296635878713,0.7754072327362863,0.02215607650578022,6.928826934426979e-08,3.075977161870469e-07,0.0004204350643703947,0.2763173133134842,0.2633139044046402,0.4652203321456909,0.2327709786593914,0.23000656366348268,0.013141067698597908,0.2763173133134842,0.6924159010755501,0.15917077660560608,0.2633139044046402,0.4652203321456909,0.009136968001257628,2591265
15,0.030472879150980396,9.921069626647008e-08,4.413758296394869e-07,0.0001375427680996884,0.38070040627529744,0.2252403215358132,0.7479305267333984,0.022134438157081604,6.92878998620472e-08,3.0765597358595187e-07,0.0003165566831739852,0.2762026712298393,0.2592417970299721,0.4476657807826996,0.2327624998986721,0.23003165796399117,0.011751246638596058,0.2762026712298393,0.6907878576669779,0.15931926667690277,0.2592417970299721,0.4476657807826996,0.011293082032352686,2591265
16,0.03042676103742499,9.921157808740215e-08,4.414347628019306e-07,0.00011378585527142461,0.38015956313986526,0.2164282485058433,0.7746077211279618,0.02213591942563653,6.928721241195035e-08,3.0770490866416367e-07,0.0002459222414472606,0.27632711827754974,0.25128503143787384,0.473265677690506,0.2327548608183861,0.23005317747592924,0.010875049512833357,0.27632711827754974,0.6929226362107044,0.15946320444345474,0.25128503143787384,0.473265677690506,0.01043719903100282,2591265
17,0.030414476206428127,9.921149544006287e-08,4.414821118739622e-07,9.916144182697233e-05,0.38002794353585495,0.2088235295132587,0.7984149330540707,0.022127879317849874,6.928738827127745e-08,3.0775121473425315e-07,0.0002106490937876515,0.2762795463204384,0.24724900722503662,0.46729809045791626,0.23274910300970075,0.23007297664880752,0.011616070754826069,0.2762795463204384,0.6925995125099353,0.15962201356887817,0.24724900722503662,0.46729809045791626,0.012515796988736838,2591265
