workload_id,stress_level,intervention,intervention_class,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,paired_delta_lfr,paired_delta_lfr_ci_lower,paired_delta_lfr_ci_upper,net_rescue_rate,net_rescue_rate_ci_lower,net_rescue_rate_ci_upper,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,num_bootstrap,bootstrap_seed
memory_x,high,reduce_idle_exposure_50pct,runtime,200,200,0,38,12,26,0,12,162,26,-0.130000,-0.175000,-0.085000,0.130000,0.085000,0.175000,0.684211,0.000000,500,2026
memory_x,high,remove_idle_noise,noise,200,200,0,38,19,19,0,19,162,19,-0.095000,-0.140000,-0.060000,0.095000,0.060000,0.135000,0.500000,0.000000,500,2026
memory_x,high,weaken_data_noise_50pct,noise,200,200,0,38,19,19,0,19,162,19,-0.095000,-0.135000,-0.055000,0.095000,0.060000,0.135000,0.500000,0.000000,500,2026
memory_x,high,weaken_measurement_noise_50pct,noise,200,200,0,38,20,18,0,20,162,18,-0.090000,-0.130000,-0.055000,0.090000,0.050000,0.135000,0.473684,0.000000,500,2026
memory_x,high,prioritize_high_weight_syndromes,policy,200,200,0,38,28,11,1,27,161,10,-0.050000,-0.085000,-0.020000,0.050000,0.020000,0.080000,0.289474,0.006173,500,2026
memory_x,high,weaken_idle_noise_50pct,noise,200,200,0,38,28,10,0,28,162,10,-0.050000,-0.075000,-0.025000,0.050000,0.025000,0.080000,0.263158,0.000000,500,2026
memory_x,high,relax_decoder_deadline_2x,policy,200,200,0,38,31,7,0,31,162,7,-0.035000,-0.060000,-0.015000,0.035000,0.015000,0.060000,0.184211,0.000000,500,2026
memory_x,high,remove_decoder_timeout,policy,200,200,0,38,35,4,1,34,161,3,-0.015000,-0.040000,0.005000,0.015000,-0.005000,0.040000,0.105263,0.006173,500,2026
memory_x,low,increase_decoder_service_rate_2x,runtime,200,200,0,0,0,0,0,0,200,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500,2026
memory_x,low,increase_decoder_workers_2x,runtime,200,200,0,0,0,0,0,0,200,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500,2026
