experiment_name,code_family,control_mode,basis,cycles,workload_id,num_pairs,paired_delta_lfr,paired_bootstrap_std,unpaired_bootstrap_std,std_ratio_unpaired_over_paired,paired_ci_lower,paired_ci_upper,unpaired_ci_lower,unpaired_ci_upper,num_bootstrap,source_data_dir
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,70,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_X_r070,10000,-0.020200,0.004636,0.007145,1.541198,-0.029700,-0.010500,-0.033600,-0.006000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/X/r070
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,90,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_X_r090,10000,-0.016000,0.004578,0.006119,1.336688,-0.026000,-0.006700,-0.026000,-0.003100,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/X/r090
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,110,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_X_r110,10000,-0.022200,0.005657,0.007348,1.298912,-0.033000,-0.011500,-0.038300,-0.009400,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/X/r110
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,130,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_X_r130,10000,-0.021300,0.004880,0.007152,1.465512,-0.029700,-0.011100,-0.036800,-0.008100,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/X/r130
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,150,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_X_r150,10000,-0.011600,0.005180,0.006980,1.347604,-0.024800,-0.002400,-0.024600,0.002400,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/X/r150
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,10,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r010,10000,-0.003300,0.001698,0.003005,1.769313,-0.006600,-0.000500,-0.009700,0.003100,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r010
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,30,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r030,10000,-0.014100,0.002682,0.004945,1.843897,-0.019500,-0.008700,-0.024800,-0.004600,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r030
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,50,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r050,10000,-0.014900,0.003794,0.005716,1.506484,-0.023900,-0.008400,-0.024500,-0.004000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r050
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,70,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r070,10000,-0.017400,0.004749,0.005847,1.231255,-0.026100,-0.007800,-0.027500,-0.005700,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r070
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,90,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r090,10000,-0.020600,0.004252,0.005848,1.375474,-0.028800,-0.011300,-0.033800,-0.011300,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r090
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,110,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r110,10000,-0.016100,0.004485,0.006906,1.539804,-0.025700,-0.006200,-0.029100,-0.001500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r110
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,130,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r130,10000,-0.018400,0.005506,0.006817,1.238017,-0.030500,-0.008000,-0.032900,-0.005900,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r130
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,150,surface_code_distance_3_5_7_traditional_calibration_d3_8+4j_Z_r150,10000,-0.014700,0.005964,0.006327,1.060917,-0.025900,-0.002000,-0.027500,-0.004400,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+4j/Z/r150
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,10,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r010,10000,0.000300,0.001319,0.002738,2.075574,-0.002400,0.003000,-0.005200,0.005500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r010
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,30,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r030,10000,-0.005300,0.002126,0.004887,2.297979,-0.009700,-0.001600,-0.014200,0.004100,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r030
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,50,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r050,10000,-0.001500,0.002533,0.005578,2.201882,-0.006300,0.004500,-0.011800,0.009300,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r050
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,70,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r070,10000,-0.005700,0.002816,0.006452,2.291154,-0.010400,0.000800,-0.015200,0.011000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r070
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,90,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r090,10000,-0.009900,0.003573,0.007337,2.053423,-0.017200,-0.003800,-0.023100,0.003300,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r090
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,110,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r110,10000,-0.006200,0.004009,0.005728,1.428849,-0.014000,0.001200,-0.018300,0.006400,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r110
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,130,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r130,10000,-0.008000,0.004130,0.006414,1.553097,-0.017200,-0.000900,-0.015600,0.006200,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r130
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,150,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_X_r150,10000,-0.002700,0.004235,0.006476,1.529226,-0.012000,0.004900,-0.014500,0.010500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/X/r150
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,10,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r010,10000,-0.000600,0.001237,0.003179,2.570076,-0.002500,0.002200,-0.006900,0.005100,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r010
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,30,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r030,10000,0.000700,0.001858,0.004977,2.678525,-0.002800,0.004700,-0.009100,0.010300,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r030
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,50,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r050,10000,-0.007800,0.002389,0.005336,2.233171,-0.012800,-0.002600,-0.018400,0.001300,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r050
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,70,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r070,10000,-0.008800,0.002926,0.005107,1.745286,-0.013500,-0.002900,-0.018500,0.000700,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r070
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,90,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r090,10000,-0.009100,0.002986,0.005805,1.943904,-0.015100,-0.003500,-0.020200,0.002500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r090
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,110,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r110,10000,-0.010100,0.003145,0.006347,2.018128,-0.016200,-0.004500,-0.021900,0.004500,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r110
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,130,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r130,10000,-0.012000,0.003767,0.006369,1.690503,-0.020300,-0.005800,-0.024400,0.001400,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r130
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,Z,150,surface_code_distance_3_5_7_traditional_calibration_d3_8+8j_Z_r150,10000,-0.004700,0.004059,0.007097,1.748652,-0.012800,0.003600,-0.019200,0.007700,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d3_8+8j/Z/r150
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,10,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r010,10000,-0.001300,0.000784,0.001487,1.895416,-0.002600,0.000400,-0.004300,0.001200,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r010
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,30,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r030,10000,-0.005800,0.001566,0.002964,1.893257,-0.008900,-0.003400,-0.011600,0.000000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r030
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,50,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r050,10000,-0.006600,0.001841,0.004180,2.271357,-0.010100,-0.003500,-0.015600,-0.000100,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r050
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,70,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r070,10000,-0.008500,0.002259,0.004933,2.183539,-0.013000,-0.004000,-0.018900,0.001000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r070
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,90,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r090,10000,-0.009400,0.002358,0.005071,2.150792,-0.013200,-0.004400,-0.019800,0.001900,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r090
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,110,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r110,10000,-0.013600,0.002851,0.005846,2.050529,-0.019500,-0.008600,-0.026400,-0.003000,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r110
surface_code_distance_3_5_7_traditional_calibration,surface_code_memory,traditional_calibration,X,130,surface_code_distance_3_5_7_traditional_calibration_d5_0+0j_X_r130,10000,-0.015200,0.003232,0.006052,1.872525,-0.020900,-0.008500,-0.026800,-0.005700,100,data/raw/google_rl_qec_v2/surface_code_distance_3_5_7/traditional_calibration/d5_0+0j/X/r130
