summary_id,evidence_source,num_conditions,num_pairs,baseline_lfr,intervened_lfr,paired_delta_lfr,rescued_failure_count,induced_failure_count,strongest_condition,strongest_paired_delta_lfr,mean_unpaired_over_paired_std_ratio,p8_mean_decode_us,p8_p95_decode_us,p8_throughput_shots_per_second,source_artifacts
p9_real_record_decoder_pathway,P7/P7.5 real detector records,40,400000,0.121908,0.102415,-0.019492,17279,9482,surface_code_traditional_calibration_X_r090,-0.036900,1.754761,,,,data/results/p7_google_rl_qec_decoder_effect_matrix.csv|data/results/p7_5_paired_vs_unpaired_variance.csv
p9_measured_decoder_runtime_replay,P8 measured decoder replay,1,10000,,,,,,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,,,4.654311,5.642766,214854.563227,data/results/p8_decoder_runtime_summary.csv
