run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,10,52,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.087095,0.067095,False,False,False,0.000000,0.000000,0.202322,False,36,6,"[1,4,14,18,24,26]",False,False,False,False,,none,,none,no_failure,ff374f480d8c5ade72fc26fb6ee47bb3995f5b39277a9baadf9b87a051384121,248f756a6653b7d5200708348b76b2547c0dd8c4051df4e4ce6fe9d1d4883d6f
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,11,53,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.090840,0.050840,False,False,False,0.000000,0.000000,0.190130,False,36,2,"[10,11]",False,False,False,False,,none,,none,no_failure,465834b9d85069917c6bb7289c0f8a5fc83e8a3ee9f54aad3a65d1e2bdf6c5ab,c5431ff23d1af40f6bf00bf91adc8e38613233ea15219b9230ee74a47b54c072
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,12,54,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.099239,0.039239,False,False,False,0.000000,0.000000,0.181430,False,36,2,"[20,21]",False,False,False,False,,none,,none,no_failure,a033b327e2207aea80ad8bc0e63f59c67414b43eeb2721737a4253a5d2efb1a2,0c863771dedc7cc919fbee96929124cc9751723d4961ca05c649a11a2d69ecd3
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,13,55,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.080000,0.080000,0.097941,0.017941,False,False,False,0.000000,0.000000,0.165456,False,36,0,[],False,False,False,False,,none,,none,no_failure,5231ed0de9193be6b4bd57470787478776b3bf3189f42dbcbdd4757617648845,dc77aea5c1eba53a0f3cd0a2066cb85726de18d7a0c734a504a58e57897530d9
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,14,56,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.100000,0.100000,0.139723,0.039723,False,False,False,0.000000,0.000000,0.181792,False,36,3,"[16,33,34]",False,False,False,False,,none,,none,no_failure,0394613d6c1f729fbc4969a58fa0160c5f2ce11474c04bddbb6ef2835ad7f26c,c61f6d4e9c74c6afa25e450893d26d90528e3b9206fd60ec4c85386b4950bb62
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,15,57,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.120000,0.120000,0.143893,0.023893,False,False,False,0.000000,0.000000,0.169920,False,36,0,[],False,False,False,False,,none,,none,no_failure,519a7d5c943e7d594061c37dc37d20795adcd8b0e4c8d4a150450d4b3c788135,c38350402c4c4084cd7319f477d495119d46e9d2670b2c074140f8784a121246
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,16,58,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.140000,0.140000,0.191901,0.051901,False,False,False,0.000000,0.000000,0.190926,False,36,5,"[1,2,12,30,31]",False,False,False,False,,none,,none,no_failure,c0f9960436294073e907d4e83a98ecba06a7689d9e0f0c40469f7026cd4a80ce,579480956154210d574e4213ce1e67c629edd43b9b252a3eabf45d3c80057458
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,17,59,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.211037,0.051037,False,False,False,0.000000,0.000000,0.190278,False,36,2,"[6,10]",False,False,False,False,,none,,none,no_failure,2f52f9c6799818cae51e0da778f7c403780f57caf414cce8ae3807967692ab80,954d21be8c4439609d8bea267654ebba9bf4e3489b96a3f6ef9d081423b74c62
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,18,60,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.216415,0.036415,False,False,False,0.000000,0.000000,0.179311,False,36,3,"[23,27,32]",False,False,False,False,,none,,none,no_failure,71a21f94e080dcf118613463b0d85fef8daf83c025681544b101b2932159351e,f8aeeefaf1e7bc7f6c0c0af88045d5e476aaa8bf4d85942ebdaba685c8a10ebf
p4_default_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,19,61,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.240421,0.040421,False,False,False,0.000000,0.000000,0.182316,False,36,3,"[3,6,10]",True,True,False,False,,none,,none,no_failure,9ff95138e83a391be86e1487e9620b94db3539ebe43125b58e078b5ae4c010c3,8315955e9960ff9898a49ab71d1425ef3119594f90735efab45ceb1fc81bc08b
