train_group,test_group,train_num_conditions,test_num_conditions,train_mean_delta_lfr,train_sign_negative_fraction,test_mean_delta_lfr,test_sign_negative_fraction,test_sign_consistent_count,test_conditions
traditional_calibration,reinforcement_learning,20,20,-0.021420,1.000000,-0.017565,1.000000,20/20,"surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning, surface_code_reinforcement_learning"
reinforcement_learning,traditional_calibration,20,20,-0.017565,1.000000,-0.021420,1.000000,20/20,"surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration, surface_code_traditional_calibration"
