train_mode,test_mode,policy,deadline_us,tesseract_multiplier,tesseract_mu_us,tesseract_sigma_us,cm_on_time_prob,tess_on_time_prob,effective_lfr,baseline_lfr_always_cm,intervened_lfr_always_tess,deadline_feasible_fraction,num_test_conditions
reinforcement_learning,traditional_calibration,burden_threshold,7,1.250000,5.817500,0.623750,0.999999,0.971006,0.111566,0.132365,0.111566,1.000000,20
reinforcement_learning,traditional_calibration,always_correlated_matching,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.132365,0.132365,0.110950,1.000000,20
reinforcement_learning,traditional_calibration,always_tesseract,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.110950,0.132365,0.110950,1.000000,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.110950,0.132365,0.110950,1.000000,20
reinforcement_learning,traditional_calibration,burden_threshold,8,1.250000,5.817500,0.623750,1.000000,0.999766,0.110950,0.132365,0.110950,1.000000,20
reinforcement_learning,traditional_calibration,always_correlated_matching,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.150465,0.150465,0.150464,0.095024,20
reinforcement_learning,traditional_calibration,always_tesseract,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.150464,0.150465,0.150464,0.095024,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.150464,0.150465,0.150464,0.095024,20
reinforcement_learning,traditional_calibration,burden_threshold,4,1.500000,6.981000,0.748500,0.094993,0.000034,0.150464,0.150465,0.150464,0.095024,20
reinforcement_learning,traditional_calibration,always_correlated_matching,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.137246,0.137246,0.137139,0.756959,20
reinforcement_learning,traditional_calibration,always_tesseract,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.137139,0.137246,0.137139,0.756959,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.137139,0.137246,0.137139,0.756959,20
reinforcement_learning,traditional_calibration,burden_threshold,5,1.500000,6.981000,0.748500,0.755967,0.004065,0.137139,0.137246,0.137139,0.756959,20
reinforcement_learning,traditional_calibration,always_correlated_matching,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.132435,0.132435,0.130393,0.996838,20
reinforcement_learning,traditional_calibration,always_tesseract,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.130393,0.132435,0.130393,0.996838,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.130393,0.132435,0.130393,0.996838,20
reinforcement_learning,traditional_calibration,burden_threshold,6,1.500000,6.981000,0.748500,0.996506,0.094993,0.130393,0.132435,0.130393,0.996838,20
reinforcement_learning,traditional_calibration,always_correlated_matching,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.132365,0.132365,0.121438,0.999999,20
reinforcement_learning,traditional_calibration,always_tesseract,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.121438,0.132365,0.121438,0.999999,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.121438,0.132365,0.121438,0.999999,20
reinforcement_learning,traditional_calibration,burden_threshold,7,1.500000,6.981000,0.748500,0.999999,0.510126,0.121438,0.132365,0.121438,0.999999,20
reinforcement_learning,traditional_calibration,always_correlated_matching,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.132365,0.132365,0.112802,1.000000,20
reinforcement_learning,traditional_calibration,always_tesseract,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.112802,0.132365,0.112802,1.000000,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.112802,0.132365,0.112802,1.000000,20
reinforcement_learning,traditional_calibration,burden_threshold,8,1.500000,6.981000,0.748500,1.000000,0.913305,0.112802,0.132365,0.112802,1.000000,20
reinforcement_learning,traditional_calibration,always_correlated_matching,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,always_tesseract,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,burden_threshold,4,2.000000,9.308000,0.998000,0.094993,0.000000,0.150465,0.150465,0.150465,0.094993,20
reinforcement_learning,traditional_calibration,always_correlated_matching,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.137246,0.137246,0.137245,0.755969,20
reinforcement_learning,traditional_calibration,always_tesseract,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.137245,0.137246,0.137245,0.755969,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.137245,0.137246,0.137245,0.755969,20
reinforcement_learning,traditional_calibration,burden_threshold,5,2.000000,9.308000,0.998000,0.755967,0.000008,0.137245,0.137246,0.137245,0.755969,20
reinforcement_learning,traditional_calibration,always_correlated_matching,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.132435,0.132435,0.132425,0.996507,20
reinforcement_learning,traditional_calibration,always_tesseract,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.132425,0.132435,0.132425,0.996507,20
reinforcement_learning,traditional_calibration,failureops_cycle_threshold,6,2.000000,9.308000,0.998000,0.996506,0.000459,0.132425,0.132435,0.132425,0.996507,20
