source_dataset,dataset_family,experiment_name,code_family,basis,distance,cycles,center,workload_id,baseline_decoder_pathway,intervened_decoder_pathway,num_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,baseline_lfr,intervened_lfr,paired_delta_lfr,net_rescue_rate,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,mean_detector_event_count,source_data_dir
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r05_center_5_5,surface_code_memory,Z,5,5,5_5,qec3v5_surface_code_Z_d5_r5_center_5_5,pymatching,correlated_matching,10000,1350,1183,510,343,840,8307,167,0.135000,0.118300,-0.016700,0.016700,0.377778,0.039653,16.703800,data/raw/google_qec3v5/surface_code_bZ_d5_r05_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r07_center_5_5,surface_code_memory,Z,5,7,5_5,qec3v5_surface_code_Z_d5_r7_center_5_5,pymatching,correlated_matching,10000,1998,1733,761,496,1237,7506,265,0.199800,0.173300,-0.026500,0.026500,0.380881,0.061985,24.614700,data/raw/google_qec3v5/surface_code_bZ_d5_r07_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r09_center_5_5,surface_code_memory,Z,5,9,5_5,qec3v5_surface_code_Z_d5_r9_center_5_5,pymatching,correlated_matching,10000,2461,2117,995,651,1466,6888,344,0.246100,0.211700,-0.034400,0.034400,0.404307,0.086351,32.176400,data/raw/google_qec3v5/surface_code_bZ_d5_r09_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r11_center_5_5,surface_code_memory,Z,5,11,5_5,qec3v5_surface_code_Z_d5_r11_center_5_5,pymatching,correlated_matching,10000,2831,2526,1138,833,1693,6336,305,0.283100,0.252600,-0.030500,0.030500,0.401978,0.116195,40.413800,data/raw/google_qec3v5/surface_code_bZ_d5_r11_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r13_center_5_5,surface_code_memory,Z,5,13,5_5,qec3v5_surface_code_Z_d5_r13_center_5_5,pymatching,correlated_matching,10000,3327,2900,1391,964,1936,5709,427,0.332700,0.290000,-0.042700,0.042700,0.418094,0.144463,48.090900,data/raw/google_qec3v5/surface_code_bZ_d5_r13_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r15_center_5_5,surface_code_memory,Z,5,15,5_5,qec3v5_surface_code_Z_d5_r15_center_5_5,pymatching,correlated_matching,10000,3570,3151,1548,1129,2022,5301,419,0.357000,0.315100,-0.041900,0.041900,0.433613,0.175583,55.897100,data/raw/google_qec3v5/surface_code_bZ_d5_r15_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r17_center_5_5,surface_code_memory,Z,5,17,5_5,qec3v5_surface_code_Z_d5_r17_center_5_5,pymatching,correlated_matching,10000,3805,3472,1605,1272,2200,4923,333,0.380500,0.347200,-0.033300,0.033300,0.421813,0.205327,64.571000,data/raw/google_qec3v5/surface_code_bZ_d5_r17_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r19_center_5_5,surface_code_memory,Z,5,19,5_5,qec3v5_surface_code_Z_d5_r19_center_5_5,pymatching,correlated_matching,10000,3865,3530,1674,1339,2191,4796,335,0.386500,0.353000,-0.033500,0.033500,0.433118,0.218256,72.030700,data/raw/google_qec3v5/surface_code_bZ_d5_r19_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r21_center_5_5,surface_code_memory,Z,5,21,5_5,qec3v5_surface_code_Z_d5_r21_center_5_5,pymatching,correlated_matching,10000,4151,3837,1761,1447,2390,4402,314,0.415100,0.383700,-0.031400,0.031400,0.424235,0.247393,80.896900,data/raw/google_qec3v5/surface_code_bZ_d5_r21_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r23_center_5_5,surface_code_memory,Z,5,23,5_5,qec3v5_surface_code_Z_d5_r23_center_5_5,pymatching,correlated_matching,10000,4256,3946,1867,1557,2389,4187,310,0.425600,0.394600,-0.031000,0.031000,0.438675,0.271065,87.515100,data/raw/google_qec3v5/surface_code_bZ_d5_r23_center_5_5
google_qec3v5_2022,google_surface_code_scaling_2022,surface_code_bZ_d5_r25_center_5_5,surface_code_memory,Z,5,25,5_5,qec3v5_surface_code_Z_d5_r25_center_5_5,pymatching,correlated_matching,10000,4301,4073,1905,1677,2396,4022,228,0.430100,0.407300,-0.022800,0.022800,0.442920,0.294262,95.384600,data/raw/google_qec3v5/surface_code_bZ_d5_r25_center_5_5
