run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,16,58,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.140000,0.140000,0.191901,0.051901,False,False,False,0.000000,0.000000,0.190926,False,36,5,"[1,2,12,30,31]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,17,59,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.211037,0.051037,False,False,False,0.000000,0.000000,0.190278,False,36,2,"[6,10]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,18,60,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.216415,0.036415,False,False,False,0.000000,0.000000,0.179311,False,36,3,"[23,27,32]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,19,61,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.240421,0.040421,False,False,False,0.000000,0.000000,0.182316,False,36,3,"[3,6,10]",True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,20,62,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.282169,0.062169,False,False,False,0.000000,0.000000,0.198627,False,36,4,"[6,10,29,33]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,21,63,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.240000,0.240000,0.305865,0.065865,False,False,False,0.000000,0.000000,0.201399,False,36,4,"[12,13,14,18]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,22,64,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.260000,0.260000,0.293602,0.033602,False,False,False,0.000000,0.000000,0.177202,False,36,2,"[1,5]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,23,65,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.280000,0.280000,0.316420,0.036420,False,False,False,0.000000,0.000000,0.179315,False,36,3,"[6,7,19]",True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,24,66,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.300000,0.300000,0.360329,0.060329,False,False,False,0.000000,0.000000,0.197247,False,36,4,"[8,12,23,27]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,25,67,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.320000,0.320000,0.350016,0.030016,False,False,False,0.000000,0.000000,0.174512,False,36,1,[35],True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,26,68,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.000000,0.000000,0.039225,0.039225,False,False,False,0.000000,0.000000,0.181418,False,36,2,"[28,34]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,27,69,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.064607,0.044607,False,False,False,0.000000,0.000000,0.185456,False,36,3,"[10,11,32]",False,False,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,28,70,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.077114,0.037114,False,False,False,0.000000,0.000000,0.179836,False,36,3,"[3,21,22]",True,True,False,False,,none,,none,no_failure
p3_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,29,71,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.086927,0.026927,False,False,False,0.000000,0.000000,0.172195,False,36,1,[19],True,True,False,False,,none,,none,no_failure
