experiment_name,code_family,control_mode,basis,cycles,workload_id,transition_class,num_shots,mean_detector_event_count,mean_early_detector_count,mean_mid_detector_count,mean_late_detector_count,burst_fraction,mean_first_detector_fraction,source_data_dir
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,26,color_code_distance_5_traditional_calibration_X_r026,rescued,945,70.722751,23.027513,24.051852,23.643386,1.000000,0.032908,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r026
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,26,color_code_distance_5_traditional_calibration_X_r026,induced,700,71.074286,23.400000,24.108571,23.565714,1.000000,0.032381,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r026
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,26,color_code_distance_5_traditional_calibration_X_r026,unchanged_failure,1727,69.916618,22.861610,23.738854,23.316155,1.000000,0.032966,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r026
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,26,color_code_distance_5_traditional_calibration_X_r026,unchanged_success,6628,63.874623,20.743361,21.715902,21.415359,1.000000,0.034932,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r026
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,30,color_code_distance_5_traditional_calibration_X_r030,rescued,979,79.320735,26.058223,26.689479,26.573034,1.000000,0.027242,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r030
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,30,color_code_distance_5_traditional_calibration_X_r030,induced,805,80.688199,26.642236,27.039752,27.006211,1.000000,0.028109,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r030
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,30,color_code_distance_5_traditional_calibration_X_r030,unchanged_failure,1796,78.566815,26.017261,26.351336,26.198218,1.000000,0.026650,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r030
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,30,color_code_distance_5_traditional_calibration_X_r030,unchanged_success,6420,72.680685,23.977882,24.451869,24.250935,0.999844,0.028670,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r030
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,34,color_code_distance_5_traditional_calibration_X_r034,rescued,1121,91.138269,30.125781,30.703836,30.308653,1.000000,0.024010,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r034
color_code_distance_5_traditional_calibration,color_code_memory,traditional_calibration,X,34,color_code_distance_5_traditional_calibration_X_r034,induced,860,91.793023,30.166279,30.670930,30.955814,1.000000,0.025027,data/raw/google_rl_qec_v2/color_code_distance_5/traditional_calibration/X/r034
