source_data_dir,baseline_prior,intervened_prior,workload_id,stress_level,intervention,intervention_class,num_pairs,valid_pairs,invalid_pairs,baseline_failure_count,intervened_failure_count,rescued_failure_count,induced_failure_count,unchanged_failure_count,unchanged_success_count,net_rescue_count,paired_delta_lfr,paired_delta_lfr_ci_lower,paired_delta_lfr_ci_upper,net_rescue_rate,net_rescue_rate_ci_lower,net_rescue_rate_ci_upper,rescue_rate_among_baseline_failures,induction_rate_among_baseline_successes,num_bootstrap,bootstrap_seed
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r21,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r21,real_device,switch_decoder_prior,decoder,10000,10000,0,3756,3440,1539,1223,2217,5021,316,-0.031600,-0.040600,-0.020900,0.031600,0.021600,0.039700,0.409744,0.195868,100,2428
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r25,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,4042,3995,1283,1236,2759,4722,47,-0.004700,-0.014000,0.005800,0.004700,-0.004900,0.013900,0.317417,0.207452,100,2526
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r25,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,4042,3882,1531,1371,2511,4587,160,-0.016000,-0.025400,-0.005000,0.016000,0.005600,0.026800,0.378773,0.230111,100,2527
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q4_5/X/r25,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q4_5_X_r25,real_device,switch_decoder_prior,decoder,10000,10000,0,4042,3905,1588,1451,2454,4507,137,-0.013700,-0.024000,-0.004300,0.013700,0.002500,0.024700,0.392875,0.243538,100,2528
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r05,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1297,1264,348,315,949,8388,33,-0.003300,-0.007600,0.001200,0.003300,-0.002000,0.007900,0.268311,0.036194,100,2626
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r05,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1297,1170,437,310,860,8393,127,-0.012700,-0.018000,-0.007500,0.012700,0.007100,0.017900,0.336931,0.035620,100,2627
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r05,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r05,real_device,switch_decoder_prior,decoder,10000,10000,0,1297,1191,437,331,860,8372,106,-0.010600,-0.015500,-0.006200,0.010600,0.006600,0.016600,0.336931,0.038033,100,2628
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r09,dem_simple,dem_correlations,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,1966,1868,569,471,1397,7563,98,-0.009800,-0.016600,-0.005400,0.009800,0.004500,0.014300,0.289420,0.058626,100,2726
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r09,dem_simple,dem_rl_isolated_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,1966,1772,703,509,1263,7525,194,-0.019400,-0.028400,-0.013500,0.019400,0.011500,0.025700,0.357579,0.063356,100,2727
data/raw/google_decoder_priors/sycamore_surface_code_d3_d5/sample_00/d3_at_q6_3/X/r09,dem_simple,dem_rl_shared_correlated_matching,sycamore_surface_code_d3_d5_sample_00_d3_at_q6_3_X_r09,real_device,switch_decoder_prior,decoder,10000,10000,0,1966,1762,717,513,1249,7521,204,-0.020400,-0.028100,-0.013700,0.020400,0.012500,0.026500,0.364700,0.063854,100,2728
