run_id,workload_id,stress_level,experiment_name,basis,cycles,cycle_dir,source_data_dir,decoder_pathway,repeat_id,batch_id,batch_size,first_shot_id,last_shot_id,mean_detector_event_count,max_detector_event_count,decode_wall_time_ns,decode_wall_time_us,per_shot_decode_time_us,throughput_shots_per_second
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,15,128,1920,2047,15.351562,32,751888,751.888000,5.874125,170238.120571
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,16,128,2048,2175,13.851562,32,506482,506.482000,3.956891,252723.690082
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,17,128,2176,2303,15.023438,34,623645,623.645000,4.872227,205244.971097
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,18,128,2304,2431,15.945312,31,609664,609.664000,4.763000,209951.711106
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,19,128,2432,2559,14.820312,30,535013,535.013000,4.179789,239246.522982
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,20,128,2560,2687,15.531250,34,556934,556.934000,4.351047,229829.746433
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,21,128,2688,2815,14.875000,37,828499,828.499000,6.472648,154496.263725
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,22,128,2816,2943,16.046875,32,603054,603.054000,4.711359,212252.965738
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,23,128,2944,3071,14.382812,30,518163,518.163000,4.048148,247026.514823
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,24,128,3072,3199,13.898438,29,529823,529.823000,4.139242,241590.115944
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,25,128,3200,3327,15.109375,33,584754,584.754000,4.568391,218895.467154
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,26,128,3328,3455,14.867188,38,557453,557.453000,4.355102,229615.770298
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,27,128,3456,3583,15.601562,30,627345,627.345000,4.901133,204034.462696
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,28,128,3584,3711,14.476562,37,722274,722.274000,5.642766,177218.064059
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,29,128,3712,3839,15.187500,31,750158,750.158000,5.860609,170630.720462
p8_decoder_runtime_replay,surface_code_traditional_calibration_Z_r010,measured_decoder_replay,surface_code_traditional_calibration,Z,10,r010,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_traditional_calibration/Z/r010,correlated_matching_decoder_with_si1000_prior,0,30,128,3840,3967,15.734375,31,711097,711.097000,5.555445,180003.571946
