run_id,workload_id,circuit_id,backend,code_family,distance,num_rounds,shot_id,seed,stress_level,data_error_rate,measurement_error_rate,idle_error_rate,decoder_timeout_base_rate,detector_load_scale,idle_window_scale,deadline_scale,decoder_workers,decoder_service_rate,decoder_queue_depth,decoder_deadline,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_deadline_miss,decoder_queue_overflow,decoder_timeout,decoder_backlog,runtime_stall_rounds,idle_exposure,runtime_idle_flip,detector_count,detector_event_count,detector_events,observable_flip,decoder_prediction,qec_decoder_failure,logical_failure,failure_round,failure_region,failure_operation,failure_mode,failure_pattern,event_record_hash,record_hash
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,10,52,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.020000,0.020000,0.087095,0.067095,False,False,False,0.000000,0.000000,0.202322,False,36,6,"[1,4,14,18,24,26]",False,False,False,False,,none,,none,no_failure,ff374f480d8c5ade72fc26fb6ee47bb3995f5b39277a9baadf9b87a051384121,3d4d753c01662a13bf59fdccd9c2ee6fdfd0a8ad1ba90068f83ed3da00b32ff9
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,11,53,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.040000,0.040000,0.090840,0.050840,False,False,False,0.000000,0.000000,0.190130,False,36,2,"[10,11]",False,False,False,False,,none,,none,no_failure,465834b9d85069917c6bb7289c0f8a5fc83e8a3ee9f54aad3a65d1e2bdf6c5ab,0f4f08765897a3f852540641adc3aa685e51945aee3c6d123351c8199af8a538
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,12,54,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.060000,0.060000,0.099239,0.039239,False,False,False,0.000000,0.000000,0.181430,False,36,2,"[20,21]",False,False,False,False,,none,,none,no_failure,a033b327e2207aea80ad8bc0e63f59c67414b43eeb2721737a4253a5d2efb1a2,0b453f947aa3b918f4721bbf4f45f1abac7bf7a19bc4c64af36d3d68de60ebac
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,13,55,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.080000,0.080000,0.097941,0.017941,False,False,False,0.000000,0.000000,0.165456,False,36,0,[],False,False,False,False,,none,,none,no_failure,5231ed0de9193be6b4bd57470787478776b3bf3189f42dbcbdd4757617648845,67350057b18281e556f026f2b1c5574559655bdbf73094a3f8535d1785fa4491
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,14,56,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.100000,0.100000,0.139723,0.039723,False,False,False,0.000000,0.000000,0.181792,False,36,3,"[16,33,34]",False,False,False,False,,none,,none,no_failure,0394613d6c1f729fbc4969a58fa0160c5f2ce11474c04bddbb6ef2835ad7f26c,96e52c5625d9875399beec8800818d4850fa4834394dd070b0ccbc9c030d128b
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,15,57,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.120000,0.120000,0.143893,0.023893,False,False,False,0.000000,0.000000,0.169920,False,36,0,[],False,False,False,False,,none,,none,no_failure,519a7d5c943e7d594061c37dc37d20795adcd8b0e4c8d4a150450d4b3c788135,27b8c97b1068119cfd8a4966518fc0299dc1c4322fb2933d87af11d301f0a4fe
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,16,58,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.140000,0.140000,0.191901,0.051901,False,False,False,0.000000,0.000000,0.190926,False,36,5,"[1,2,12,30,31]",False,False,False,False,,none,,none,no_failure,c0f9960436294073e907d4e83a98ecba06a7689d9e0f0c40469f7026cd4a80ce,6f9267e191a4a1b85aa4e204c6fc29c66b875737444a76e6e8326e3fff3214a6
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,17,59,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.160000,0.160000,0.211037,0.051037,False,False,False,0.000000,0.000000,0.190278,False,36,2,"[6,10]",False,False,False,False,,none,,none,no_failure,2f52f9c6799818cae51e0da778f7c403780f57caf414cce8ae3807967692ab80,2d8fb4a8f0bf554466e64cabd6a0726a9acaff55d31862520ff1e109b388c14f
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,18,60,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.180000,0.180000,0.216415,0.036415,False,False,False,0.000000,0.000000,0.179311,False,36,3,"[23,27,32]",False,False,False,False,,none,,none,no_failure,71a21f94e080dcf118613463b0d85fef8daf83c025681544b101b2932159351e,685069460f47f841c7cec736b69c0c6a5efc749f8f89bd284cb39906ee315be7
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,19,61,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.200000,0.200000,0.240421,0.040421,False,False,False,0.000000,0.000000,0.182316,False,36,3,"[3,6,10]",True,True,False,False,,none,,none,no_failure,9ff95138e83a391be86e1487e9620b94db3539ebe43125b58e078b5ae4c010c3,55400cab8fcfcf00c2b0b6104339d0da8f890aee2e44c1c2b8598b67ed1f063f
p5a_trace_mode_memory_x_low_0,memory_x,stim_repetition_memory_x,stim+pymatching+p3_runtime_service,repetition_code_memory,5,8,20,62,low,0.03,0.02,0.002,0.004,1.0,1.0,1.0,4,5.5,14,0.9,0.220000,0.220000,0.282169,0.062169,False,False,False,0.000000,0.000000,0.198627,False,36,4,"[6,10,29,33]",False,False,False,False,,none,,none,no_failure,491b0b1306a6c1696667c7bf7c777957bef0054eb386b50e193da02b0375669a,6cc981850051aadec2a7a80b9487335005ee3bd3baff46092efb160801af2b9c
