trace_id,trace_source,run_id,workload_id,stress_level,shot_id,seed,decoder_arrival_time,decoder_start_time,decoder_finish_time,decoder_latency,decoder_queue_wait,decoder_service_time,decoder_backlog,decoder_timeout,decoder_deadline_miss,decoder_queue_overflow,runtime_stall_rounds,idle_exposure,runtime_idle_flip
p5a_trace_mode_memory_x_low_0|65|23,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,23,65,0.280000,0.280000,0.316420,0.036420,0.000000,0.036420,0.000000,False,False,False,0.000000,0.179315,False
p5a_trace_mode_memory_x_low_0|66|24,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,24,66,0.300000,0.300000,0.360329,0.060329,0.000000,0.060329,0.000000,False,False,False,0.000000,0.197247,False
p5a_trace_mode_memory_x_low_0|67|25,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,25,67,0.320000,0.320000,0.350016,0.030016,0.000000,0.030016,0.000000,False,False,False,0.000000,0.174512,False
p5a_trace_mode_memory_x_low_0|68|26,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,26,68,0.000000,0.000000,0.039225,0.039225,0.000000,0.039225,0.000000,False,False,False,0.000000,0.181418,False
p5a_trace_mode_memory_x_low_0|69|27,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,27,69,0.020000,0.020000,0.064607,0.044607,0.000000,0.044607,0.000000,False,False,False,0.000000,0.185456,False
p5a_trace_mode_memory_x_low_0|70|28,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,28,70,0.040000,0.040000,0.077114,0.037114,0.000000,0.037114,0.000000,False,False,False,0.000000,0.179836,False
p5a_trace_mode_memory_x_low_0|71|29,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,29,71,0.060000,0.060000,0.086927,0.026927,0.000000,0.026927,0.000000,False,False,False,0.000000,0.172195,False
p5a_trace_mode_memory_x_low_0|72|30,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,30,72,0.080000,0.080000,0.151885,0.071885,0.000000,0.071885,0.000000,False,False,False,0.000000,0.205913,False
p5a_trace_mode_memory_x_low_0|73|31,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,31,73,0.100000,0.100000,0.144677,0.044677,0.000000,0.044677,0.000000,False,False,False,0.000000,0.185508,False
p5a_trace_mode_memory_x_low_0|74|32,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,32,74,0.120000,0.120000,0.160274,0.040274,0.000000,0.040274,0.000000,False,False,False,0.000000,0.182206,False
p5a_trace_mode_memory_x_low_0|75|33,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,33,75,0.140000,0.140000,0.168695,0.028695,0.000000,0.028695,0.000000,False,False,False,0.000000,0.173521,False
p5a_trace_mode_memory_x_low_0|76|34,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,34,76,0.160000,0.160000,0.180923,0.020923,0.000000,0.020923,0.000000,False,False,False,0.000000,0.167692,False
p5a_trace_mode_memory_x_low_0|77|35,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,35,77,0.180000,0.180000,0.234476,0.054476,0.000000,0.054476,0.000000,False,False,False,0.000000,0.192857,False
p5a_trace_mode_memory_x_low_0|78|36,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,36,78,0.200000,0.200000,0.213775,0.013775,0.000000,0.013775,0.000000,False,False,False,0.000000,0.162331,False
p5a_trace_mode_memory_x_low_0|79|37,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,37,79,0.220000,0.220000,0.269000,0.049000,0.000000,0.049000,0.000000,False,False,False,0.000000,0.188750,False
p5a_trace_mode_memory_x_low_0|80|38,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,38,80,0.240000,0.240000,0.283517,0.043517,0.000000,0.043517,0.000000,False,False,False,0.000000,0.184638,False
p5a_trace_mode_memory_x_low_0|81|39,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,39,81,0.260000,0.260000,0.322315,0.062315,0.000000,0.062315,0.000000,False,False,False,0.000000,0.198736,False
p5a_trace_mode_memory_x_low_0|82|40,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,40,82,0.280000,0.280000,0.326247,0.046247,0.000000,0.046247,0.000000,False,False,False,0.000000,0.186686,False
p5a_trace_mode_memory_x_low_0|83|41,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,41,83,0.300000,0.300000,0.341990,0.041990,0.000000,0.041990,0.000000,False,False,False,0.000000,0.183493,False
p5a_trace_mode_memory_x_low_0|84|42,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,42,84,0.320000,0.320000,0.354091,0.034091,0.000000,0.034091,0.000000,False,False,False,0.000000,0.177568,False
p5a_trace_mode_memory_x_low_0|85|43,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,43,85,0.000000,0.000000,0.028420,0.028420,0.000000,0.028420,0.000000,False,False,False,0.000000,0.173315,False
p5a_trace_mode_memory_x_low_0|86|44,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,44,86,0.020000,0.020000,0.055842,0.035842,0.000000,0.035842,0.000000,False,False,False,0.000000,0.178882,False
p5a_trace_mode_memory_x_low_0|87|45,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,45,87,0.040000,0.040000,0.100676,0.060676,0.000000,0.060676,0.000000,False,False,False,0.000000,0.197507,False
p5a_trace_mode_memory_x_low_0|88|46,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,46,88,0.060000,0.060000,0.105486,0.045486,0.000000,0.045486,0.000000,False,False,False,0.000000,0.186115,False
p5a_trace_mode_memory_x_low_0|89|47,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,47,89,0.080000,0.080000,0.125976,0.045976,0.000000,0.045976,0.000000,False,False,False,0.000000,0.186482,False
p5a_trace_mode_memory_x_low_0|90|48,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,48,90,0.100000,0.100000,0.147786,0.047786,0.000000,0.047786,0.000000,False,False,False,0.000000,0.187839,False
p5a_trace_mode_memory_x_low_0|91|49,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,49,91,0.120000,0.120000,0.168439,0.048439,0.000000,0.048439,0.000000,False,False,False,0.000000,0.188329,False
p5a_trace_mode_memory_x_low_0|92|50,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,50,92,0.140000,0.140000,0.188144,0.048144,0.000000,0.048144,0.000000,False,False,False,0.000000,0.188108,False
p5a_trace_mode_memory_x_low_0|93|51,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,51,93,0.160000,0.160000,0.178937,0.018937,0.000000,0.018937,0.000000,False,False,False,0.000000,0.166203,False
p5a_trace_mode_memory_x_low_0|94|52,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,52,94,0.180000,0.180000,0.240762,0.060762,0.000000,0.060762,0.000000,True,False,False,0.000000,0.197572,False
p5a_trace_mode_memory_x_low_0|95|53,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,53,95,0.200000,0.200000,0.264364,0.064364,0.000000,0.064364,0.000000,False,False,False,0.000000,0.200273,False
p5a_trace_mode_memory_x_low_0|96|54,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,54,96,0.220000,0.220000,0.282238,0.062238,0.000000,0.062238,0.000000,False,False,False,0.000000,0.198678,False
p5a_trace_mode_memory_x_low_0|97|55,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,55,97,0.240000,0.240000,0.281892,0.041892,0.000000,0.041892,0.000000,False,False,False,0.000000,0.183419,False
p5a_trace_mode_memory_x_low_0|98|56,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,56,98,0.260000,0.260000,0.315317,0.055317,0.000000,0.055317,0.000000,False,False,False,0.000000,0.193487,False
p5a_trace_mode_memory_x_low_0|99|57,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,57,99,0.280000,0.280000,0.323558,0.043558,0.000000,0.043558,0.000000,False,False,False,0.000000,0.184668,False
p5a_trace_mode_memory_x_low_0|100|58,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,58,100,0.300000,0.300000,0.414668,0.114668,0.000000,0.114668,0.000000,False,False,False,0.000000,0.238001,False
p5a_trace_mode_memory_x_low_0|101|59,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,59,101,0.320000,0.320000,0.340969,0.020969,0.000000,0.020969,0.000000,False,False,False,0.000000,0.167727,False
p5a_trace_mode_memory_x_low_0|102|60,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,60,102,0.000000,0.000000,0.030591,0.030591,0.000000,0.030591,0.000000,False,False,False,0.000000,0.174943,False
p5a_trace_mode_memory_x_low_0|103|61,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,61,103,0.020000,0.020000,0.061254,0.041254,0.000000,0.041254,0.000000,False,False,False,0.000000,0.182940,False
p5a_trace_mode_memory_x_low_0|104|62,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,62,104,0.040000,0.040000,0.064969,0.024969,0.000000,0.024969,0.000000,False,False,False,0.000000,0.170727,False
p5a_trace_mode_memory_x_low_0|105|63,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,63,105,0.060000,0.060000,0.089896,0.029896,0.000000,0.029896,0.000000,False,False,False,0.000000,0.174422,False
p5a_trace_mode_memory_x_low_0|106|64,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,64,106,0.080000,0.080000,0.142567,0.062567,0.000000,0.062567,0.000000,False,False,False,0.000000,0.198925,False
p5a_trace_mode_memory_x_low_0|107|65,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,65,107,0.100000,0.100000,0.149561,0.049561,0.000000,0.049561,0.000000,False,False,False,0.000000,0.189171,False
p5a_trace_mode_memory_x_low_0|108|66,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,66,108,0.120000,0.120000,0.137226,0.017226,0.000000,0.017226,0.000000,False,False,False,0.000000,0.164920,False
p5a_trace_mode_memory_x_low_0|109|67,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,67,109,0.140000,0.140000,0.183837,0.043837,0.000000,0.043837,0.000000,False,False,False,0.000000,0.184878,False
p5a_trace_mode_memory_x_low_0|110|68,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,68,110,0.160000,0.160000,0.236138,0.076138,0.000000,0.076138,0.000000,False,False,False,0.000000,0.209103,False
p5a_trace_mode_memory_x_low_0|111|69,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,69,111,0.180000,0.180000,0.209593,0.029593,0.000000,0.029593,0.000000,False,False,False,0.000000,0.174195,False
p5a_trace_mode_memory_x_low_0|112|70,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,70,112,0.200000,0.200000,0.251617,0.051617,0.000000,0.051617,0.000000,False,False,False,0.000000,0.190712,False
p5a_trace_mode_memory_x_low_0|113|71,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,71,113,0.220000,0.220000,0.244382,0.024382,0.000000,0.024382,0.000000,False,False,False,0.000000,0.170286,False
p5a_trace_mode_memory_x_low_0|114|72,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,72,114,0.240000,0.240000,0.308338,0.068338,0.000000,0.068338,0.000000,False,False,False,0.000000,0.203253,False
p5a_trace_mode_memory_x_low_0|115|73,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,73,115,0.260000,0.260000,0.304845,0.044845,0.000000,0.044845,0.000000,False,False,False,0.000000,0.185634,False
p5a_trace_mode_memory_x_low_0|116|74,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,74,116,0.280000,0.280000,0.318165,0.038165,0.000000,0.038165,0.000000,False,False,False,0.000000,0.180623,False
p5a_trace_mode_memory_x_low_0|117|75,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,75,117,0.300000,0.300000,0.340250,0.040250,0.000000,0.040250,0.000000,False,False,False,0.000000,0.182187,False
p5a_trace_mode_memory_x_low_0|118|76,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,76,118,0.320000,0.320000,0.332988,0.012988,0.000000,0.012988,0.000000,False,False,False,0.000000,0.161741,False
p5a_trace_mode_memory_x_low_0|119|77,p5a_export_validation,p5a_trace_mode_memory_x_low_0,memory_x,low,77,119,0.000000,0.000000,0.063514,0.063514,0.000000,0.063514,0.000000,False,False,False,0.000000,0.199635,False
