experiment_name,code_family,control_mode,basis,cycles,workload_id,transition_class,num_shots,mean_detector_event_count,mean_early_detector_count,mean_mid_detector_count,mean_late_detector_count,burst_fraction,mean_first_detector_fraction,source_data_dir
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,50,surface_code_reinforcement_learning_X_r050,unchanged_success,8754,70.101097,22.868631,23.569568,23.662897,1.000000,0.029334,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r050
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,60,surface_code_reinforcement_learning_X_r060,rescued,424,89.200472,29.259434,29.936321,30.004717,1.000000,0.023467,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,60,surface_code_reinforcement_learning_X_r060,induced,230,89.360870,29.430435,29.830435,30.100000,1.000000,0.025894,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,60,surface_code_reinforcement_learning_X_r060,unchanged_failure,846,88.936170,29.270686,30.258865,29.406619,1.000000,0.023875,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,60,surface_code_reinforcement_learning_X_r060,unchanged_success,8500,83.956471,27.599176,28.176706,28.180588,1.000000,0.024204,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r060
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,70,surface_code_reinforcement_learning_X_r070,rescued,469,104.961620,35.147122,34.622601,35.191898,1.000000,0.021033,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,70,surface_code_reinforcement_learning_X_r070,induced,250,106.536000,34.528000,35.380000,36.628000,1.000000,0.021864,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,70,surface_code_reinforcement_learning_X_r070,unchanged_failure,952,103.290966,34.351891,34.384454,34.554622,1.000000,0.021397,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,70,surface_code_reinforcement_learning_X_r070,unchanged_success,8329,98.514708,32.642574,32.874775,32.997359,1.000000,0.020897,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r070
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,80,surface_code_reinforcement_learning_X_r080,rescued,632,121.242089,40.493671,40.261076,40.487342,1.000000,0.017150,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,80,surface_code_reinforcement_learning_X_r080,induced,334,121.149701,39.766467,40.763473,40.619760,1.000000,0.017563,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,80,surface_code_reinforcement_learning_X_r080,unchanged_failure,989,119.079879,39.526795,39.967644,39.585440,1.000000,0.017193,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,80,surface_code_reinforcement_learning_X_r080,unchanged_success,8045,113.614295,37.593039,38.078682,37.942573,1.000000,0.017926,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r080
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,90,surface_code_reinforcement_learning_X_r090,rescued,656,134.015244,44.714939,44.539634,44.760671,1.000000,0.014943,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,90,surface_code_reinforcement_learning_X_r090,induced,330,133.193939,43.984848,44.851515,44.357576,1.000000,0.017364,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,90,surface_code_reinforcement_learning_X_r090,unchanged_failure,1128,132.720745,44.038121,44.173759,44.508865,1.000000,0.015022,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,90,surface_code_reinforcement_learning_X_r090,unchanged_success,7886,127.401344,42.432031,42.368628,42.600685,1.000000,0.015878,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r090
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,100,surface_code_reinforcement_learning_X_r100,rescued,687,147.726346,48.842795,49.152838,49.730713,1.000000,0.014861,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,100,surface_code_reinforcement_learning_X_r100,induced,374,148.045455,48.855615,49.965241,49.224599,1.000000,0.015107,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,100,surface_code_reinforcement_learning_X_r100,unchanged_failure,1232,146.130682,48.074675,48.820617,49.235390,1.000000,0.014280,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,X,100,surface_code_reinforcement_learning_X_r100,unchanged_success,7707,140.911379,46.603607,47.119372,47.188400,1.000000,0.014570,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/X/r100
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,10,surface_code_reinforcement_learning_Z_r010,rescued,58,19.931034,7.017241,5.965517,6.948276,0.189655,0.097486,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,10,surface_code_reinforcement_learning_Z_r010,induced,39,21.794872,6.717949,7.487179,7.589744,0.358974,0.096902,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,10,surface_code_reinforcement_learning_Z_r010,unchanged_failure,162,18.697531,5.907407,6.006173,6.783951,0.166667,0.109928,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,10,surface_code_reinforcement_learning_Z_r010,unchanged_success,9741,13.508777,4.248640,4.525716,4.734422,0.051329,0.149454,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r010
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,20,surface_code_reinforcement_learning_Z_r020,rescued,147,32.605442,11.068027,10.598639,10.938776,0.870748,0.071188,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r020
surface_code_reinforcement_learning,surface_code_memory,reinforcement_learning,Z,20,surface_code_reinforcement_learning_Z_r020,induced,61,33.196721,9.737705,12.147541,11.311475,0.901639,0.077869,data/raw/google_rl_qec/google_reinforcement_learning_qec/surface_code_reinforcement_learning/Z/r020
