seed,split,loss_total,loss_rho,loss_spectral,loss_energy,loss_leakage,loss_residual,loss_selection_entropy,loss_selection_coverage,density_rel_l2,lowfreq_spectral_rel_l2,lowpass_energy_rel_l2,commutator_leakage,leakage_error_correlation,latent_step_norm,selection_entropy,selection_coverage_deficit,residual_lowfreq_norm,residual_gate_mean,runtime_seconds,parameter_count,method,config_path,output_dir,split_column
20260505,test,7.530269741096163e-09,1.5511641970888945e-09,2.682791411245944e-08,0.00024272501468658447,0.43709319829940796,1.2270456650753658e-08,0.0,0.0,0.14771954119205474,0.14432284235954285,0.015581643208861351,0.43709319829940796,0.9717526693560882,nan,nan,nan,1.2270456650753658e-08,1.0,0.7069892330328003,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260505,
20260505,split_ood_alpha,1.095448729257795e-08,2.274919314654906e-09,3.968529761601126e-08,0.00024337100330740213,0.6920502450731065,1.4850166528567065e-08,0.0,0.0,0.17265237636036343,0.16917632122834522,0.015603239958484968,0.6920502450731065,nan,nan,nan,nan,1.4850166528567065e-08,1.0,2.6840317400055937,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260505,split_ood_alpha
20260505,split_ood_structure,1.387867805865047e-08,2.8929298216221846e-09,5.0570183892280816e-08,0.0002422084022934238,0.82667609055837,1.743421644088509e-08,0.0,0.0,0.19488896727561947,0.1912046412626902,0.015566543055077394,0.82667609055837,0.9954542670803667,nan,nan,nan,1.743421644088509e-08,1.0,2.26808546500979,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260505,split_ood_structure
20260515,test,7.697404491580073e-09,1.5928319774261013e-09,2.7588177076154352e-08,0.00024272501468658447,0.43709319829940796,1.1738739758015981e-08,0.0,0.0,0.14876145720481873,0.14539974927902222,0.015581643208861351,0.43709319829940796,0.9354430689011799,nan,nan,nan,1.1738739758015981e-08,1.0,0.29693711298750713,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260515,
20260515,split_ood_alpha,1.0777377114202913e-08,2.2385698233367495e-09,3.9031092629531685e-08,0.00024337100330740213,0.6920502450731065,1.4651767206904273e-08,0.0,0.0,0.1716514418522517,0.1681712398926417,0.015603239958484968,0.6920502450731065,nan,nan,nan,nan,1.4651767206904273e-08,1.0,2.743598513014149,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260515,split_ood_alpha
20260515,split_ood_structure,1.3643918291469012e-08,2.8469713993691434e-09,4.9744624419645334e-08,0.0002422084022934238,0.82667609055837,1.6960438979178132e-08,0.0,0.0,0.19385048051675158,0.19016905029614764,0.015566543055077394,0.82667609055837,0.9977674723388607,nan,nan,nan,1.6960438979178132e-08,1.0,1.3196943929651752,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260515,split_ood_structure
20260525,test,7.457923167919489e-09,1.5347383364172629e-09,2.6536634223361943e-08,0.00024272501468658447,0.43709319829940796,1.2317148190277294e-08,0.0,0.0,0.14731851518154143,0.14391787797212602,0.015581643208861351,0.43709319829940796,0.9755241599098138,nan,nan,nan,1.2317148190277294e-08,1.0,0.3112116929842159,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260525,
20260525,split_ood_alpha,1.0874093428172829e-08,2.2431307428800236e-09,3.910580146124529e-08,0.00024337100330740213,0.6920502450731065,1.6196040854134076e-08,0.0,0.0,0.1722575568490558,0.16877412133746678,0.015603239958484968,0.6920502450731065,nan,nan,nan,nan,1.6196040854134076e-08,1.0,1.869576088967733,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260525,split_ood_alpha
20260525,split_ood_structure,1.3741107215044698e-08,2.8436000221176982e-09,4.967123364470657e-08,0.0002422084022934238,0.82667609055837,1.9265212832427398e-08,0.0,0.0,0.19421081244945526,0.1905158499876658,0.015566543055077394,0.82667609055837,0.9930767112767032,nan,nan,nan,1.9265212832427398e-08,1.0,1.6158890869701281,2279395,shadowfluid_residual,code/configs/shadowfluid_residual_densityfirst_k3_exp64_pilot.yaml,/home/adurey/QuantumComputing/NIPS/2026_ShadowFluid/code/results/bench_exp64_pilot/shadowfluid_residual_densityfirst_k3_exp64_pilot_multiseed/seed_20260525,split_ood_structure
