method,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
P2_r1_-150_-100_s1_pareto,0.253994,5.50317,6.46546,6.84741,6.19688,6.27805,5.2084,5.40555,4.73105,5.53048,5.0195
P2_r1_-150_-100_s2_pareto,0.209966,5.70555,6.1348,6.14244,6.51004,5.67358,6.99902,6.30337,6.28755,6.07146,6.51537
P2_r2_-150_-110_s1_pareto,0.253994,3.732,3.75735,3.07937,3.35086,3.15797,3.11199,3.99733,3.26071,3.70761,3.76985
P2_r2_-150_-110_s2_pareto,0.209966,4.53436,4.14586,4.40328,3.90024,4.58239,3.83757,4.633,4.14216,4.18332,3.81019
P2_r3_-140_-110_s1_pareto,0.453277,5.2171,5.12865,5.38983,5.75019,5.30484,4.85726,5.15565,5.08407,4.89923,5.06186
P2_r3_-140_-110_s2_pareto,0.381484,5.13841,5.43258,5.38161,5.56448,5.3911,5.43584,5.64742,5.66099,5.47608,6.24801
A2,0.210827,3.02154,2.32561,2.06127,2.57486,3.19007,3.42094,2.38685,3.0146,1.76864,1.79169
