epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_runtime_seconds,val_parameter_count
0,2.7837166864006385e-08,1.5362028655000646e-08,6.209939958747974e-08,1.1480133923070848e-05,0.5435554259701779,1.1051726668323693e-09,0.0,0.0,2.0705551939670386e-08,1.1435580926644207e-08,4.598542169276243e-08,1.1690654446283588e-05,0.40094058215618134,1.4577074547439395e-09,0.0,0.0,0.0976874515414238,0.0921146146953106,0.0033921743743121624,0.40094058215618134,0.38626482936680806,nan,nan,nan,1.4577074547439395e-09,3.4415336759993806,706531
1,2.7322221771591533e-08,1.504483312200328e-08,6.071796782317793e-08,1.1480134210279702e-05,0.5435554353814376,2.6758960602890625e-09,0.0,0.0,2.0430674929627912e-08,1.1281463319079421e-08,4.5285196037525566e-08,1.1690654446283588e-05,0.40094058215618134,1.8434321846783064e-09,0.0,0.0,0.09729654863476753,0.09170484207570553,0.0033921743743121624,0.40094058215618134,0.3668926479924287,nan,nan,nan,1.8434321846783064e-09,0.005600083037279546,706531
2,2.7182562072581325e-08,1.500556142499782e-08,6.049805260264101e-08,1.148013440175227e-05,0.5435554377342525,1.5478062486666482e-09,0.0,0.0,2.0208197337723277e-08,1.1196299443128055e-08,4.489600335944033e-08,1.1690654446283588e-05,0.40094058215618134,6.539458974330614e-10,0.0,0.0,0.09614493921399117,0.09046992808580398,0.0033921743743121624,0.40094058215618134,0.3636310739900717,nan,nan,nan,6.539458974330614e-10,0.009685534983873367,706531
3,2.7558748172396008e-08,1.522700936100974e-08,6.149419761707002e-08,1.1480134114543417e-05,0.5435554353814376,6.579790981070824e-10,0.0,0.0,2.04015946358993e-08,1.1298061375342172e-08,4.5361612244221305e-08,1.1690654446283588e-05,0.40094058215618134,6.242247274634849e-10,0.0,0.0,0.09655945524573326,0.09092401452362536,0.0033921743743121624,0.40094058215618134,0.3637389331948243,nan,nan,nan,6.242247274634849e-10,0.010178805037867278,706531
4,2.7498411127094426e-08,1.518115242872323e-08,6.131641963759791e-08,1.1480134210279702e-05,0.5435554447926974,1.0794976141052136e-09,0.0,0.0,2.0502662234633817e-08,1.1340888450561692e-08,4.556119481691212e-08,1.1690654446283588e-05,0.40094058215618134,9.907031028877356e-10,0.0,0.0,0.09690505266189575,0.09128397516906261,0.0033921743743121624,0.40094058215618134,0.3570267158870562,nan,nan,nan,9.907031028877356e-10,0.00823021400719881,706531
5,2.761443097579343e-08,1.52497162500104e-08,6.160275302734494e-08,1.1480134018807133e-05,0.5435554259701779,8.832864001621263e-10,0.0,0.0,2.0570232184269344e-08,1.1385737685998265e-08,4.574976664173391e-08,1.1690654446283588e-05,0.40094058215618134,6.908092986535053e-10,0.0,0.0,0.0969409693032503,0.09132058508694171,0.0033921743743121624,0.40094058215618134,0.37350442429418124,nan,nan,nan,6.908092986535053e-10,0.007619522977620363,706531
6,2.764998690826073e-08,1.526039005103473e-08,6.164938594709288e-08,1.148013440175227e-05,0.5435554244016346,1.1943941683642983e-09,0.0,0.0,2.0611425011196616e-08,1.1392753407335476e-08,4.5791668235040106e-08,1.1690654446283588e-05,0.40094058215618134,1.2067605803522952e-09,0.0,0.0,0.09728235974907876,0.0916817557066679,0.0033921743743121624,0.40094058215618134,0.34742582728271415,nan,nan,nan,1.2067605803522952e-09,0.006680610007606447,706531
7,2.7715709774006906e-08,1.5295713187263597e-08,6.182754855456694e-08,1.1480134066675274e-05,0.5435554228330913,1.0897253684212005e-09,0.0,0.0,2.0527971322792382e-08,1.1361447116442491e-08,4.56487985189824e-08,1.1690654446283588e-05,0.40094058215618134,7.352793096604415e-10,0.0,0.0,0.0967343296855688,0.09109931252896786,0.0033921743743121624,0.40094058215618134,0.35057046244057744,nan,nan,nan,7.352793096604415e-10,0.008212133019696921,706531
8,2.7802469192369914e-08,1.534825861725901e-08,6.205170347141718e-08,1.1480134210279702e-05,0.5435554196960047,8.773963602443383e-10,0.0,0.0,2.0655833044003202e-08,1.1427996771118387e-08,4.594587821316054e-08,1.1690654446283588e-05,0.40094058215618134,7.732239570845678e-10,0.0,0.0,0.09715733677148819,0.09154979847371578,0.0033921743743121624,0.40094058215618134,0.3662090536369522,nan,nan,nan,7.732239570845678e-10,0.005998933978844434,706531
9,2.785711357495601e-08,1.5376731093098036e-08,6.218266696877388e-08,1.1480134210279702e-05,0.5435554306758078,8.76974791032051e-10,0.0,0.0,2.062474502295686e-08,1.1408058275819144e-08,4.585842461324319e-08,1.1690654446283588e-05,0.40094058215618134,9.000449552321044e-10,0.0,0.0,0.09712795838713645,0.09151104167103767,0.0033921743743121624,0.40094058215618134,0.36076880052109045,nan,nan,nan,9.000449552321044e-10,0.009596496005542576,706531
