epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_runtime_seconds,val_parameter_count
0,0.04797929956724769,1.0787281692465082e-07,4.452490556834738e-07,0.37049826607108116,0.4584765983255286,2.0010929044924284,1.3504285122218884,0.019826238974928856,8.355905301016264e-08,3.1531425292996573e-07,0.0725040971301496,0.3506409674882889,1.8283017873764038,1.1247378289699554,0.26320683509111403,0.23399391695857047,0.20032939314842224,0.3506409674882889,0.893696939510947,0.004210911691188812,1.8283017873764038,1.1247378289699554,0.011427038058172911,1474521
1,0.027216743383752674,1.1160835437127197e-07,4.461194697868402e-07,0.11104108589260202,0.45832694047375727,2.001087088333933,1.3504394355573153,0.02453390695154667,7.530040946335248e-08,3.107737001073474e-07,0.13138944283127785,0.3505622670054436,1.8283007740974426,1.1247442364692688,0.24630556330084802,0.23158331587910652,0.34039582312107086,0.3505622670054436,0.8748275346988579,0.0042751445434987545,1.8283007740974426,1.1247442364692688,0.010911291989032179,1474521
2,0.022597520955299075,1.062849270582726e-07,4.4391203788875015e-07,0.05339692768297697,0.45813485980033875,2.0010755940487512,1.3504724502563477,0.01557380286976695,7.614848840375998e-08,3.1175977710518055e-07,0.01949863159097731,0.35034123063087463,1.828287422657013,1.1247794330120087,0.24863381683826447,0.23217981606721877,0.11970428377389908,0.35034123063087463,0.8774973147275646,0.0046987817622721195,1.828287422657013,1.1247794330120087,0.01291520002996549,1474521
3,0.019714983768369023,1.0505000453146127e-07,4.4349066360825275e-07,0.017536201453032463,0.45779291893306534,2.001038714459068,1.350572811929803,0.015972698107361794,7.332747387067684e-08,3.1033778924438593e-07,0.024602612480521202,0.35010574012994766,1.828264057636261,1.12484610080719,0.24228128120303155,0.23138275593519209,0.1196078471839428,0.35010574012994766,0.8632867794054968,0.004834940657019615,1.828264057636261,1.12484610080719,0.017269020027015358,1474521
4,0.019136521082959677,1.0316862872777595e-07,4.428198783563475e-07,0.010565733022399638,0.45727234451394333,2.0009407369714034,1.3508447659643072,0.01481758477166295,7.286881675838686e-08,3.1017039958669557e-07,0.010457860073074698,0.34951743483543396,1.8281524181365967,1.1251579523086548,0.2413138560950756,0.2313112944364548,0.0829033050686121,0.34951743483543396,0.8570830521667822,0.004984576255083084,1.8281524181365967,1.1251579523086548,0.009706012031529099,1474521
5,0.01847962044963711,1.0225308992511074e-07,4.425820095907272e-07,0.0028603043848354566,0.45626071879738256,2.0005720163646497,1.3518698591935008,0.01448728609830141,7.179838767967794e-08,3.096098595278818e-07,0.0067935732076875865,0.34858859330415726,1.8278119564056396,1.1261171400547028,0.2387538582086563,0.23101129233837128,0.04092627763748169,0.34858859330415726,0.8358332644154594,0.004837006563320756,1.8278119564056396,1.1261171400547028,0.011945275007747114,1474521
6,0.018291717395186424,1.0151938817078812e-07,4.423284183842138e-07,0.0015115226055250357,0.45426073199824285,1.999147095178303,1.355878798585189,0.014129524817690253,7.128856793769955e-08,3.0937538042508095e-07,0.003388407960301265,0.3464549034833908,1.8261505961418152,1.1308353543281555,0.2375396527349949,0.23089059069752693,0.03568700794130564,0.3464549034833908,0.8218256972514896,0.004812458762899041,1.8261505961418152,1.1308353543281555,0.011686277983244509,1474521
7,0.018096877948233957,1.0096370167981437e-07,4.4222047946325464e-07,0.001041386210616972,0.45033003154553863,1.9925112096886886,1.3748249693920738,0.013893876690417528,7.085012931895562e-08,3.091766345164615e-07,0.0025015113496920094,0.342337504029274,1.8173226714134216,1.1561589241027832,0.2364892080426216,0.23078583329916003,0.031419750303030014,0.342337504029274,0.8108617998105851,0.005011361557990313,1.8173226714134216,1.1561589241027832,0.012385741050820798,1474521
8,0.0178290287915029,1.0060495089634826e-07,4.4219413253861266e-07,0.0008431157406640091,0.4440303538974963,1.9566887930819863,1.4781696231741654,0.013694267952814698,7.050437744737792e-08,3.0902594971848885e-07,0.002441448661556933,0.33746740221977234,1.7765909433364868,1.2726154327392578,0.2356571078300476,0.23070611730217935,0.02816818980500102,0.33746740221977234,0.8012435303516965,0.005624791141599417,1.7765909433364868,1.2726154327392578,0.009037083014845848,1474521
9,0.01765380966428079,1.0029215652115166e-07,4.421291036674359e-07,0.0005225309873103948,0.44029105337042557,1.8923074697193347,1.659192022524382,0.013502385001629591,7.029535353808569e-08,3.0895075298076335e-07,0.001421726803528145,0.3347097858786583,1.7633695006370544,1.3101954758167267,0.23515903279185296,0.2306686632335186,0.028983650729060173,0.3347097858786583,0.794007490284546,0.005450378637760878,1.7633695006370544,1.3101954758167267,0.011366655002348125,1474521
10,0.01756969873646372,1.000674539254401e-07,4.4210560190549586e-07,0.0005274534104453204,0.4381784412421678,1.8851150901694047,1.675276662174024,0.01342535368166864,7.009355940112982e-08,3.0886931057239053e-07,0.001031954845529981,0.33356355130672455,1.7590340971946716,1.3215346038341522,0.2346716530621052,0.23062818199396135,0.022435257211327553,0.33356355130672455,0.787187604043085,0.0052149323746562,1.7590340971946716,1.3215346038341522,0.012224933016113937,1474521
11,0.017499030812790518,9.989893992736286e-08,4.4214180368391297e-07,0.00030694887889120236,0.43685275002529744,1.84939706325531,1.769731647089908,0.013361654710024595,6.993549028777579e-08,3.088097386694244e-07,0.000712423054210376,0.3326101303100586,1.7465385794639587,1.3562641143798828,0.2342869259417057,0.2305983491241932,0.01526804594323039,0.3326101303100586,0.7810410541698471,0.005054963519796729,1.7465385794639587,1.3562641143798828,0.010363410983700305,1474521
12,0.01746264732393779,9.976211856610462e-08,4.421549644312587e-07,0.00022573183722622496,0.4361055979603215,1.8462767224562795,1.7763652299579822,0.013338683638721704,6.981836975228362e-08,3.087689535163918e-07,0.0004768330982187763,0.33250706642866135,1.7478036880493164,1.3516644537448883,0.23400214686989784,0.2305781953036785,0.013069555163383484,0.33250706642866135,0.7772968447370174,0.004812475526705384,1.7478036880493164,1.3516644537448883,0.015796766034327447,1474521
13,0.01743492900737022,9.965991484693261e-08,4.4217662177384467e-07,0.0001492276546502437,0.4355656645799938,1.850160699141653,1.7646496986088,0.013320473255589604,6.973007771193807e-08,3.087422371095272e-07,0.00031485721410717815,0.33237574994564056,1.7454635500907898,1.3576522469520569,0.2337867334485054,0.2305646151304245,0.012377080507576466,0.33237574994564056,0.7745458647279322,0.004664283944293857,1.7454635500907898,1.3576522469520569,0.009976893954444677,1474521
14,0.017408588607060283,9.958374690947829e-08,4.4220066205238443e-07,0.00011526302023412427,0.43497507979995326,1.8428402825405723,1.7836598973525197,0.013286663684993982,6.966072696457104e-08,3.0872344325416634e-07,0.0002010501229960937,0.33175813406705856,1.7296360731124878,1.4022456109523773,0.23361599445343018,0.23055443540215492,0.009919338393956423,0.33175813406705856,0.7714444161120402,0.004630758194252849,1.7296360731124878,1.4022456109523773,0.00885984196793288,1474521
15,0.01738322222311246,9.952520753729818e-08,4.422237898444636e-07,7.832051472321741e-05,0.4344148008446944,1.8366960349835848,1.799394594995599,0.013278306694701314,6.960858378590729e-08,3.0871078848804245e-07,0.0001369571327813901,0.3316773772239685,1.7283149361610413,1.4054244756698608,0.23348711803555489,0.23054708763957024,0.009771781042218208,0.3316773772239685,0.7701337033219311,0.0045198737643659115,1.7283149361610413,1.4054244756698608,0.010782019002363086,1474521
16,0.01735890960614932,9.948520285936531e-08,4.4226179565348983e-07,7.415534982532048e-05,0.43381531615006297,1.8226089603022526,1.8360770752555446,0.013260627398267388,6.956719289519242e-08,3.087001374524334e-07,8.933586286730133e-05,0.33133064210414886,1.7154422402381897,1.4406001567840576,0.23338441625237466,0.23054093047976496,0.006631033960729837,0.33133064210414886,0.7676967616365187,0.004478492075577378,1.7154422402381897,1.4406001567840576,0.012650749005842954,1474521
17,0.017336154258564898,9.945110353950632e-08,4.4227567891060685e-07,5.161778953104084e-05,0.43329151366886337,1.8311001940777427,1.8113161890130294,0.013261434622108936,6.95358757241138e-08,3.0869329492588804e-07,7.464667578460649e-05,0.3313802182674408,1.7149109244346619,1.4412750601768494,0.23330586403608322,0.23053607791662217,0.00629274919629097,0.3313802182674408,0.7670134064705862,0.004375740070827305,1.7149109244346619,1.4412750601768494,0.008565455034840852,1474521
18,0.017317092732379313,9.942816310632751e-08,4.4229854567172307e-07,5.278338247942309e-05,0.43281263740439163,1.8084625695881091,1.8703664415761043,0.013251889264211059,6.951223419093822e-08,3.086887900849433e-07,4.434493894223124e-05,0.3312021940946579,1.7015893459320068,1.4769591093063354,0.2332456961274147,0.23053207695484162,0.005667050136253238,0.3312021940946579,0.7653956278258564,0.004336646641604602,1.7015893459320068,1.4769591093063354,0.008533364976756275,1474521
19,0.017298236195194095,9.941020694345514e-08,4.4231905043919765e-07,3.488004624255394e-05,0.4323770278378537,1.8119313967855353,1.8574372718208714,0.013246323680505157,6.949317565840829e-08,3.0868361022839963e-07,3.7682724723708816e-05,0.33107636868953705,1.6954090595245361,1.49272221326828,0.2331968419253826,0.23052765652537346,0.005130930338054895,0.33107636868953705,0.7643127354489374,0.004272291669622064,1.6954090595245361,1.49272221326828,0.019790994003415108,1474521
20,0.017282155783552872,9.939767670929494e-08,4.423393450356104e-07,2.899835228737701e-05,0.4319867836801629,1.802459158395466,1.8800296595222072,0.013244659639894962,6.947876407537024e-08,3.0868065437061887e-07,3.968976943724556e-05,0.3310307413339615,1.694838285446167,1.4924273490905762,0.23315919712185862,0.23052423521876336,0.005240843631327152,0.3310307413339615,0.7638615741348043,0.00417567475233227,1.694838285446167,1.4924273490905762,0.012553900014609098,1474521
21,0.017268935904691095,9.938863224820843e-08,4.423585910205331e-07,3.2817425132012237e-05,0.43164865594161184,1.784785458916112,1.9240091474432695,0.013244221918284893,6.946696906595662e-08,3.086760571591185e-07,2.65858930106333e-05,0.3310460150241852,1.6955453157424927,1.488925039768219,0.2331283986568451,0.23052030056715012,0.004237171611748636,0.3310460150241852,0.7638311331455052,0.0040770863415673375,1.6955453157424927,1.488925039768219,0.010179636999964714,1474521
22,0.017253856174647808,9.938122988878125e-08,4.423713433927907e-07,2.3324865890715858e-05,0.43129064221131175,1.7936117523594906,1.897105047577306,0.013236173894256353,6.945757569098987e-08,3.0867152389646435e-07,2.3643149688723497e-05,0.3308507055044174,1.6832855343818665,1.521086573600769,0.23310341462492945,0.23051622211933137,0.0036141015589237213,0.3308507055044174,0.7623413601953197,0.0040374810341745615,1.6832855343818665,1.521086573600769,0.017646651074755937,1474521
23,0.01723915054217765,9.937595504389289e-08,4.4238414662494935e-07,1.9815770668317685e-05,0.4309300215620744,1.7730976782347028,1.9481041431427002,0.013238150859251618,6.945004393799081e-08,3.0866681299812626e-07,1.8726307644101325e-05,0.33090995997190475,1.6861772537231445,1.5111830830574036,0.23308319225907326,0.23051222711801528,0.0031800090800970793,0.33090995997190475,0.762647663351883,0.003946312819607556,1.6861772537231445,1.5111830830574036,0.011902800935786217,1474521
24,0.01722611707488173,9.9371447959129e-08,4.423919610991633e-07,1.6760389227879625e-05,0.43061028656206635,1.7661654196287457,1.9632096416071843,0.013233583187684417,6.944371477857203e-08,3.0866114997252225e-07,1.639721881474543e-05,0.3308004289865494,1.6743881702423096,1.5423585176467896,0.23306626155972482,0.23050800785422326,0.002910387935116887,0.3308004289865494,0.7619366088861019,0.003912404179573059,1.6743881702423096,1.5423585176467896,0.010878149012569338,1474521
25,0.017213272224915654,9.936758185870674e-08,4.4239638740643723e-07,1.6571281321375864e-05,0.4302895665168762,1.7695374802539223,1.9516262129733437,0.013231933815404773,6.943821517779725e-08,3.086544211328146e-07,1.5698086826887447e-05,0.33076058328151703,1.6709012389183044,1.5502484440803528,0.23305157050490377,0.23050334677100182,0.0028042056364938617,0.33076058328151703,0.7615576002288029,0.0038438087794929743,1.6709012389183044,1.5502484440803528,0.010045262053608894,1474521
26,0.017200474431248086,9.936482794465088e-08,4.4240192963977616e-07,1.630653059692122e-05,0.42997013110863536,1.7537512528268915,1.9908490431936163,0.013226530514657497,6.943350960852968e-08,3.086473867597306e-07,1.4897005144121067e-05,0.33062712103128433,1.6688140630722046,1.5550284385681152,0.23303895741701125,0.23049865141510964,0.002872080134693533,0.33062712103128433,0.7612896466865939,0.003775427467189729,1.6688140630722046,1.5550284385681152,0.01374304003547877,1474521
27,0.017191081945049137,9.936246295925038e-08,4.4240533126963113e-07,2.0509667736309655e-05,0.4297269237668891,1.7505319808658801,1.9971465688002736,0.013225118396803737,6.942953056920942e-08,3.0864072186886915e-07,3.888427363563096e-05,0.3305438309907913,1.6683356761932373,1.555357813835144,0.23302824720740317,0.23049420192837716,0.006010248325765133,0.3305438309907913,0.7611375026073761,0.0037065288051962852,1.6683356761932373,1.555357813835144,0.02211732097202912,1474521
28,0.01718025634947576,9.936000186359563e-08,4.4240542401415665e-07,2.2554616574971558e-05,0.42945219184222977,1.743945184506868,2.0105932260814465,0.013224443653598428,6.942605779158839e-08,3.086339788183068e-07,1.5284045730368234e-05,0.3305741772055626,1.6582949757575989,1.5800334215164185,0.23301884308457374,0.23048978224396705,0.00334434537217021,0.3305741772055626,0.7606180891871531,0.003660022164694965,1.6582949757575989,1.5800334215164185,0.010387538000941277,1474521
29,0.017162245453188296,9.935805759428867e-08,4.4240577704170534e-07,1.840966687220651e-05,0.4290102061472441,1.7342606908396672,2.0323469513341,0.01322127808816731,6.942296870704467e-08,3.086272357677444e-07,1.831566078180913e-05,0.3304889500141144,1.66201651096344,1.5692899227142334,0.23301046714186668,0.23048541098833086,0.003290928085334599,0.3304889500141144,0.7607836495722885,0.0035791510017588735,1.66201651096344,1.5692899227142334,0.012025112984701991,1474521
30,0.01715090782626679,9.935649552217957e-08,4.42406237772574e-07,1.849840459487352e-05,0.42872658528779684,1.727763859849227,2.046486779263145,0.013217065948992968,6.942027042100563e-08,3.0862069166914807e-07,1.4302193903859006e-05,0.33039167523384094,1.653232216835022,1.5916377305984497,0.23300319314002993,0.2304812915623188,0.0034404072212055326,0.33039167523384094,0.7604555736288131,0.0035511634778231382,1.653232216835022,1.5916377305984497,0.012570836988743395,1474521
31,0.01713707915654308,9.935485192464081e-08,4.4240449956066043e-07,1.51740829443569e-05,0.42838751956036214,1.7227098941802979,2.0561661092858565,0.013219698565080762,6.94179114191229e-08,3.0861460942332997e-07,2.6022254132840317e-05,0.33043406903743744,1.6546014547348022,1.5858365297317505,0.23299670293927194,0.2304773524403572,0.00440027960576117,0.33043406903743744,0.7606758520288874,0.003479711012914777,1.6546014547348022,1.5858365297317505,0.013077794981654733,1474521
