method,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
NE24_v1,0.267081,5.76479,5.7739,5.5844,5.33573,6.02937,4.9478,5.16467,5.035,4.51482,6.29219
NE24_v2,0.223095,5.76889,6.32253,6.8911,6.88362,6.42785,6.21988,6.21088,5.64992,6.22918,6.67213
QA-Google_v1,0.267081,4.06193,3.61897,3.60561,3.34383,3.11435,3.30647,4.06666,3.89048,3.78446,3.47794
QA-Google_v2,0.223095,4.37337,3.66878,4.34914,3.76884,3.5902,3.60425,3.96323,3.74023,3.52676,4.30948
QE-IBM_v1,0.466475,5.65281,5.01233,5.80299,5.16367,5.56645,4.86639,5.16131,5.78145,5.65315,5.16219
QE-IBM_v2,0.394632,5.64856,5.71265,6.07639,5.0141,6.04618,5.49257,6.3993,5.48968,6.32837,5.75805
Agent2,0.210739,2.47272,1.8637,2.18411,1.58756,2.76457,2.16183,2.24306,1.50023,2.29559,2.74329
