Time,L2_Error,Correlation
0.0,0.0,1.0
1.0,0.0,1.0
2.0,0.0,1.0
3.0,0.0,1.0
4.0,0.0,1.0
5.0,0.0,0.9999999999999998
6.0,0.0,0.9999999999999998
7.0,0.0,0.9999999999999999
8.0,0.0,1.0
9.0,0.0,1.0
10.0,0.0,1.0
