baseline,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
F5_50MHz_201__P2_r1_-150_-100_s1,0.000289,0.041596,0.039804,0.045036,0.039371,0.041381,0.041745,0.056415,0.047292,0.048332,0.055127
F5_50MHz_201__P2_r1_-150_-100_s2,0.000278,0.045946,0.047260,0.046717,0.055830,0.046010,0.044905,0.053837,0.062105,0.063193,0.063484
F5_50MHz_201__P2_r2_-150_-110_s1,0.000289,0.036185,0.035807,0.025052,0.025139,0.029145,0.026358,0.022748,0.031606,0.028613,0.031696
F5_50MHz_201__P2_r2_-150_-110_s2,0.000278,0.030141,0.029369,0.025601,0.025641,0.023399,0.028523,0.030574,0.023962,0.033139,0.029418
F5_50MHz_201__P2_r3_-140_-110_s1,0.000276,0.040044,0.034923,0.033817,0.041444,0.032531,0.034000,0.035105,0.036067,0.039572,0.043453
F5_50MHz_201__P2_r3_-140_-110_s2,0.000273,0.040448,0.041779,0.035005,0.040922,0.038801,0.042039,0.036982,0.042126,0.046598,0.039969
F5_50MHz_401__P2_r1_-150_-100_s1,0.000286,0.053536,0.043312,0.048475,0.056062,0.070265,0.065248,0.066521,0.072310,0.074433,0.077425
F5_50MHz_401__P2_r1_-150_-100_s2,0.000278,0.056719,0.050139,0.045521,0.058404,0.054614,0.061569,0.067374,0.077810,0.080021,0.066835
F5_50MHz_401__P2_r2_-150_-110_s1,0.000286,0.028294,0.029294,0.030471,0.030472,0.029185,0.034534,0.031273,0.037956,0.036824,0.039776
F5_50MHz_401__P2_r2_-150_-110_s2,0.000278,0.034570,0.039722,0.028263,0.028085,0.034949,0.037072,0.040392,0.035391,0.037302,0.036668
F5_50MHz_401__P2_r3_-140_-110_s1,0.000273,0.046636,0.039297,0.042672,0.043590,0.037230,0.039753,0.045394,0.044859,0.046773,0.049124
F5_50MHz_401__P2_r3_-140_-110_s2,0.000271,0.047007,0.040580,0.038544,0.042291,0.044297,0.046005,0.044961,0.049680,0.042701,0.046619
F5_60MHz_201__P2_r1_-150_-100_s1,0.000286,0.052312,0.045047,0.043621,0.039186,0.046567,0.047044,0.045443,0.056003,0.062059,0.051582
F5_60MHz_201__P2_r1_-150_-100_s2,0.000279,0.055456,0.057515,0.043972,0.051475,0.039203,0.059974,0.046634,0.046474,0.050221,0.059150
F5_60MHz_201__P2_r2_-150_-110_s1,0.000286,0.036833,0.028663,0.024623,0.021074,0.020716,0.024003,0.026907,0.028438,0.032077,0.031964
F5_60MHz_201__P2_r2_-150_-110_s2,0.000279,0.034147,0.036096,0.027054,0.031242,0.031990,0.029395,0.034317,0.025910,0.031837,0.030662
F5_60MHz_201__P2_r3_-140_-110_s1,0.000275,0.040472,0.038699,0.033444,0.037817,0.031724,0.037667,0.032835,0.033108,0.035000,0.030041
F5_60MHz_201__P2_r3_-140_-110_s2,0.000275,0.041605,0.040294,0.046737,0.042789,0.036180,0.043562,0.042765,0.037165,0.036946,0.036873
F5_60MHz_401__P2_r1_-150_-100_s1,0.000289,0.047600,0.049257,0.054807,0.049799,0.061049,0.057497,0.061680,0.067801,0.071575,0.073392
F5_60MHz_401__P2_r1_-150_-100_s2,0.000279,0.050668,0.049033,0.061588,0.048637,0.044873,0.059658,0.058042,0.059859,0.067824,0.079178
F5_60MHz_401__P2_r2_-150_-110_s1,0.000289,0.031722,0.032049,0.027843,0.024559,0.028652,0.027423,0.034234,0.032065,0.029979,0.031609
F5_60MHz_401__P2_r2_-150_-110_s2,0.000279,0.032430,0.031637,0.028489,0.030038,0.028614,0.035435,0.030761,0.035863,0.037704,0.038039
F5_60MHz_401__P2_r3_-140_-110_s1,0.000276,0.045258,0.036961,0.039152,0.037690,0.038966,0.042314,0.043649,0.048386,0.041681,0.046317
F5_60MHz_401__P2_r3_-140_-110_s2,0.000273,0.045459,0.040123,0.048936,0.041309,0.040565,0.042368,0.043895,0.038224,0.045217,0.060217
F5_70MHz_201__P2_r1_-150_-100_s1,0.000284,0.054469,0.047590,0.047183,0.046235,0.046415,0.045588,0.045897,0.042551,0.050575,0.053817
F5_70MHz_201__P2_r1_-150_-100_s2,0.000279,0.046868,0.049075,0.041101,0.038304,0.063162,0.051541,0.052046,0.056364,0.054858,0.058005
F5_70MHz_201__P2_r2_-150_-110_s1,0.000284,0.031330,0.031002,0.026101,0.026384,0.023322,0.024972,0.031489,0.024007,0.027198,0.027876
F5_70MHz_201__P2_r2_-150_-110_s2,0.000279,0.032426,0.034799,0.031750,0.026309,0.028969,0.023328,0.029007,0.026144,0.028533,0.027975
F5_70MHz_201__P2_r3_-140_-110_s1,0.000275,0.041376,0.040492,0.034278,0.035052,0.033631,0.030026,0.029322,0.038162,0.036905,0.037869
F5_70MHz_201__P2_r3_-140_-110_s2,0.000273,0.041639,0.043567,0.039819,0.041093,0.041278,0.044946,0.040172,0.040820,0.036781,0.042752
F5_70MHz_401__P2_r1_-150_-100_s1,0.000289,0.049948,0.041384,0.046513,0.046672,0.044433,0.052588,0.062257,0.061062,0.068665,0.072835
F5_70MHz_401__P2_r1_-150_-100_s2,0.000279,0.056033,0.045851,0.051832,0.053092,0.050289,0.050092,0.064350,0.073026,0.076552,0.075789
F5_70MHz_401__P2_r2_-150_-110_s1,0.000289,0.035992,0.027925,0.028288,0.025716,0.027284,0.031046,0.031034,0.032729,0.037907,0.032475
F5_70MHz_401__P2_r2_-150_-110_s2,0.000279,0.037712,0.039325,0.033056,0.037572,0.027167,0.029087,0.032054,0.031484,0.032520,0.038768
F5_70MHz_401__P2_r3_-140_-110_s1,0.000276,0.039132,0.036694,0.037134,0.034178,0.034838,0.041977,0.037962,0.042350,0.043430,0.044801
F5_70MHz_401__P2_r3_-140_-110_s2,0.000273,0.043325,0.039158,0.037892,0.047761,0.040165,0.034884,0.039322,0.043948,0.048969,0.049812
A1__A2_agent,0.006792,0.024817,0.029383,0.020567,0.024642,0.028058,0.015183,0.007458,0.022183,0.023708,0.017567
