baseline,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
F5_50MHz_201__P2_r1_-150_-100_s1,0.008780,0.195283,0.198758,0.230576,0.210603,0.192374,0.203810,0.274891,0.225576,0.238628,0.272694
F5_50MHz_201__P2_r1_-150_-100_s2,0.007665,0.223169,0.231134,0.222933,0.284996,0.228030,0.222493,0.274895,0.312294,0.323258,0.327226
F5_50MHz_201__P2_r2_-150_-110_s1,0.008780,0.144684,0.138438,0.106240,0.108074,0.124120,0.117517,0.100017,0.139036,0.126981,0.133657
F5_50MHz_201__P2_r2_-150_-110_s2,0.007665,0.124809,0.123599,0.110898,0.114175,0.106593,0.129469,0.133301,0.109662,0.140517,0.130712
F5_50MHz_201__P2_r3_-140_-110_s1,0.010169,0.168541,0.157617,0.144666,0.175713,0.140228,0.150886,0.155090,0.159149,0.174461,0.186349
F5_50MHz_201__P2_r3_-140_-110_s2,0.009020,0.168697,0.176330,0.145997,0.172917,0.166617,0.177891,0.164772,0.185520,0.200397,0.177901
F5_50MHz_401__P2_r1_-150_-100_s1,0.008715,0.254678,0.215198,0.241489,0.273715,0.349862,0.314331,0.323532,0.344989,0.368024,0.372465
F5_50MHz_401__P2_r1_-150_-100_s2,0.007665,0.281168,0.254080,0.209476,0.279607,0.273698,0.308117,0.324590,0.389279,0.408113,0.320653
F5_50MHz_401__P2_r2_-150_-110_s1,0.008715,0.117698,0.124419,0.121906,0.131724,0.123804,0.154620,0.146099,0.166601,0.163253,0.169752
F5_50MHz_401__P2_r2_-150_-110_s2,0.007665,0.144769,0.160723,0.125975,0.122925,0.152218,0.162769,0.166460,0.147663,0.159890,0.155911
F5_50MHz_401__P2_r3_-140_-110_s1,0.010104,0.187462,0.164797,0.175269,0.189027,0.170791,0.176080,0.201417,0.194858,0.195432,0.210954
F5_50MHz_401__P2_r3_-140_-110_s2,0.008986,0.187507,0.170474,0.167323,0.186301,0.193328,0.192573,0.188217,0.213358,0.182417,0.202689
F5_60MHz_201__P2_r1_-150_-100_s1,0.009070,0.255196,0.222081,0.217373,0.200702,0.231395,0.233134,0.223054,0.269782,0.296188,0.257203
F5_60MHz_201__P2_r1_-150_-100_s2,0.007770,0.269603,0.260069,0.221744,0.252700,0.202308,0.292875,0.230642,0.245504,0.255356,0.289922
F5_60MHz_201__P2_r2_-150_-110_s1,0.009070,0.148989,0.121055,0.105986,0.099005,0.096958,0.108900,0.118749,0.124576,0.143617,0.136729
F5_60MHz_201__P2_r2_-150_-110_s2,0.007770,0.142717,0.142744,0.111665,0.141928,0.130300,0.125202,0.143472,0.115677,0.145990,0.135129
F5_60MHz_201__P2_r3_-140_-110_s1,0.010197,0.167815,0.162525,0.149583,0.164114,0.139773,0.157899,0.147072,0.157005,0.154179,0.135412
F5_60MHz_201__P2_r3_-140_-110_s2,0.009229,0.174695,0.174495,0.196489,0.175389,0.163610,0.184798,0.184124,0.162826,0.162518,0.158821
F5_60MHz_401__P2_r1_-150_-100_s1,0.008922,0.225007,0.252467,0.265604,0.234928,0.299522,0.289155,0.302398,0.332024,0.355805,0.376553
F5_60MHz_401__P2_r1_-150_-100_s2,0.007763,0.233545,0.242146,0.292832,0.238307,0.227908,0.292484,0.292145,0.303716,0.330972,0.405061
F5_60MHz_401__P2_r2_-150_-110_s1,0.008922,0.124169,0.135779,0.118978,0.110804,0.129241,0.117630,0.145709,0.144558,0.131041,0.141289
F5_60MHz_401__P2_r2_-150_-110_s2,0.007763,0.124903,0.134117,0.129800,0.124023,0.128793,0.157012,0.136277,0.158784,0.162516,0.157747
F5_60MHz_401__P2_r3_-140_-110_s1,0.010312,0.182289,0.161621,0.177970,0.166305,0.167639,0.180356,0.199823,0.197988,0.188139,0.195947
F5_60MHz_401__P2_r3_-140_-110_s2,0.009083,0.187139,0.174076,0.197034,0.176000,0.176372,0.182596,0.196077,0.161102,0.190771,0.246579
F5_70MHz_201__P2_r1_-150_-100_s1,0.008953,0.262874,0.237589,0.228253,0.216993,0.214874,0.227246,0.227021,0.206085,0.253578,0.267282
F5_70MHz_201__P2_r1_-150_-100_s2,0.007702,0.221120,0.244402,0.209022,0.192473,0.301553,0.246663,0.261471,0.285769,0.258408,0.286341
F5_70MHz_201__P2_r2_-150_-110_s1,0.008953,0.130537,0.125137,0.114363,0.117341,0.108846,0.109487,0.139775,0.105823,0.118796,0.126984
F5_70MHz_201__P2_r2_-150_-110_s2,0.007702,0.139734,0.145978,0.133653,0.117778,0.122955,0.106655,0.127009,0.116944,0.125373,0.126595
F5_70MHz_201__P2_r3_-140_-110_s1,0.010147,0.169006,0.165233,0.149557,0.152789,0.153921,0.137551,0.125629,0.164113,0.159954,0.169141
F5_70MHz_201__P2_r3_-140_-110_s2,0.009202,0.170969,0.184222,0.164396,0.174644,0.175952,0.185036,0.174085,0.172956,0.159450,0.188896
F5_70MHz_401__P2_r1_-150_-100_s1,0.008922,0.236360,0.207576,0.235681,0.230320,0.234676,0.260799,0.317630,0.307857,0.330844,0.372241
F5_70MHz_401__P2_r1_-150_-100_s2,0.007727,0.279907,0.221645,0.235665,0.255401,0.254491,0.242223,0.325187,0.349709,0.387010,0.368386
F5_70MHz_401__P2_r2_-150_-110_s1,0.008922,0.151100,0.119779,0.119285,0.108191,0.117774,0.132691,0.133275,0.139637,0.164993,0.143951
F5_70MHz_401__P2_r2_-150_-110_s2,0.007727,0.149583,0.154153,0.140676,0.158432,0.125557,0.128357,0.135481,0.137623,0.139613,0.174184
F5_70MHz_401__P2_r3_-140_-110_s1,0.010360,0.162189,0.157463,0.160581,0.147095,0.156794,0.181017,0.171215,0.187033,0.188142,0.192448
F5_70MHz_401__P2_r3_-140_-110_s2,0.009047,0.186273,0.165324,0.162371,0.200957,0.173059,0.152999,0.176201,0.184423,0.208506,0.211332
A1__A2_agent,0.034872,0.090630,0.157594,0.098533,0.124399,0.135944,0.081390,0.045044,0.101289,0.112698,0.077831
