sample_id,candidate_rank,flat_idx,is_anchor,label_selected,kx,ky,feat_abs_kx,feat_abs_ky,feat_radius2,feat_is_task_mode,feat_direct_coupling,feat_pool_coupling,feat_outside_pool_coupling,feat_task_coupling_mean,feat_single_ref_leakage,feat_alpha_total,feat_alpha_l2,feat_alpha_max,feat_mean_abs_q,feat_num_components,feat_budget,feat_pool_size,feat_task_size
0,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,0.9594706670925726,0.0,0.0195810340222974,0.5864999201448564,0.9594706670925726,0.6917555585484582,0.5752177200821185,3.0,2,4,5,49
0,1,16,0,1,0,1,0.0,1.0,1.0,1,0.19212647350522705,0.19212647350522705,0.7673441935873455,0.02391554708268395,0.5864999201448564,0.9594706670925726,0.6917555585484582,0.5752177200821185,3.0,2,4,5,49
0,2,62,0,1,-2,3,2.0,3.0,13.0,1,0.28760886004105923,0.28760886004105934,0.6718618070515133,0.1424435782356385,0.5864999201448564,0.9594706670925726,0.6917555585484582,0.5752177200821185,3.0,2,4,5,49
0,3,210,0,1,2,-3,2.0,3.0,13.0,1,0.28760886004105923,0.28760886004105934,0.6718618070515133,0.1424435782356385,0.5864999201448564,0.9594706670925726,0.6917555585484582,0.5752177200821185,3.0,2,4,5,49
0,4,240,0,0,0,-1,0.0,1.0,1.0,1,0.19212647350522705,0.19212647350522705,0.7673441935873455,0.02391554708268395,0.5864999201448564,0.9594706670925726,0.6917555585484582,0.5752177200821185,3.0,2,4,5,49
1,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.332123893326881,0.0,0.027186201904630225,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
1,1,2,0,1,2,0,2.0,0.0,4.0,1,0.3422234534405044,0.3422234534405044,0.9899004398863767,0.06139357959395806,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
1,2,14,0,1,-2,0,2.0,0.0,4.0,1,0.3422234534405044,0.3422234534405044,0.9899004398863767,0.06139357959395806,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
1,3,18,0,0,2,1,2.0,1.0,5.0,1,0.13372821561447254,0.13372821561447257,1.1983956777124085,0.06461350911558042,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
1,4,63,0,1,-1,3,1.0,3.0,10.0,1,0.19011027760846355,0.1901102776084631,1.1420136157184175,0.11563391727884574,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
1,5,209,0,0,1,-3,1.0,3.0,10.0,1,0.19011027760846355,0.1901102776084631,1.1420136157184175,0.11563391727884571,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
1,6,254,0,0,-2,-1,2.0,1.0,5.0,1,0.13372821561447254,0.13372821561447257,1.1983956777124085,0.06461350911558042,0.6841468229094267,1.332123893326881,0.8273863556731959,0.6844469068810088,3.0,3,4,7,49
2,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,2.0751220874702305,0.38766325400181306,0.042349430356535316,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
2,1,1,0,1,1,0,1.0,0.0,1.0,1,0.3710516386615087,0.3710516386615087,2.091733702810535,0.05045512229039316,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
2,2,15,0,1,-1,0,1.0,0.0,1.0,1,0.3710516386615087,0.3710516386615087,2.091733702810535,0.05045512229039316,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
2,3,29,0,0,-3,1,3.0,1.0,10.0,1,0.29665272224187267,0.29665272224187245,2.1661326192301713,0.1271712789946127,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
2,4,31,0,1,-1,1,1.0,1.0,2.0,1,0.369856682831734,0.369856682831734,2.0929286586403095,0.0567034564332318,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
2,5,241,0,0,1,-1,1.0,1.0,2.0,1,0.369856682831734,0.369856682831734,2.0929286586403095,0.0567034564332318,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
2,6,243,0,0,3,-1,3.0,1.0,10.0,1,0.29665272224187267,0.29665272224187245,2.166132619230171,0.1271712789946127,1.024414305131649,2.4627853414720438,1.264985093395202,0.7421032773230174,3.25,4,4,7,49
3,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.0608185569336999,0.0,0.021649358304769384,0.6344774657812634,1.0608185569336999,0.7554658350193888,0.5938940109388928,3.0,2,4,5,49
3,1,1,0,1,1,0,1.0,0.0,1.0,1,0.2334622729974035,0.23346227299740352,0.8273562839362963,0.02579329696865823,0.6344774657812634,1.0608185569336999,0.7554658350193888,0.5938940109388928,3.0,2,4,5,49
3,2,15,0,0,-1,0,1.0,0.0,1.0,1,0.2334622729974035,0.23346227299740352,0.8273562839362963,0.02579329696865823,0.6344774657812634,1.0608185569336999,0.7554658350193888,0.5938940109388928,3.0,2,4,5,49
3,3,45,0,1,-3,2,3.0,2.0,13.0,1,0.2969470054694464,0.2969470054694465,0.7638715514642533,0.1434777403768745,0.6344774657812634,1.0608185569336999,0.7554658350193888,0.5938940109388928,3.0,2,4,5,49
3,4,227,0,1,3,-2,3.0,2.0,13.0,1,0.2969470054694464,0.2969470054694465,0.7638715514642533,0.1434777403768745,0.6344774657812634,1.0608185569336999,0.7554658350193888,0.5938940109388928,3.0,2,4,5,49
4,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.712314257845837,0.0,0.03494518893562933,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
4,1,3,0,1,3,0,3.0,0.0,9.0,1,0.32690843916563683,0.3269084391656367,1.3854058186802,0.10930932916169221,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
4,2,13,0,0,-3,0,3.0,0.0,9.0,1,0.32690843916563683,0.3269084391656367,1.3854058186802,0.10930932916169223,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
4,3,17,0,1,1,1,1.0,1.0,2.0,1,0.37129659219237926,0.3712965921923792,1.3410176656534578,0.04545823920643465,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
4,4,50,0,0,2,3,2.0,3.0,13.0,1,0.15795209756490247,0.1579520975649027,1.5543621602809345,0.15012565569230446,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
4,5,222,0,0,-2,-3,2.0,3.0,13.0,1,0.15795209756490247,0.1579520975649027,1.5543621602809348,0.15012565569230446,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
4,6,255,0,1,-1,-1,1.0,1.0,2.0,1,0.37129659219237926,0.3712965921923792,1.3410176656534578,0.04545823920643465,0.8538594373392856,1.7123142578458372,1.0386128289146814,0.7425931843847585,3.3333333333333335,3,4,7,49
5,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.4901654582318047,0.3050612037314095,0.027242337369739432,0.7631357312527168,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
5,1,1,0,0,1,0,1.0,0.0,1.0,1,0.18488334337469972,0.33741394524040447,1.4578127167228097,0.04214388972531067,0.7631357312527168,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
5,2,15,0,0,-1,0,1.0,0.0,1.0,1,0.18488334337469972,0.33741394524040447,1.4578127167228097,0.04214388972531067,0.7631357312527168,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
5,3,31,0,1,-1,1,1.0,1.0,2.0,1,0.3300233203182116,0.3300233203182117,1.4652033416450025,0.047650500635045556,0.7631357312527169,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
5,4,51,0,1,3,3,3.0,3.0,18.0,0,0.23017606542299093,0.23017606542299163,1.565050596540223,0.011583469605375417,0.7631357312527168,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
5,5,221,0,0,-3,-3,3.0,3.0,18.0,0,0.23017606542299093,0.23017606542299163,1.565050596540223,0.011583469605375417,0.7631357312527169,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
5,6,241,0,1,1,-1,1.0,1.0,2.0,1,0.3300233203182116,0.3300233203182117,1.4652033416450023,0.047650500635045556,0.7631357312527169,1.795226661963214,0.9366831870176535,0.6600466406364232,2.75,4,4,7,49
6,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.2672778783655576,0.0,0.025862813844195053,0.782717719048912,1.2672778783655576,0.908953876300637,0.7413434858477159,3.5,2,4,5,49
6,1,3,0,1,3,0,3.0,0.0,9.0,1,0.37067174292385796,0.3706717429238582,0.8966061354416996,0.10476814161597509,0.782717719048912,1.2672778783655576,0.908953876300637,0.7413434858477159,3.5,2,4,5,49
6,2,13,0,1,-3,0,3.0,0.0,9.0,1,0.37067174292385796,0.3706717429238582,0.8966061354416996,0.10476814161597509,0.782717719048912,1.2672778783655576,0.908953876300637,0.7413434858477159,3.5,2,4,5,49
6,3,29,0,1,-3,1,3.0,1.0,10.0,1,0.2629671962589208,0.26296719625892084,1.0043106821066368,0.11497222324862814,0.782717719048912,1.2672778783655576,0.908953876300637,0.7413434858477159,3.5,2,4,5,49
6,4,243,0,0,3,-1,3.0,1.0,10.0,1,0.2629671962589208,0.26296719625892084,1.0043106821066368,0.11497222324862814,0.782717719048912,1.2672778783655576,0.908953876300637,0.7413434858477159,3.5,2,4,5,49
7,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.8219023080722563,0.0,0.037181679756576665,1.1190592489266948,1.8219023080722563,1.0543801054513384,0.6374500428780693,3.3333333333333335,3,4,5,49
7,1,29,0,1,-3,1,3.0,1.0,10.0,1,0.3182243341966765,0.3182243341966764,1.5036779738755799,0.12063165620481896,1.1190592489266948,1.8219023080722563,1.0543801054513384,0.6374500428780693,3.3333333333333335,3,4,5,49
7,2,30,0,1,-2,1,2.0,1.0,5.0,1,0.5927268198394517,0.5927268198394517,1.2291754882328048,0.06961124804155364,1.1190592489266948,1.8219023080722563,1.0543801054513384,0.6374500428780693,3.3333333333333335,3,4,5,49
7,3,242,0,1,2,-1,2.0,1.0,5.0,1,0.5927268198394517,0.5927268198394517,1.2291754882328048,0.06961124804155364,1.1190592489266948,1.8219023080722563,1.0543801054513384,0.6374500428780693,3.3333333333333335,3,4,5,49
7,4,243,0,0,3,-1,3.0,1.0,10.0,1,0.3182243341966765,0.3182243341966764,1.5036779738755799,0.12063165620481896,1.1190592489266948,1.8219023080722563,1.0543801054513384,0.6374500428780693,3.3333333333333335,3,4,5,49
8,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.3794506268046476,0.29338374311126164,0.03413947693705937,0.7447773522030978,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
8,1,16,0,0,0,1,0.0,1.0,1.0,1,0.14751294135647913,0.14751294135647908,1.52532142855943,0.038520738388789395,0.7447773522030978,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
8,2,19,0,1,3,1,3.0,1.0,10.0,1,0.25689418318061596,0.2568941831806164,1.415940186735293,0.11629820280508582,0.7447773522030978,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
8,3,63,0,1,-1,3,1.0,3.0,10.0,1,0.28531818886522864,0.28531818886522853,1.3875161810506804,0.11386781636280283,0.7447773522030977,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
8,4,209,0,1,1,-3,1.0,3.0,10.0,1,0.28531818886522864,0.28531818886522853,1.3875161810506804,0.11386781636280283,0.7447773522030978,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
8,5,240,0,0,0,-1,0.0,1.0,1.0,1,0.14751294135647913,0.14751294135647908,1.52532142855943,0.038520738388789395,0.7447773522030978,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
8,6,253,0,0,-3,-1,3.0,1.0,10.0,1,0.25689418318061596,0.2568941831806164,1.415940186735293,0.11629820280508579,0.7447773522030978,1.6728343699159092,0.8733376513067644,0.5706363777304573,3.0,4,4,7,49
9,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.1987643970855684,0.0,0.013011174292542324,0.7113164053525302,1.1987643970855684,0.8493710770258964,0.6375475403345738,4.0,2,4,5,49
9,1,17,0,1,1,1,1.0,1.0,2.0,1,0.3187737701672869,0.31877377016728703,0.8799906269182814,0.03914604017775656,0.7113164053525302,1.1987643970855684,0.8493710770258964,0.6375475403345738,4.0,2,4,5,49
9,2,51,0,1,3,3,3.0,3.0,18.0,0,0.28060842837549727,0.2806084283754977,0.9181559687100711,0.01223228976617927,0.7113164053525302,1.1987643970855684,0.8493710770258964,0.6375475403345738,4.0,2,4,5,49
9,3,221,0,0,-3,-3,3.0,3.0,18.0,0,0.28060842837549727,0.2806084283754977,0.9181559687100711,0.01223228976617927,0.7113164053525302,1.1987643970855684,0.8493710770258964,0.6375475403345738,4.0,2,4,5,49
9,4,255,0,1,-1,-1,1.0,1.0,2.0,1,0.3187737701672869,0.31877377016728703,0.8799906269182814,0.03914604017775655,0.7113164053525302,1.1987643970855684,0.8493710770258964,0.6375475403345738,4.0,2,4,5,49
10,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.643910200442308,0.0,0.01322657513580132,1.0654761228534806,1.6439102004423078,0.9584290419725116,0.6481021816542647,5.666666666666667,3,4,5,49
10,1,61,0,1,-3,3,3.0,3.0,18.0,0,0.4979040093940216,0.4979040093940217,1.1460061910482864,0.016774593882064367,1.0654761228534806,1.6439102004423078,0.9584290419725116,0.6481021816542647,5.666666666666667,3,4,5,49
10,2,62,0,1,-2,3,2.0,3.0,13.0,1,0.32405109082713235,0.32405109082713235,1.3198591096151755,0.14942765510655417,1.0654761228534806,1.6439102004423078,0.9584290419725116,0.6481021816542647,5.666666666666667,3,4,5,49
10,3,210,0,0,2,-3,2.0,3.0,13.0,1,0.32405109082713235,0.32405109082713235,1.3198591096151755,0.14942765510655417,1.0654761228534806,1.6439102004423078,0.9584290419725116,0.6481021816542647,5.666666666666667,3,4,5,49
10,4,211,0,1,3,-3,3.0,3.0,18.0,0,0.4979040093940216,0.4979040093940217,1.1460061910482864,0.016774593882064367,1.0654761228534806,1.6439102004423078,0.9584290419725116,0.6481021816542647,5.666666666666667,3,4,5,49
11,0,0,1,1,0,0,0.0,0.0,0.0,1,0.0,1.2767571176393802,0.3355657601737343,0.024360590624396605,0.7163525001370609,1.6123228778131147,0.8136901086574246,0.48403140583973164,4.5,4,4,7,49
11,1,29,0,0,-3,1,3.0,1.0,10.0,1,0.1870358872909839,0.18703588729098364,1.4252869905221306,0.11849309058992973,0.7163525001370609,1.6123228778131147,0.8136901086574246,0.48403140583973164,4.5,4,4,7,49
11,2,35,0,1,3,2,3.0,2.0,13.0,1,0.24201570291986582,0.24201570291986574,1.3703071748932487,0.1491053354878889,0.7163525001370609,1.6123228778131147,0.8136901086574246,0.48403140583973164,4.5,4,4,7,49
11,3,51,0,1,3,3,3.0,3.0,18.0,0,0.20932696860884042,0.20932696860884015,1.402995909204274,0.01645227426339913,0.7163525001370609,1.6123228778131147,0.8136901086574246,0.48403140583973164,4.5,4,4,7,49
11,4,221,0,0,-3,-3,3.0,3.0,18.0,0,0.20932696860884042,0.20932696860884015,1.402995909204274,0.01645227426339913,0.7163525001370609,1.6123228778131147,0.8136901086574246,0.48403140583973164,4.5,4,4,7,49
11,5,237,0,1,-3,-2,3.0,2.0,13.0,1,0.24201570291986582,0.24201570291986574,1.3703071748932487,0.1491053354878889,0.7163525001370609,1.6123228778131147,0.8136901086574246,0.48403140583973164,4.5,4,4,7,49
