sample_id,attempt_id,nx,N,K0,budget,pool_hops,pool_size,pool_text,components_json,components_label,eval_seeds,eval_times,oracle_reference_text,oracle_objective,oracle_err_rho_vs_full,oracle_leakage,coupling_reference_text,coupling_objective,low_energy_reference_text,low_energy_objective
0,0,4,16,4.0,4,1,5,"0,16,62,210,240","[{""alpha"":0.3842529470104541,""qx"":0,""qy"":1},{""alpha"":0.5752177200821185,""qx"":2,""qy"":-3}]","V=0.38cos(0,1)+0.58cos(2,-3)","0,1","0.3,0.6","0,16,62,210",0.11555016753235017,0.06627471633755867,0.49275451194791503,"0,16,62,210",0.11555016753235017,"0,16,62,240",0.11782179640241874
1,1,4,16,4.0,4,1,7,"0,2,14,18,63,209,254","[{""alpha"":0.6844469068810088,""qx"":-2,""qy"":0},{""alpha"":0.2674564312289451,""qx"":-2,""qy"":-1},{""alpha"":0.3802205552169271,""qx"":1,""qy"":-3}]","V=0.68cos(-2,0)+0.27cos(-2,-1)+0.38cos(1,-3)","0,1","0.3,0.6","0,2,14,63",0.13455405596469266,0.07685925339235225,0.5769480257234042,"0,2,14,63",0.13455405596469266,"0,2,14,18",0.13533987970454234
2,2,4,16,4.0,4,1,7,"0,1,15,29,31,241,243","[{""alpha"":0.38766325400181306,""qx"":3,""qy"":3},{""alpha"":0.5933054444837453,""qx"":-3,""qy"":1},{""alpha"":0.7421032773230174,""qx"":-1,""qy"":0},{""alpha"":0.739713365663468,""qx"":1,""qy"":-1}]","V=0.39cos(3,3)+0.59cos(-3,1)+0.74cos(-1,0)+0.74cos(1,-1)","0,1","0.3,0.6","0,1,15,31",0.19408845322045332,0.10225445259501387,0.9183400062543945,"0,1,15,31",0.19408845322045332,"0,1,15,31",0.19408845322045332
3,3,4,16,4.0,4,1,5,"0,1,15,45,227","[{""alpha"":0.466924545994807,""qx"":1,""qy"":0},{""alpha"":0.5938940109388928,""qx"":-3,""qy"":2}]","V=0.47cos(1,0)+0.59cos(-3,2)","0,1","0.3,0.6","0,1,45,227",0.1172186106003775,0.06363392864084864,0.5358468195952886,"0,1,45,227",0.1172186106003775,"0,1,15,45",0.11876724521462864
4,4,4,16,4.0,4,1,7,"0,3,13,17,50,222,255","[{""alpha"":0.31590419512980494,""qx"":-2,""qy"":-3},{""alpha"":0.6538168783312737,""qx"":3,""qy"":0},{""alpha"":0.7425931843847585,""qx"":1,""qy"":1}]","V=0.32cos(-2,-3)+0.65cos(3,0)+0.74cos(1,1)","0,1","0.3,0.6","0,3,17,255",0.15706675693956124,0.08373325739393535,0.7333349954562587,"0,3,17,255",0.15706675693956124,"0,3,17,255",0.15706675693956124
5,5,4,16,4.0,4,1,7,"0,1,15,31,51,221,241","[{""alpha"":0.6600466406364232,""qx"":1,""qy"":-1},{""alpha"":0.3050612037314095,""qx"":-2,""qy"":0},{""alpha"":0.46035213084598187,""qx"":3,""qy"":3},{""alpha"":0.36976668674939944,""qx"":1,""qy"":0}]","V=0.66cos(1,-1)+0.31cos(-2,0)+0.46cos(3,3)+0.37cos(1,0)","0,1","0.3,0.6","0,31,51,241",0.17055316587833413,0.10369733278847146,0.6685583308986267,"0,31,51,241",0.17055316587833413,"0,1,15,31",0.17313102816957054
6,6,4,16,4.0,4,1,5,"0,3,13,29,243","[{""alpha"":0.7413434858477159,""qx"":3,""qy"":0},{""alpha"":0.5259343925178416,""qx"":-3,""qy"":1}]","V=0.74cos(3,0)+0.53cos(-3,1)","0,1","0.3,0.6","0,3,13,29",0.13774344819670697,0.07136019627600172,0.6638325192070526,"0,3,13,29",0.13774344819670697,"0,3,13,29",0.13774344819670697
7,7,4,16,4.0,4,1,5,"0,29,30,242,243","[{""alpha"":0.5480035968008341,""qx"":2,""qy"":-1},{""alpha"":0.636448668393353,""qx"":3,""qy"":-1},{""alpha"":0.6374500428780693,""qx"":2,""qy"":-1}]","V=0.55cos(2,-1)+0.64cos(3,-1)+0.64cos(2,-1)","0,1","0.3,0.6","0,29,30,242",0.16434016581490368,0.0721265466356344,0.9221361917926926,"0,29,30,242",0.16434016581490368,"0,29,30,242",0.16434016581490368
8,8,4,16,4.0,4,1,7,"0,16,19,63,209,240,253","[{""alpha"":0.29502588271295827,""qx"":0,""qy"":1},{""alpha"":0.5706363777304573,""qx"":-1,""qy"":3},{""alpha"":0.5137883663612319,""qx"":-3,""qy"":-1},{""alpha"":0.29338374311126164,""qx"":-1,""qy"":-2}]","V=0.3cos(0,1)+0.57cos(-1,3)+0.51cos(-3,-1)+0.29cos(-1,-2)","0,1","0.3,0.6","0,19,63,209",0.1442311926879406,0.07787687671819338,0.663543159697472,"0,19,63,209",0.1442311926879406,"0,16,19,240",0.14858302396233328
9,9,4,16,4.0,4,1,5,"0,17,51,221,255","[{""alpha"":0.5612168567509945,""qx"":-3,""qy"":-3},{""alpha"":0.6375475403345738,""qx"":-1,""qy"":-1}]","V=0.56cos(-3,-3)+0.64cos(-1,-1)","0,1","0.3,0.6","0,17,51,255",0.1755904139701372,0.11517652757476488,0.6041388639537233,"0,17,51,255",0.1755904139701372,"0,17,51,255",0.1755904139701372
10,10,4,16,4.0,4,1,5,"0,61,62,210,211","[{""alpha"":0.6481021816542647,""qx"":2,""qy"":-3},{""alpha"":0.4609379067454797,""qx"":-3,""qy"":3},{""alpha"":0.5348701120425634,""qx"":-3,""qy"":3}]","V=0.65cos(2,-3)+0.46cos(-3,3)+0.53cos(-3,3)","0,1","0.3,0.6","0,61,62,211",0.2529707591679982,0.16160192361302816,0.9136883555497005,"0,61,62,211",0.2529707591679982,"0,61,62,210",0.2568004560397053
11,11,4,16,4.0,4,1,7,"0,29,35,51,221,237,243","[{""alpha"":0.3740717745819678,""qx"":3,""qy"":-1},{""alpha"":0.41865393721768085,""qx"":3,""qy"":3},{""alpha"":0.3355657601737343,""qx"":3,""qy"":0},{""alpha"":0.48403140583973164,""qx"":3,""qy"":2}]","V=0.37cos(3,-1)+0.42cos(3,3)+0.34cos(3,0)+0.48cos(3,2)","0,1","0.3,0.6","0,35,51,237",0.16311696390270133,0.09733851651304809,0.6577844738965324,"0,35,51,237",0.16311696390270133,"0,29,35,243",0.16433797032335867
12,12,4,16,4.0,4,1,5,"0,1,15,33,239","[{""alpha"":0.48443869877480134,""qx"":-1,""qy"":-2},{""alpha"":0.7188316670659036,""qx"":1,""qy"":0}]","V=0.48cos(-1,-2)+0.72cos(1,0)","0,1","0.3,0.6","0,1,15,33",0.11232323470954217,0.057064860897155276,0.552583738123869,"0,1,15,33",0.11232323470954217,"0,1,15,33",0.11232323470954217
13,13,4,16,4.0,4,1,5,"0,18,35,237,254","[{""alpha"":0.2906368598466399,""qx"":-2,""qy"":-1},{""alpha"":0.4458191798010326,""qx"":3,""qy"":2},{""alpha"":0.6340125377596928,""qx"":-3,""qy"":-2}]","V=0.29cos(-2,-1)+0.45cos(3,2)+0.63cos(-3,-2)","0,1","0.3,0.6","0,18,35,237",0.16438114804458054,0.08319659347524556,0.8118455456933495,"0,18,35,237",0.16438114804458054,"0,18,35,254",0.17231948808183425
14,14,4,16,4.0,4,1,7,"0,2,14,31,48,208,241","[{""alpha"":0.4905849340069193,""qx"":0,""qy"":3},{""alpha"":0.7182333242577623,""qx"":2,""qy"":0},{""alpha"":0.3242982811465691,""qx"":-2,""qy"":-3},{""alpha"":0.652821017327873,""qx"":-1,""qy"":1}]","V=0.49cos(0,3)+0.72cos(2,0)+0.32cos(-2,-3)+0.65cos(-1,1)","0,1","0.3,0.6","0,2,14,31",0.1708190610055041,0.08840427284203714,0.8241478816346693,"0,2,14,31",0.1708190610055041,"0,2,31,241",0.17149640298858487
15,15,4,16,4.0,4,1,5,"0,29,33,239,243","[{""alpha"":0.48678853771946456,""qx"":-1,""qy"":-2},{""alpha"":0.2659048875289847,""qx"":3,""qy"":-1}]","V=0.49cos(-1,-2)+0.27cos(3,-1)","0,1","0.3,0.6","0,29,33,239",0.10617013215410434,0.068104631600194,0.3806550055391034,"0,29,33,239",0.10617013215410434,"0,29,33,239",0.10617013215410434
