epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_runtime_seconds,val_parameter_count,sel_ood_alpha_val_loss_total,sel_ood_alpha_val_loss_rho,sel_ood_alpha_val_loss_spectral,sel_ood_alpha_val_loss_energy,sel_ood_alpha_val_loss_leakage,sel_ood_alpha_val_loss_selection_entropy,sel_ood_alpha_val_loss_selection_coverage,sel_ood_alpha_val_density_rel_l2,sel_ood_alpha_val_lowfreq_spectral_rel_l2,sel_ood_alpha_val_lowpass_energy_rel_l2,sel_ood_alpha_val_commutator_leakage,sel_ood_alpha_val_leakage_error_correlation,sel_ood_alpha_val_latent_step_norm,sel_ood_alpha_val_selection_entropy,sel_ood_alpha_val_selection_coverage_deficit,sel_ood_alpha_val_runtime_seconds,sel_ood_alpha_val_parameter_count,sel_ood_structure_val_loss_total,sel_ood_structure_val_loss_rho,sel_ood_structure_val_loss_spectral,sel_ood_structure_val_loss_energy,sel_ood_structure_val_loss_leakage,sel_ood_structure_val_loss_selection_entropy,sel_ood_structure_val_loss_selection_coverage,sel_ood_structure_val_density_rel_l2,sel_ood_structure_val_lowfreq_spectral_rel_l2,sel_ood_structure_val_lowpass_energy_rel_l2,sel_ood_structure_val_commutator_leakage,sel_ood_structure_val_leakage_error_correlation,sel_ood_structure_val_latent_step_norm,sel_ood_structure_val_selection_entropy,sel_ood_structure_val_selection_coverage_deficit,sel_ood_structure_val_runtime_seconds,sel_ood_structure_val_parameter_count
0,0.19229760295466372,1.0408972098287593e-07,4.425546290133896e-07,0.7343904705424058,0.4541918196176228,1.9780655032710026,1.3694851774918406,0.13430308550596237,7.233681031948436e-08,3.079658625892989e-07,0.5007844269275665,0.34145981073379517,1.798965573310852,1.1739986836910248,0.23911562412977216,0.23051467463374137,0.7041963636875153,0.34145981073379517,0.8083763291867079,0.005617588292807341,1.798965573310852,1.1739986836910248,0.006042640015948564,621441,0.1313851939307319,4.1023397222438184e-08,1.7623178254982324e-07,0.5570840040842692,0.1996826860639784,1.5996787812974718,0.8585924042595757,0.19757423284980985,0.19157691448926925,0.7464784052636888,0.1996826860639784,nan,0.005669827469521099,1.5996787812974718,0.8585924042595757,0.004751423024572432,621441,0.13428060710430145,4.197033950011549e-08,1.8018110855185418e-07,0.5500874916712443,0.24262978633244833,1.598583420117696,0.8606002728144327,0.19963097274303435,0.19347024957338968,0.7417457501093546,0.24262978633244833,0.8606770653026953,0.006041570256153743,1.598583420117696,0.8606002728144327,0.006111538037657738,621441
1,0.10025041589611455,1.0370357541121752e-07,4.4113117257295113e-07,0.2799714129222067,0.44255807995796204,1.8977309151699668,1.5506829964487177,0.06325974501669407,7.21309412199389e-08,3.070875251864891e-07,0.149977158755064,0.3326408565044403,1.6976014375686646,1.40529865026474,0.23880966752767563,0.23019073903560638,0.3612612783908844,0.3326408565044403,0.7981638425080227,0.008265674579888582,1.6976014375686646,1.40529865026474,0.03445893997559324,621441,0.0595832798216078,4.096251476287054e-08,1.7583570392313655e-07,0.20033283366097343,0.19516584277153015,1.5642122560077243,0.9480891757541232,0.19743133783340455,0.19135446829928293,0.4472520417637295,0.19516584277153015,nan,0.007800255488190386,1.5642122560077243,0.9480891757541232,0.010198398027569056,621441,0.061914404233296715,4.190553918685206e-08,1.7977503811531884e-07,0.19101826349894205,0.23710618416468301,1.5594874223073323,0.9588032563527426,0.19947909613450368,0.19324382891257605,0.43641047676404315,0.23710618416468301,0.8601658499314251,0.008345204715927442,1.5594874223073323,0.9588032563527426,0.006844302057288587,621441
2,0.05970990030389083,1.0334139083648839e-07,4.3969228015253306e-07,0.08125493695077143,0.4345858802920894,1.7150619406449168,1.9156665300068103,0.03833120875060558,7.196809193033005e-08,3.063105324940807e-07,0.027706598863005638,0.3278966322541237,1.598243772983551,1.5957280993461609,0.23858427703380586,0.22990518659353254,0.1328197605907917,0.3278966322541237,0.792029931824471,0.011199345346540213,1.598243772983551,1.5957280993461609,0.00716758199268952,621441,0.02178965260585149,4.092816910075372e-08,1.7550022827587478e-07,0.012426775207536088,0.19304168886608547,1.5135954750908747,1.0792858335706923,0.1973577469587326,0.19116617292165755,0.10751232753197353,0.19304168886608547,nan,0.010595924014018642,1.5135954750908747,1.0792858335706923,0.005580207973252982,621441,0.02544529860218366,4.186695908477608e-08,1.7942626110804363e-07,0.009822946429873506,0.2348057727018992,1.5045204559961955,1.1004499594370525,0.19939486285050712,0.19304929226636888,0.09172267094254494,0.2348057727018992,0.8626560788255189,0.011505764288206896,1.5045204559961955,1.1004499594370525,0.00758137198863551,621441
3,0.05737199683330561,1.0301976516302602e-07,4.3842338096797714e-07,0.07088725259037394,0.4319422213654769,1.6092191181684796,2.045718657343011,0.03670856077224016,7.17556183360557e-08,3.0553552932133243e-07,0.018310130573809147,0.33046308159828186,1.5228541493415833,1.6876251101493835,0.23822670206427576,0.229615680873394,0.11679303646087646,0.33046308159828186,0.795956779325189,0.011829215101897717,1.5228541493415833,1.6876251101493835,0.009450438024941832,621441,0.022218329418036673,4.082310272540073e-08,1.7510936976982015e-07,0.014278412175675234,0.19362518191337585,1.4823851320478652,1.1435876687367756,0.1970974529782931,0.19095133907265133,0.11580485436651441,0.19362518191337585,nan,0.011629578347007433,1.4823851320478652,1.1435876687367756,0.007951142964884639,621441,0.025868167479832966,4.1760614521990647e-08,1.7903165883126348e-07,0.011457084057231745,0.23576618234316507,1.4709467490514119,1.1686607996622722,0.19913483262062073,0.1928353935480118,0.10041486968596776,0.23576618234316507,0.8645616429786637,0.01273853766421477,1.4709467490514119,1.1686607996622722,0.025173547968734056,621441
4,0.0491932791314627,1.0267256930032282e-07,4.3716806586464944e-07,0.031874115235711396,0.4281813314086513,1.470944555182206,2.1017022634807385,0.03644747380167246,7.155027326177787e-08,3.0478446433335193e-07,0.020567269064486027,0.32333794981241226,1.3871249556541443,1.7320677042007446,0.23787938952445983,0.22933443114161492,0.1359996683895588,0.32333794981241226,0.779818521398012,0.014936013147234917,1.3871249556541443,1.7320677042007446,0.009526398032903671,621441,0.02497338710559739,4.071836912089566e-08,1.7472190765804245e-07,0.028666184801194403,0.19240020712216696,1.4204471641116672,1.2202019956376817,0.19683829347292583,0.19073903163274128,0.1670022275712755,0.19240020712216696,nan,0.014056243312855562,1.4204471641116672,1.2202019956376817,0.004851228964980692,621441,0.02832401916384697,4.165488339443376e-08,1.7864047663351812e-07,0.024470252295335133,0.2342983583609263,1.4037636121114094,1.248684287071228,0.19887676040331526,0.1926240344842275,0.15244693557421365,0.2342983583609263,0.8654179727293195,0.015348263705770174,1.4037636121114094,1.248684287071228,0.006497166003100574,621441
5,0.0454670204535911,1.0236345366664817e-07,4.3599243625928803e-07,0.018388705426140836,0.41788958248339203,1.2015181466152793,2.102392416251333,0.033494566567242146,7.13682393183035e-08,3.040319640490452e-07,0.008636566111817956,0.3176703006029129,1.1223037838935852,1.7868207693099976,0.2375890277326107,0.22905347421765326,0.084658682346344,0.3176703006029129,0.7544593814389668,0.020897372625768185,1.1223037838935852,1.7868207693099976,0.006488476064987481,621441,0.021562600922253396,4.063916176417277e-08,1.743451431618976e-07,0.011642873701122072,0.19233897659513685,1.2720419433381822,1.352809296713935,0.19664713276757134,0.19053140696552065,0.10387993107239406,0.19233897659513685,nan,0.019536397109429043,1.2720419433381822,1.352809296713935,0.006751171022187918,621441,0.02529504398504893,4.157544234809999e-08,1.782628089586069e-07,0.009242646784211198,0.23446382085482279,1.245017647743225,1.385282317797343,0.19868695090214414,0.1924180567264557,0.08904790381590526,0.23446382085482279,0.8672203157305042,0.021340449651082356,1.245017647743225,1.385282317797343,0.009418995934538543,621441
6,0.042672088663829,1.0205074306070042e-07,4.3472123940390656e-07,0.007360650079422875,0.41199638498456853,0.8958221234773335,2.0656751519755314,0.031898085959255695,7.12069621044975e-08,3.03335646378855e-07,0.0029989766189828515,0.31298066675662994,0.9440851509571075,1.739585816860199,0.23733043745160104,0.22878630012273787,0.04516867455095053,0.31298066675662994,0.7371276127959691,0.02628539316356182,0.9440851509571075,1.739585816860199,0.009536994970403612,621441,0.01925604355831941,4.056610928652541e-08,1.7396416751580546e-07,0.0011335054748795098,0.19029213984807333,1.1466864082548354,1.3576773272620306,0.1964728875292672,0.1903210490942001,0.03024928168290191,0.19029213984807333,nan,0.024842014329300985,1.1466864082548354,1.3576773272620306,0.007568828004878014,621441,0.02354785179098447,4.150157314105248e-08,1.7787953273303478e-07,0.0017733192071318626,0.2319305638472239,1.114439606666565,1.3870577812194824,0.19851234654585523,0.1922085126241048,0.037658282866080604,0.2319305638472239,0.8665317674714048,0.02705369144678116,1.114439606666565,1.3870577812194824,0.00546815904090181,621441
7,0.041266483205713723,1.0176687188851773e-07,4.335889813271359e-07,0.0034135832010131133,0.40583446935603495,0.7646750023490504,1.875941565162257,0.031011960469186306,7.102642740619558e-08,3.026424977292663e-07,0.0032351500121876597,0.30364707112312317,0.8994387686252594,1.4481388330459595,0.23701987117528914,0.22852131426334382,0.047383518889546394,0.30364707112312317,0.7136388463891006,0.025948096998035908,0.8994387686252594,1.4481388330459595,0.009360359981656075,621441,0.018871300336387422,4.046600763116557e-08,1.7358166972927495e-07,0.0019022001959254136,0.1849073138501909,1.1321408086352878,1.1508510377671983,0.1962265145447519,0.19011147452725305,0.03604693876372443,0.1849073138501909,nan,0.02440966044863065,1.1321408086352878,1.1508510377671983,0.005958852998446673,621441,0.022817666331926983,4.140009934872069e-08,1.7749359907763088e-07,0.0016416449992296596,0.2248920500278473,1.1029218037923176,1.1699055830637615,0.1982661485671997,0.19200010349353155,0.0340375192463398,0.2248920500278473,0.8654368084388452,0.02645726688206196,1.1029218037923176,1.1699055830637615,0.007534248987212777,621441
8,0.04032492814095397,1.0148486233830274e-07,4.324711899004653e-07,0.0024552599612721487,0.3983355760574341,0.7095540856060228,1.5056804042113454,0.03002034593373537,7.085138520324108e-08,3.019261782810645e-07,0.0021512341627385467,0.29589878022670746,0.8706454932689667,1.1550223529338837,0.2367306597530842,0.2282521925866604,0.04041603486984968,0.29589878022670746,0.7117256749963702,0.02605816163122654,0.8706454932689667,1.1550223529338837,0.07056867406936362,621441,0.01808495633304119,4.037958747618278e-08,1.7321555705823104e-07,0.0008252144681238052,0.1791978677113851,1.1137928300433688,0.9019938045077853,0.19601585649781755,0.18990990138716168,0.02543399752014213,0.1791978677113851,nan,0.024368157817257777,1.1137928300433688,0.9019938045077853,0.011486303992569447,621441,0.021961407115062077,4.131165454168695e-08,1.771217578531529e-07,0.0011523662057394783,0.2173080344994863,1.0899324814478557,0.9044196208318075,0.19805359939734143,0.1917982389529546,0.03037107860048612,0.2173080344994863,0.8639301349558258,0.02625993887583415,1.0899324814478557,0.9044196208318075,0.00867876800475642,621441
9,0.039614821735181306,1.0120378322510174e-07,4.3131485115640986e-07,0.001804482038623016,0.3925360880400005,0.6864293594109384,1.2119767226670917,0.029281998984515667,7.068104501684047e-08,3.012364828691716e-07,0.001471499155741185,0.28987477719783783,0.83355912566185,0.8552588224411011,0.23644262924790382,0.22799069061875343,0.03371134493499994,0.28987477719783783,0.7304740883308396,0.025284050963819027,0.83355912566185,0.8552588224411011,0.00813108601141721,621441,0.017374856397509575,4.028732626516608e-08,1.7284515428804701e-07,0.0005981212630609258,0.17255104912651908,1.050602184401618,0.6277607282002767,0.19578988171286052,0.1897062270177735,0.021835552528500557,0.17255104912651908,nan,0.02342201376126872,1.050602184401618,0.6277607282002767,0.0070736349443905056,621441,0.021054779489835102,4.1217789477817256e-08,1.7674740130739033e-07,0.0008362222773333391,0.20887404680252075,1.0310755769411724,0.6154463688532511,0.1978272313872973,0.19159555186827978,0.025988109409809113,0.20887404680252075,0.862476956365656,0.02511723091204961,1.0310755769411724,0.6154463688532511,0.006323256995528936,621441
