epoch,train_loss_total,train_loss_rho,train_loss_spectral,train_loss_energy,train_loss_leakage,train_loss_residual,train_loss_selection_entropy,train_loss_selection_coverage,val_loss_total,val_loss_rho,val_loss_spectral,val_loss_energy,val_loss_leakage,val_loss_residual,val_loss_selection_entropy,val_loss_selection_coverage,val_density_rel_l2,val_lowfreq_spectral_rel_l2,val_lowpass_energy_rel_l2,val_commutator_leakage,val_leakage_error_correlation,val_latent_step_norm,val_selection_entropy,val_selection_coverage_deficit,val_residual_lowfreq_norm,val_residual_gate_mean,val_runtime_seconds,val_parameter_count
0,0.20199091889356313,1.0298033135008585e-07,4.400533024289344e-07,0.7829765206889102,0.4539528473427421,0.0,1.978566194835462,1.3646115566554822,0.14793456345796585,7.142504543367068e-08,3.062892659499994e-07,0.5688936412334442,0.34155604243278503,0.0,1.8011823892593384,1.1639461517333984,0.23737936615943908,0.22970349043607713,0.7471664845943451,0.34155604243278503,0.7790218663195794,0.00535843288525939,1.8011823892593384,1.1639461517333984,nan,nan,0.007050630985759199,621441
1,0.10577962351472754,1.0264588804662516e-07,4.3860924847649585e-07,0.30783322218217346,0.44212654703541804,0.0,1.9016140197452747,1.521396605592025,0.07052438706159592,7.129633061708773e-08,3.056186699268437e-07,0.18623317778110504,0.3327752649784088,0.0,1.7124705910682678,1.3479185700416565,0.2371979631483555,0.22945538461208342,0.4133099615573883,0.3327752649784088,0.772706864519436,0.007902430836111307,1.7124705910682678,1.3479185700416565,nan,nan,0.008093815005850047,621441
2,0.06416927630964078,1.0238742027312535e-07,4.3735799318997844e-07,0.10412163875604931,0.43344627242339284,0.0,1.7034310416171425,1.8764071840988963,0.040044521912932396,7.118134703887335e-08,3.049643240160549e-07,0.036597276106476784,0.3272484242916107,0.0,1.582286775112152,1.5541441440582275,0.23704498410224917,0.22921158596873284,0.15993698686361313,0.3272484242916107,0.7668539344028409,0.01129605807363987,1.582286775112152,1.5541441440582275,nan,nan,0.007705543015617877,621441
3,0.058823053087843094,1.0211474164491033e-07,4.361535125577862e-07,0.08045497806252618,0.42731735423991557,0.0,1.5407747343966836,1.9978552241074412,0.03766550403088331,7.099537313592919e-08,3.0421264796132164e-07,0.025405813939869404,0.32584117352962494,0.0,1.4518083930015564,1.6275436282157898,0.23673920854926112,0.22893223017454145,0.13714169710874557,0.32584117352962494,0.7677532381715357,0.012506532482802868,1.4518083930015564,1.6275436282157898,nan,nan,0.007749229029286653,621441
4,0.05039664083405545,1.0179452583782365e-07,4.349367881523473e-07,0.04153673527272124,0.4208897320847762,0.0,1.2965431966279681,2.034216096526698,0.03860470373183489,7.080492814282024e-08,3.0347781887485326e-07,0.03455985337495804,0.316925086081028,0.0,1.234628438949585,1.6389446258544922,0.23641187697649002,0.22865204289555552,0.18022624403238297,0.316925086081028,0.7500167892778965,0.016153286211192608,1.234628438949585,1.6389446258544922,nan,nan,0.0063140749698504806,621441
5,0.04554936270180501,1.0148761176472028e-07,4.3369351188678255e-07,0.022017673099119412,0.41145509167721395,0.0,1.0149119308120327,1.990747803135922,0.034681981429457664,7.065547613649414e-08,3.0277617923957223e-07,0.017265331465750933,0.3122869282960892,0.0,1.0264293849468231,1.654779076576233,0.23617850095033643,0.228385878354311,0.11176589131355286,0.3122869282960892,0.7377615202174225,0.021755976602435112,1.0264293849468231,1.654779076576233,nan,nan,0.007964683056343347,621441
6,0.04280127153584832,1.0121299522468593e-07,4.3245114960355796e-07,0.00994433330273942,0.40812086745312337,0.0,0.8011092355376795,1.9669215177234851,0.03275008127093315,7.051607298080853e-08,3.0209370294187465e-07,0.010080693464260548,0.3073372095823288,0.0,0.8986721634864807,1.561211884021759,0.23596482127904891,0.22812786176800728,0.06833110563457012,0.3073372095823288,0.7401371212926188,0.02665366791188717,0.8986721634864807,1.561211884021759,nan,nan,0.005729447002522647,621441
7,0.041314942860289625,1.0094048413496861e-07,4.3127581767820584e-07,0.004940826188478815,0.40326459941111115,0.0,0.7266906562604403,1.8087732729158903,0.03202052880078554,7.034421045659656e-08,3.0138847506577804e-07,0.010620490764267743,0.2989620938897133,0.0,0.874487042427063,1.263968825340271,0.23567272648215293,0.2278609298169613,0.06509309262037277,0.2989620938897133,0.7442730740605591,0.026220230385661125,0.874487042427063,1.263968825340271,nan,nan,0.006215168919879943,621441
8,0.04035311368735213,1.006719984568343e-07,4.301658870980119e-07,0.004097058033374579,0.3953338500700499,0.0,0.729622295028285,1.4511950141505192,0.030716605484485626,7.018114978052381e-08,3.0068571987840187e-07,0.008864523202646524,0.2894347980618477,0.0,0.8389993011951447,0.8914615511894226,0.23539973273873327,0.22759421318769454,0.0571721326559782,0.2894347980618477,0.7307638758564927,0.02630145661532879,0.8389993011951447,0.8914615511894226,nan,nan,0.007273103983607143,621441
9,0.039367900671143284,1.0040590095023187e-07,4.289940211253308e-07,0.0028911545063908164,0.387893535588917,0.0,0.6897402405738831,0.9960023039265683,0.029564425349235535,7.002287638613325e-08,3.0000073536484706e-07,0.006379890081007034,0.2828822657465935,0.0,0.7361403107643127,0.6118665039539337,0.23513571396470068,0.22733597233891487,0.04888803884387016,0.2828822657465935,0.7267878962781618,0.025879887863993645,0.7361403107643127,0.6118665039539337,nan,nan,0.005791848991066217,621441
